"new_cases", "sample_num", "incidence_rate", "new_healed", "new_deceased", "sum_case" , "sum_healed" , "sum_deceased", "sum_active", "total_samples", "date", "vaccin_num", "vaccin_total"
46, 2759, 1.7, 68, 0, 47435, 46915, 306, 214, 657347, "03/06/2021", 12227, 579715,  
33, 1810, 1.8, 43, 0, 47389, 46847, 306, 236, 654588, "02/06/2021", 12016, 567488,  
37, 2362, 1.6, 46, 0, 47356, 46804, 306, 246, 652778, "01/06/2021", 11809, 555472,   
27, 1779, 1.5, 56, 1, 47319, 46758, 306, 255, 650416, "31/05/2021", 2214, 543663,  
10, 918, 1.1, 26, 2, 47292, 46702, 305, 285, 648637, "30/05/2021", 393, 541449,  
38, 2109, 1.8, 51, 2, 47233, 46642, 303, 288, 645222, "28/05/2021", 4497, 540245,  
49, 2064, 2.4, 47, 0, 47195, 46591, 301, 303, 643113, "27/05/2021", 7664, 535748,  
61, 2217, 2.8, 40, 0, 47146, 46544, 301, 301, 641049, "26/05/2021", 10885, 528084,  
3, 1312, 0.2, 34, 0, 47036, 46476, 298, 262, 636980, "24/05/2021", 5173, 496319,  
27, 622, 4.3, 78, 0, 47033, 46442, 298, 293, 635668, "23/05/2021", 4997, 491146,  
64, 2856, 2.2, 18, 0, 47007, 46364, 298, 344, 635046, "22/05/2021", 13133, 486231,  
68, 1739, 3.9, 64, 0, 46942, 46346, 298, 298, 632190, "21/05/2021", 25649, 473098,   
40, 2670, 1.5, 39, 0, 46874, 46282, 298, 294, 630451, "20/05/2021", 28994, 447449,   
57, 2158, 2.6, 26, 0, 46834, 46243, 298, 293, 627781, "19/05/2021", 27370, 418455,   
69, 2240, 3.1, 41, 0, 46777, 46217, 298, 262, 625623, "18/05/2021", 24800, 391085,  
47, 1801, 2.6, 61, 0, 46708, 46176, 298, 234, 623383, "17/05/2021", 26611, 366285,   
5, 171, 2.9, 36, 0, 46661, 46115, 298, 248, 621582, "16/05/2021", 7127, 340049,  
37, 1670, 2.2, 48, 1, 46656, 46079, 298, 279, 621411, "15/05/2021", 12773, 333793,   
84, 2537, 3.3, 25, 2, 46619, 46031, 297, 291, 619741, "14/05/2021", 19523, 321020,   
15, 1126, 1.3, 29, 1, 46535, 46006, 295, 234, 617204, "13/05/2021", 6188, 301497,   
4, 1119, 0.3, 35, 2, 46520, 45977, 294, 249, 616078, "12/05/2021", 2772, 295309,   
32, 1805, 1.8, 32, 0, 46516, 45942, 292, 282, 614959, "11/05/2021", 11738, 292537,   
41, 1884, 2.2, 36, 1, 46484, 45910, 292, 282, 613154, "10/05/2021", 13767, 280799,  
01, 151, 0.7, 27, 0, 46443, 45874, 291, 278, 611270, "09/05/2021", 4393, 267032,  
57, 2159, 2.6, 36, 0, 46442, 45847, 291, 304, 611119, "08/05/2021", 10322, 262639,   
41, 1980, 2.1, 21, 0, 46385, 45811, 291, 283, 608960, "07/05/2021", 16570, 252317,   
29, 1732, 1.7, 26, 0, 46344, 45790, 291, 263, 606980, "06/05/2021", 20737, 235747,  
84, 2227, 3.8, 31, 0, 46315, 45764, 291, 260, 605248, "05/05/2021", 17518, 215010,   
58, 2360, 2.5, 39, 0, 46231, 45733, 291, 207, 603021, "04/05/2021", 14191, 197492,   
19, 1668, 1.1, 32, 4, 46173, 45694, 291, 188, 600661, "03/05/2021", 14882, 183301,   
4, 287, 1.4, 18, 0, 46154, 45662, 287, 205, 598993, "02/05/2021", 5310, 168419,  
36, 1852, 1.9, 62, 1, 46150, 45644, 287, 219, 598706, "01/05/2021", 4128, 163176,   
78, 2566, 3, 56, 0, 46114, 45582, 286, 246, 598854, "30/04/2021", 9944, 158981,   
38, 1904, 2, 28, 0, 46036, 45526, 286, 224, 594288, "29/04/2021", 8767, 149037,   
55, 2177, 2.5, 29, 0, 45998, 45498, 286, 214, 592384, "28/04/2021", 7836, 140270,   
58, 1653, 3.5, 18, 1, 45943, 45469, 286, 188, 590207, "27/04/2021", 6483, 132434,  
22, 2099, 1.1, 38, 2, 45885, 45451, 285, 149, 588554, "26/04/2021", 6295, 125958,  
11, 632, 1.7, 39, 1, 45863, 45413, 283, 167, 586455, "25/04/2021", 788, 119663,   
32, 2196, 1.5, 31, 1, 45852, 45374, 282, 196, 585823, "24/04/2021", 1648, 118875,  
55, 1807, 3, 32, 2, 45820, 45343, 281, 196, 583627, "23/04/2021", 4003, 117227,   
50, 2072, 2.4, 28, 2, 45765, 45311, 279, 175, 581820, "22/04/2021", 4147, 113224,  
18, 1950, 0.9, 56, 0, 45715, 45283, 277, 155, 579748, "21/04/2021", 3967, 109077,  
83, 2849, 2.9, 28, 2, 45697, 45227, 277, 193, 577798, "20/04/2021", 4794, 105110,   
10, 451, 2.2, 32, 0, 45570, 45161, 274, 135, 573182, "18/04/2021", 0, 94818,  
41, 2532, 1.6, 65, 0, 45560, 45129, 274, 157, 572731, "17/04/2021", 1278, 94818,   
45, 2485, 1.8, 71, 0, 45519, 45064, 274, 181, 570199, "16/04/2021", 1639, 93540,   
30, 2497, 1.2, 68, 1, 45474, 44993, 274, 207, 567714, "15/04/2021", 4634, 91901,  
56, 2942, 1.9, 92, 2, 45444, 44925, 273, 246, 565217, "14/04/2021", 3842, 87267,   
123, 2945, 4.2, 62, 2, 45388, 44833, 271, 284, 562275, "13/04/2021", 6715, 83425,  
38, 2036, 1.9, 88, 1, 45265, 44771, 269, 225, 559330, "12/04/2021", 7867, 76710,  
21, 1142, 1.8, 54, 5, 45227, 44683, 268, 276, 557294, "11/04/2021", 0, 68843,   
61, 4252, 1.4, 156, 2, 45206, 44629, 263, 314, 556152, "10/04/2021", 2347, 68843,   
56, 2902, 1.9, 276, 1, 45145, 44473, 261, 411, 551900, "09/04/2021", 5673, 66496,   
114, 4155, 2.7, 439, 2, 45089, 44197, 260, 632, 548998, "07/04/2021", 4872, 60823,   
95, 3429, 2.8, 312, 1, 44975, 43758, 258, 959, 544843, "07/04/2021", 3128, 56082,   
26, 1907, 1.3, 316, 1, 44880, 43446, 257, 1177, 541414, "06/04/2021", 3573, 53071,  
13, 1096, 1.2, 692, 0, 44854, 43130, 256, 1468, 539507, "03/04/2021", 1749, 49498,   
92, 2302, 4, 367, 1, 44841, 42438, 256, 2147, 538411, "02/04/2021", 0, 49642,   
131, 2984, 4.4, 384, 3, 44749, 42071, 255, 2423, 536109, "01/04/2021", 0, 49498, 
