ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14
1,R02,ABIDJAN 2,N/A,REGION,21,120,141,8,1,9,0,9,2,110,70,264,152,150
2,D76,ABOBO EST,YES,DISTRICT,1,30,31,1,0,1,0,1,0,25,12,38,32,32
3,D77,ABOBO OUEST,YES,DISTRICT,0,11,11,1,0,1,0,1,0,10,8,14,12,12
4,D78,ANYAMA,YES,DISTRICT,12,5,17,1,1,2,0,2,0,18,6,9,19,19
5,D79,COCODY BINGERVILLE,YES,DISTRICT,4,22,26,1,0,1,0,1,1,23,8,102,28,27
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,4,29,33,2,0,2,0,2,0,23,29,47,35,35
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,0,23,23,2,0,2,0,2,1,11,7,54,26,25
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,57,62,119,5,2,7,0,7,1,86,38,215,127,126
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,0,21,21,1,0,1,0,1,0,10,12,58,22,22
10,D26,DABOU,YES,DISTRICT,23,4,27,1,2,3,0,3,0,25,2,7,30,30
11,D38,GRAND-LAHOU,YES,DISTRICT,11,3,14,1,0,1,0,1,0,12,2,2,15,15
12,D43,JACQUEVILLE,YES,DISTRICT,15,3,18,1,0,1,0,1,0,12,2,3,19,19
13,D83,YOPOUGON-EST,YES,DISTRICT,0,16,16,0,0,0,0,0,0,7,6,10,16,16
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,8,15,23,1,0,1,0,1,1,20,14,135,25,24
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,90,40,130,7,2,9,1,10,0,87,15,48,140,140
16,D05,ADZOPE,YES,DISTRICT,15,7,22,1,0,1,0,1,0,10,2,6,23,23
17,D06,AGBOVILLE,YES,DISTRICT,25,10,35,0,0,0,1,1,0,21,2,9,36,36
