ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3
1,R02,ABIDJAN 2,N/A,REGION,1,0,10
2,D76,ABOBO EST,YES,DISTRICT,0,0,1
3,D77,ABOBO OUEST,YES,DISTRICT,0,0,1
4,D78,ANYAMA,YES,DISTRICT,0,0,2
5,D79,COCODY BINGERVILLE,YES,DISTRICT,0,0,2
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,0,0,2
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,1,0,2
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,0,1,10
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,0,0,2
10,D26,DABOU,YES,DISTRICT,0,1,2
11,D38,GRAND-LAHOU,YES,DISTRICT,0,0,1
12,D43,JACQUEVILLE,YES,DISTRICT,0,0,1
13,D83,YOPOUGON-EST,YES,DISTRICT,0,0,1
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,0,0,3
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,0,2,11
16,D05,ADZOPE,YES,DISTRICT,0,1,2
17,D06,AGBOVILLE,YES,DISTRICT,0,1,2
18,D08,AKOUPE,YES,DISTRICT,0,0,3
19,D09,ALEPE,YES,DISTRICT,0,0,1
20,D61,SIKENSI,YES,DISTRICT,0,0,0
21,D67,TIASSALE,YES,DISTRICT,0,0,3
22,R04,BELIER,N/A,REGION,1,1,7
23,D30,DIDIEVI,YES,DISTRICT,0,0,1
24,D68,TIEBISSOU,YES,DISTRICT,0,0,1
25,D71,TOUMODI,YES,DISTRICT,0,1,2
26,D73,YAMOUSSOUKRO,YES,DISTRICT,1,0,3
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,0,2,6
28,D15,BONDOUKOU,YES,DISTRICT,0,1,1
29,D22,BOUNA,YES,DISTRICT,0,1,1
30,D52,NASSIAN,YES,DISTRICT,0,0,1
31,D65,TANDA,YES,DISTRICT,0,0,3
32,R06,CAVALLY-GUEMON,N/A,REGION,0,0,6
33,D10,BANGOLO,YES,DISTRICT,0,0,1
34,D13,BLOLEQUIN,YES,DISTRICT,0,0,1
35,D33,DUEKOUE,YES,DISTRICT,0,0,1
36,D40,GUIGLO,YES,DISTRICT,0,0,1
37,D46,KOUIBLY,YES,DISTRICT,0,0,1
38,D70,TOULEPLEU,YES,DISTRICT,0,0,1
39,R07,GBEKE,N/A,REGION,0,1,4
40,D20,BEOUMI,YES,DISTRICT,0,0,1
41,D17,BOUAKE NORD-EST,YES,DISTRICT,0,0,1
42,D18,BOUAKE NORD-OUEST,YES,DISTRICT,0,1,0
43,D19,BOUAKE-SUD,YES,DISTRICT,0,0,1
44,D21,SAKASSOU,YES,DISTRICT,0,0,1
45,R08,GBOKLE-NAWA-SAN-PEDRO,N/A,REGION,0,1,7
46,D39,GUEYO,YES,DISTRICT,0,0,1
47,D58,SAN-PEDRO,YES,DISTRICT,0,1,1
48,D59,SASSANDRA,YES,DISTRICT,0,0,1
49,D63,SOUBRE,YES,DISTRICT,0,0,3
50,D64,TABOU,YES,DISTRICT,0,0,1
51,R09,GÔH,N/A,REGION,0,1,6
52,D36,GAGNOA,YES,DISTRICT,0,1,5
53,D56,OUME,YES,DISTRICT,0,0,1
54,R10,HAMBOL,N/A,REGION,0,0,3
55,D25,DABAKALA,YES,DISTRICT,0,0,1
56,D44,KATIOLA,YES,DISTRICT,0,0,1
57,D53,Niakaramandougou,YES,DISTRICT,0,0,1
58,R11,HAUT SASSANDRA,N/A,REGION,1,0,6
59,D27,DALOA,YES,DISTRICT,1,0,4
60,D42,ISSIA,YES,DISTRICT,0,0,1
61,D72,VAVOUA,YES,DISTRICT,0,0,1
62,R12,INDENIE DUABLIN,N/A,REGION,1,0,4
63,D01,ABENGOUROU,YES,DISTRICT,1,0,2
64,D07,AGNIBILEKROU,YES,DISTRICT,0,0,1
65,D11,BETTIE,YES,DISTRICT,0,0,1
66,R13,KABADOUGOU-BAFING-FOLON,N/A,REGION,0,1,3
67,D51,MINIGNAN,YES,DISTRICT,0,0,0
68,D54,ODIENNE,YES,DISTRICT,0,1,2
69,D69,TOUBA,YES,DISTRICT,0,0,1
70,R14,LÔH-DJIBOUA,N/A,REGION,0,0,4
71,D32,DIVO,YES,DISTRICT,0,0,1
72,D35,FRESCO,YES,DISTRICT,0,0,1
73,D41,GUITRY,YES,DISTRICT,0,0,1
74,D47,LAKOTA,YES,DISTRICT,0,0,1
75,R15,MARAHOUE,N/A,REGION,0,0,4
76,D16,BOUAFLE,YES,DISTRICT,0,0,2
77,D62,SINFRA,YES,DISTRICT,0,0,1
78,D75,ZUENOULA,YES,DISTRICT,0,0,1
79,R16,N'ZI-IFFOU,N/A,REGION,0,2,8
80,D14,BOCANDA,YES,DISTRICT,0,0,1
81,D24,BONGOUANOU,YES,DISTRICT,0,1,2
82,D29,DAOUKRO,YES,DISTRICT,0,1,2
83,D31,DIMBOKRO,YES,DISTRICT,0,0,1
84,D50,M'BAHIAKRO,YES,DISTRICT,0,0,1
85,D57,PRIKRO,YES,DISTRICT,0,0,1
86,R17,PORO-TCHOLOGO-BAGOUE,N/A,REGION,0,2,10
