Iso3,StartDate,EndDate,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,#country+name,#indicator+code,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
CIV,1991-01-01,1991-12-31,107,Côte d'Ivoire,221,"Almonds, with shell",5539,Producer Price Index (2014-2016 = 100),1991,1991,7021,Annual value,,31.940000,Fc
CIV,1992-01-01,1992-12-31,107,Côte d'Ivoire,221,"Almonds, with shell",5539,Producer Price Index (2014-2016 = 100),1992,1992,7021,Annual value,,11.990000,Fc
CIV,1993-01-01,1993-12-31,107,Côte d'Ivoire,221,"Almonds, with shell",5539,Producer Price Index (2014-2016 = 100),1993,1993,7021,Annual value,,11.420000,Fc
CIV,1994-01-01,1994-12-31,107,Côte d'Ivoire,221,"Almonds, with shell",5539,Producer Price Index (2014-2016 = 100),1994,1994,7021,Annual value,,26.250000,Fc
CIV,1995-01-01,1995-12-31,107,Côte d'Ivoire,221,"Almonds, with shell",5539,Producer Price Index (2014-2016 = 100),1995,1995,7021,Annual value,,33.250000,Fc
CIV,1996-01-01,1996-12-31,107,Côte d'Ivoire,221,"Almonds, with shell",5539,Producer Price Index (2014-2016 = 100),1996,1996,7021,Annual value,,33.250000,Fc
CIV,1997-01-01,1997-12-31,107,Côte d'Ivoire,221,"Almonds, with shell",5539,Producer Price Index (2014-2016 = 100),1997,1997,7021,Annual value,,35.000000,Fc
CIV,1998-01-01,1998-12-31,107,Côte d'Ivoire,221,"Almonds, with shell",5539,Producer Price Index (2014-2016 = 100),1998,1998,7021,Annual value,,49.120000,Fc
CIV,1999-01-01,1999-12-31,107,Côte d'Ivoire,221,"Almonds, with shell",5539,Producer Price Index (2014-2016 = 100),1999,1999,7021,Annual value,,52.850000,Fc
CIV,2000-01-01,2000-12-31,107,Côte d'Ivoire,221,"Almonds, with shell",5539,Producer Price Index (2014-2016 = 100),2000,2000,7021,Annual value,,61.240000,Fc
CIV,2001-01-01,2001-12-31,107,Côte d'Ivoire,221,"Almonds, with shell",5539,Producer Price Index (2014-2016 = 100),2001,2001,7021,Annual value,,61.230000,Fc
CIV,2002-01-01,2002-12-31,107,Côte d'Ivoire,221,"Almonds, with shell",5539,Producer Price Index (2014-2016 = 100),2002,2002,7021,Annual value,,61.480000,Fc
CIV,2003-01-01,2003-12-31,107,Côte d'Ivoire,221,"Almonds, with shell",5539,Producer Price Index (2014-2016 = 100),2003,2003,7021,Annual value,,69.750000,Fc
CIV,2004-01-01,2004-12-31,107,Côte d'Ivoire,221,"Almonds, with shell",5539,Producer Price Index (2014-2016 = 100),2004,2004,7021,Annual value,,64.880000,Fc
CIV,2005-01-01,2005-12-31,107,Côte d'Ivoire,221,"Almonds, with shell",5539,Producer Price Index (2014-2016 = 100),2005,2005,7021,Annual value,,62.010000,Fc
CIV,2006-01-01,2006-12-31,107,Côte d'Ivoire,221,"Almonds, with shell",5539,Producer Price Index (2014-2016 = 100),2006,2006,7021,Annual value,,62.600000,Fc
CIV,2007-01-01,2007-12-31,107,Côte d'Ivoire,221,"Almonds, with shell",5539,Producer Price Index (2014-2016 = 100),2007,2007,7021,Annual value,,70.190000,Fc
CIV,2008-01-01,2008-12-31,107,Côte d'Ivoire,221,"Almonds, with shell",5539,Producer Price Index (2014-2016 = 100),2008,2008,7021,Annual value,,87.050000,Fc
CIV,2009-01-01,2009-12-31,107,Côte d'Ivoire,221,"Almonds, with shell",5539,Producer Price Index (2014-2016 = 100),2009,2009,7021,Annual value,,84.030000,Fc
CIV,2010-01-01,2010-12-31,107,Côte d'Ivoire,221,"Almonds, with shell",5539,Producer Price Index (2014-2016 = 100),2010,2010,7021,Annual value,,103.860000,Fc
CIV,2004-01-01,2004-12-31,107,Côte d'Ivoire,572,Avocados,5530,Producer Price (LCU/tonne),2004,2004,7021,Annual value,LCU,90000.000000,
CIV,2005-01-01,2005-12-31,107,Côte d'Ivoire,572,Avocados,5530,Producer Price (LCU/tonne),2005,2005,7021,Annual value,LCU,80000.000000,
CIV,2006-01-01,2006-12-31,107,Côte d'Ivoire,572,Avocados,5530,Producer Price (LCU/tonne),2006,2006,7021,Annual value,LCU,90000.000000,
CIV,2007-01-01,2007-12-31,107,Côte d'Ivoire,572,Avocados,5530,Producer Price (LCU/tonne),2007,2007,7021,Annual value,LCU,100000.000000,
CIV,2008-01-01,2008-12-31,107,Côte d'Ivoire,572,Avocados,5530,Producer Price (LCU/tonne),2008,2008,7021,Annual value,LCU,120000.000000,
CIV,2009-01-01,2009-12-31,107,Côte d'Ivoire,572,Avocados,5530,Producer Price (LCU/tonne),2009,2009,7021,Annual value,LCU,125000.000000,
CIV,2010-01-01,2010-12-31,107,Côte d'Ivoire,572,Avocados,5530,Producer Price (LCU/tonne),2010,2010,7021,Annual value,LCU,127546.300000,
