ISO CODE;FEAT_NAME;LEVEL;CONTINENT;Flux Total en Fcfa;AFRILAND FIRST BANK;BACI;BBG-CI;BDA;BGFIBank;BHCI;BICICI;BMS;BNI;BOA-CI;BRM-CI;BSIC-CI;CBI-CI;CITIBANK;CNCE;DBCI;ECOBANK-CI;GTBANK-CI;NSIA BANQUE;ORABANK;SCBCI;SGCI;SIB;STABIC BANK;UBA;VERSUSBANK
ISO CODE;FEAT_NAME;LEVEL;CONTINENT;FLD1;FLD2;FLD3;FLD4;FLD5;FLD6;FLD7;FLD8;FLD9;FLD10;FLD11;FLD12;FLD13;FLD14;FLD15;FLD16;FLD17;FLD18;FLD19;FLD20;FLD21;FLD22;FLD23;FLD24;FLD25;FLD26;FLD27
ZA;Afrique Du Sud;CTR;Afrique;5941171291;0;9568000;0;0;3474858;0;156239512;0;258119491;68713857;0;0;1857510;3491577935;0;68834717;423682471;28101847;8938850;87392758;124096483;0;71573074;1073139051;60860877;0
AL;Albania;CTR;Europe;36005480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36005480;0;0;0;0;0;0;0;0;0
DZ;Algerie;CTR;Afrique;97732516;0;0;0;0;0;0;0;0;0;3527500;0;0;0;0;0;0;51253784;0;0;0;42951232;0;0;0;0;0
DE;Allemagne;CTR;Europe;28152478993;28701857;5129728927;0;182329707;0;0;507013916;0;130306295;319342972;0;0;179886372;11466623863;0;1345279820;1466989721;10884492;72319259;181747935;6107274527;0;219945244;47596534;677273709;0
AD;Andorre;CTR;Europe;900691684;0;0;0;0;7871484;3181391;0;0;1311914;6559570;0;0;0;0;0;0;0;0;0;6362783;152175345;0;723229197;0;0;0
AR;Argentine;CTR;Amérique;8609249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3609249;0;0;0;5000000;0;0;0;0;0;0
AM;Armenie;CTR;Asie;163806894;0;0;0;65413344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98393550;0;0;0;0;0;0
AU;Australie;CTR;Océanie;27144505884;0;303870088;0;0;0;0;0;0;10535530;2248188;0;0;16991976;7309220;0;0;273655966;0;0;0;25679644743;0;13500000;836750173;0;0
AT;Autriche;CTR;Europe;300694815;0;6769148;0;0;0;0;0;0;0;50645784;0;0;0;0;0;0;9327708;0;0;0;223981629;0;0;9970546;0;0
BB;Barbados;CTR;Amérique;2389933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2389933;0;0;0;0;0
BE;Belgique;CTR;Europe;14569627174;0;942581680;0;1114142281;756543737;0;1974392619;0;254548428;783031708;0;0;144020344;277431635;0;210870371;2021585587;6264251;720957382;40410696;2251098089;0;1979015779;396966988;25646500;567541255
