ISO CODE,FEAT_NAME,CONTINENT,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD1,FLD2,FLD3,FLD4,FLD5,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD8,FLD9,FLD10,FLD11,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14,FLD15,FLD1,FLD2,FLD3,FLD4,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD13,FLD14,FLD15,FLD16,FLD17,FLD18,FLD19,FLD20,FLD1,FLD3,FLD4,FLD5,FLD6
ZA,Afrique Du Sud,Afrique,CTR,5941171291,0,0,0,0,0,0,0,0,0,135138689,9,0,0,0,0,0,0,4193291,0,0,32889587,92,98055811,0,51219492,51219492,0,0,0,0,0,0,0,0,1115188923,377608355,423689888,3006712,10347341,0,0,0,0,72155270,101029344,0,0,0,0,121871062,0,0,0,50696775,0,5413088,0,0,0,0,0,0,29000000,0,0,19366699,0,246027258,246027258,0,0,0
AL,Albania,Europe,CTR,36005480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36005480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZ,Algerie,Afrique,CTR,97732516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24353269,24353269,0,0,0,0,0,0,0,0,33782413,33782413,0,0,0,0,0,0,0,0,0,0,0,0,0,21632629,0,0,0,21632629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,Allemagne,Europe,CTR,28152478993,689726310,0,0,5772422,0,0,683953888,0,0,465264894,4,0,0,0,12244532,0,0,0,0,126110049,4,40266149,285706880,937284,125330312,14844700,0,55092733,0,0,35392882,19999997,0,0,1635877669,757632114,1,625985961,7,22794506,124722508,590361,27706508,85,0,2452834,0,4864590,0,0,0,0,206470758,9,15581602,35,6559570,15531015,57,113951303,25000129,13447119,0,0,0,4637616,11762404,0,0,0,0,0,0,229879708,3,229879708,3,0,0,0
AD,Andorre,Europe,CTR,900691684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27914777,0,0,0,0,0,0,27914777,0,0,25287142,9544174,1311914,0,0,0,0,14431054,0,0,0,0,0,0,0,54838005,0,0,0,54838005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentine,Amérique,CTR,8609248,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,Armenie,Asie,CTR,163806894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163806894,65413344,98393550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australie,Océanie,CTR,27144505884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45889551,45889551,0,0,0,0,0,0,0,0,538065652,6,240986581,131151368,0,81112969,63,0,9067500,0,0,0,0,0,0,0,0,8000000,8000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10535530,10535530,0,0,0
AT,Autriche,Europe,CTR,300694815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102047067,44420095,55058605,0,0,0,0,0,0,0,0,0,2568367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB,Barbados,Amérique,CTR,2389933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2389933,0,0,0,0,0,0,0,2389933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgique,Europe,CTR,14569627174,0,0,0,0,0,0,0,0,0,693407008,0,0,4744753,666813416,0,0,0,0,21848839,0,0,0,1122100172,183234897,0,2004357,0,76500000,860360918,4,0,0,0,2610905872,989533266,656996416,5,0,227933438,206751282,7215527,0,1262573,46830300,19491762,0,0,0,0,986211955,98555533,0,0,838276983,5252500,12143298,0,0,0,1333333,29702450,0,0,0,947858,0,0,91321664,64,91321664,64,0,0,0
BW,Botswana,Afrique,CTR,2062369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2062369,0,0,0,0,0,0,0,0,0,0,0,2062369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Bresil,Amérique,CTR,159791402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49481267,0,49481267,0,0,0,0,0,0,0,0,0,0,0,0,4951872,4951872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG,Bulgarie,Europe,CTR,539135342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342335123,28862108,181566110,0,0,131191400,0,0,715505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BI,Burundi,Afrique,CTR,42744420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2744420,0,2181000,0,563420,0,0,0,0,0,0,0,0,0,0,15000000,0,0,0,0,5000000,0,0,0,0,0,0,0,0,0,0,10000000,0,10000000,0,0,0,10000000
CM,Cameroun,Afrique,CTR,2366092853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103935389,7,92301921,0,7782352,7,0,0,0,0,3851116,0,890839084,8,314998762,288596793,8,77262087,46839679,0,0,0,0,0,129538845,0,0,0,0,65900950,6000000,0,0,34652950,0,20000000,0,5248000,0,0,0,0,0,0,0,0,0,1987615,1987615,0,0,0
CA,Canada,Amérique,CTR,7019319871,0,0,0,0,0,0,0,0,0,192714685,0,0,102775405,39939280,0,0,50000000,0,0,0,0,0,130852757,20690910,52985000,0,2342242,42373204,0,12461401,0,0,2630085192,425466018,847509289,11676806,0,213936385,417290404,129589000,5914677,0,9537848,0,36616793,0,0,1050159979,639144024,0,0,115431163,158250000,885000,46765058,0,0,0,31134701,0,7000000,17920000,630033,6000000,0,38446682,26246682,0,0,12200000
CV,Cap Vert,Afrique,CTR,30000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF,Centrafrique,Afrique,CTR,74806166,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2142034,14,0,0,0,0,0,0,0,2142034,14,0,35387061,0,35387061,0,0,0,0,0,0,0,0,0,0,0,0,1890000,0,0,0,1890000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Chili,Amérique,CTR,4100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4100000,0,0,0,4100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,Chine,Asie,CTR,9666665556,0,0,0,0,0,0,0,0,0,424646056,0,0,0,133559181,0,0,0,0,14017166,175844458,22668721,78556530,41450905,38,19678710,0,0,0,0,16590164,13,5182031,25,0,0,668798095,263984601,120892761,39093253,57990238,0,0,0,2760044,0,150346876,0,4594937,0,0,121956494,84339673,0,0,12310000,18747251,6559570,0,0,0,0,0,0,0,0,0,0,0,79760473,79760473,0,0,0
CY,Chypre,Asie,CTR,324680601,0,0,0,0,0,0,0,0,0,163989250,0,0,0,163989250,0,0,0,0,0,0,0,0,12176209,12176209,0,0,0,0,0,0,0,0,97828239,983936,35382753,0,0,0,0,0,0,0,0,0,59355180,0,0,12000000,0,0,0,12000000,0,0,0,0,0,0,0,0,0,0,0,0,0,17702967,17702967,0,0,0
CO,Colombie,Amérique,CTR,34360134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10999086,10999086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KM,Comores,Afrique,CTR,1450976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725488,0,725488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725488,725488,0,0,0
KR,Corée Du Sud,Asie,CTR,418775569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31369747,31369747,0,0,0,0,0,0,0,0,0,0,0,0,0,4500000,0,0,0,4500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR,Croatie,Europe,CTR,12066329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12066329,0,12066329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,Amérique,CTR,1092600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092600,1092600,0,0,0
DK,Danemark,Europe,CTR,638006073,560462,0,0,560462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530797277,270576379,185045504,0,0,0,0,0,11148134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92157975,92157975,0,0,0
DJ,Djibouti,Afrique,CTR,6998868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2742268,0,2742268,0,0,0,0,0,0,0,0,0,0,0,0,3750000,3750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506600,506600,0,0,0
DM,Dominica,Amérique,CTR,5772000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,Egypte,Afrique,CTR,897571272,0,0,0,0,0,0,0,0,0,54113631,0,0,0,0,0,0,0,0,0,54113631,0,0,139666832,29735832,0,0,0,0,0,109931000,0,0,105370556,78741645,95,19209000,0,0,0,0,0,0,0,0,0,0,0,0,10495312,0,0,0,10495312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE,Emirats Arabes Unis,Asie,CTR,8,97293E+11,41000289,41000289,0,0,0,0,0,0,0,1131788079,0,0,0,309771525,0,0,19678710,0,631456620,25017360,145863863,6,0,254701744,2,80650470,0,0,0,0,65288220,12383817,0,96379237,24,3147523383,1563175393,925286486,2,0,93670669,197797850,0,0,0,0,64420263,32,0,8770264,0,0,54471000,9996000,0,0,0,29475000,0,15000000,0,0,0,0,0,0,0,0,0,0,967051982,967051982,0,0,0
ES,Espagne,Europe,CTR,3705597482,0,0,0,0,0,0,0,0,0,144939142,0,0,0,128948642,0,0,0,0,0,0,15990500,0,271985334,1,103554195,0,0,0,0,36911074,1,131520065,0,0,979068595,1,159153808,2,462849817,3,0,110655135,6,1580856,2000000,79036130,0,83065146,0,0,0,0,0,142324240,35622347,0,0,46188509,10543505,22300957,0,0,1508701,26160221,0,0,0,0,0,0,0,21968524,21968524,0,0,0
EE,Estonie,Europe,CTR,70401175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35087435,0,0,0,1479183,0,0,0,0,0,33608252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852744,1,852744,1,0,0,0
US,Etats-Unis,Amérique,CTR,94071180171,115013449,0,0,0,0,0,106005316,0,9008133,1166987074,0,0,0,513290358,31791566,0,485401539,0,17640000,27712024,91151587,0,100456727,17396748,0,1242250,0,15890681,7545000,58382048,0,0,5397034031,1915674000,1799324471,0,23089410,1,214192999,8,503463613,7,33334170,11328876,9842000,71341459,0,5579282,0,17382270,1062578635,427101631,5,0,0,361845175,72448325,27859740,110988956,0,0,0,54146861,0,5196096,0,0,0,0,587917428,565847358,0,0,13482540
ET,Ethiopie,Afrique,CTR,1295308861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4061911,0,0,0,0,0,0,4061911,0,0,4218950,0,3024950,0,0,0,0,0,0,0,0,0,0,0,0,3528000,0,0,0,3528000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,Finlande,Europe,CTR,1589561772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173382344,119308994,54073350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156112846,156112846,0,0,0
FR,France,Europe,CTR,3,3204E+11,310911539,0,1668754,34120000,237569903,37552882,0,0,0,3898499892,2623828,50672678,258829306,1083161479,276372218,64667691,1715881842,1967871,33231916,03,219985475,151432973,8,39672614,7614201680,3139234448,150364524,706251486,7918424,1197353914,297969116,2051869049,44808328,10421188,38530440618,12503991694,14287938464,457738048,962700969,1050611722,556574243,7,2055756166,0,0,1045204606,12356799,89,498871532,1,0,1500882014,9780338585,1510648330,82154986,33993574,6139606156,297661675,234837595,3,987192099,5,0,4263721,68162018,10347722,0,99192062,14983936,164880981,3,32465190,5050869,3551587409,3458602849,86986851,4816494,1181215
GA,Gabon,Afrique,CTR,1736068362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91109678,6109678,0,0,0,85000000,0,0,0,0,208641822,5609368,8818356,0,5099268,78749998,0,0,0,0,818458,0,76865343,0,0,31161363,62,0,0,0,7600000,0,10698515,62,0,0,0,0,0,0,0,0,12862848,0,0,32566527,32566527,0,0,0
GM,Gambie,Afrique,CTR,181991549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8067845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8067845,0,9934454,0,0,0,9934454
