CODE,ADM_NAME,CONTINENT,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10
ZA,Afrique Du Sud,Afrique,CTR,5941171291,0,0,0,0,0,0,0,0,0
AL,Albania,Europe,CTR,36005480,0,0,0,0,0,0,0,0,0
DZ,Algerie,Afrique,CTR,97732516,0,0,0,0,0,0,0,0,0
DE,Allemagne,Europe,CTR,28152478993,689726310,0,0,5772422,0,0,683953888,0,0
AD,Andorre,Europe,CTR,900691684,0,0,0,0,0,0,0,0,0
AR,Argentine,Amérique,CTR,8609249,0,0,0,0,0,0,0,0,0
AM,Armenie,Asie,CTR,163806894,0,0,0,0,0,0,0,0,0
AU,Australie,Océanie,CTR,27144505884,0,0,0,0,0,0,0,0,0
AT,Autriche,Europe,CTR,300694815,0,0,0,0,0,0,0,0,0
BB,Barbados,Amérique,CTR,2389933,0,0,0,0,0,0,0,0,0
BE,Belgique,Europe,CTR,14569627174,0,0,0,0,0,0,0,0,0
BW,Botswana,Afrique,CTR,2062369,0,0,0,0,0,0,0,0,0
BR,Bresil,Amérique,CTR,159791402,0,0,0,0,0,0,0,0,0
BG,Bulgarie,Europe,CTR,539135342,0,0,0,0,0,0,0,0,0
BI,Burundi,Afrique,CTR,42744420,0,0,0,0,0,0,0,0,0
CM,Cameroun,Afrique,CTR,2366092853,0,0,0,0,0,0,0,0,0
CA,Canada,Amérique,CTR,7019319871,0,0,0,0,0,0,0,0,0
CV,Cap Vert,Afrique,CTR,30000000,0,0,0,0,0,0,0,0,0
CF,Centrafrique,Afrique,CTR,74806166,0,0,0,0,0,0,0,0,0
CL,Chili,Amérique,CTR,4100000,0,0,0,0,0,0,0,0,0
CN,Chine,Asie,CTR,9666665556,0,0,0,0,0,0,0,0,0
CY,Chypre,Asie,CTR,324680601,0,0,0,0,0,0,0,0,0
CO,Colombie,Amérique,CTR,34360134,0,0,0,0,0,0,0,0,0
KM,Comores,Afrique,CTR,1450976,0,0,0,0,0,0,0,0,0
KR,Corée Du Sud,Asie,CTR,418775569,0,0,0,0,0,0,0,0,0
HR,Croatie,Europe,CTR,12066329,0,0,0,0,0,0,0,0,0
CU,Cuba,Amérique,CTR,1092600,0,0,0,0,0,0,0,0,0
DK,Danemark,Europe,CTR,638006073,560462,0,0,560462,0,0,0,0,0
DJ,Djibouti,Afrique,CTR,6998868,0,0,0,0,0,0,0,0,0
DM,Dominica,Amérique,CTR,5772000,0,0,0,0,0,0,0,0,0
EG,Egypte,Afrique,CTR,897571272,0,0,0,0,0,0,0,0,0
AE,Emirats Arabes Unis,Asie,CTR,897292683115,41000289,41000289,0,0,0,0,0,0,0
ES,Espagne,Europe,CTR,3705597482,0,0,0,0,0,0,0,0,0
EE,Estonie,Europe,CTR,70401175,0,0,0,0,0,0,0,0,0
US,Etats-Unis,Amérique,CTR,94071180171,115013449,0,0,0,0,0,106005316,0,9008133
ET,Ethiopie,Afrique,CTR,1295308861,0,0,0,0,0,0,0,0,0
FI,Finlande,Europe,CTR,1589561772,0,0,0,0,0,0,0,0,0
FR,France,Europe,CTR,332040065501,310911539,0,1668754,34120000,237569903,37552882,0,0,0
GA,Gabon,Afrique,CTR,1736068362,0,0,0,0,0,0,0,0,0
GM,Gambie,Afrique,CTR,181991549,0,0,0,0,0,0,0,0,0
GH,Ghana,Afrique,CTR,3939746558,0,0,0,0,0,0,0,0,0
GR,Grèce,Europe,CTR,122320556,0,0,0,0,0,0,0,0,0
GN,Guinée   ,Afrique,CTR,1145412978,0,0,0,0,0,0,0,0,0
GY,Guyana,Amérique,CTR,2181865,0,0,0,0,0,0,0,0,0
HT,Haiti,Amérique,CTR,1500000,0,0,0,0,0,0,0,0,0
HK,Hong Kong,Asie,CTR,694126245,0,0,0,0,0,0,0,0,0
HU,Hongrie,Europe,CTR,45803390,0,0,0,0,0,0,0,0,0
IN,Inde,Asie,CTR,2771772927,30769962,0,0,18704400,0,0,0,12065562,0
ID,Indonesie,Asie,CTR,2523917,0,0,0,0,0,0,0,0,0
IQ,Irak,Asie,CTR,1894840,0,0,0,0,0,0,0,0,0
IE,Irlande,Europe,CTR,1692090780,0,0,0,0,0,0,0,0,0
IL,Israël,Asie,CTR,1544315808,0,0,0,0,0,0,0,0,0
IT,Italie,Europe,CTR,4459584598,0,0,0,0,0,0,0,0,0
JP,Japon,Asie,CTR,57073214795,0,0,0,0,0,0,0,0,0
JO,Jordanie,Asie,CTR,9390487,0,0,0,0,0,0,0,0,0
KE,Kenya,Afrique,CTR,4288634859,0,0,0,0,0,0,0,0,0
LV,Lettonie,Europe,CTR,180367915,0,0,0,0,0,0,0,0,0
LB,Liban,Asie,CTR,5648137853,0,0,0,0,0,0,0,0,0
LR,Liberia,Afrique,CTR,253920550,0,0,0,0,0,0,0,0,0
LT,Lituanie,Europe,CTR,33900813,0,0,0,0,0,0,0,0,0
LU,Luxembourg,Europe,CTR,79339981377,0,0,0,0,0,0,0,0,0
MK,Macédoine Du Nord,Europe,CTR,6036247,0,0,0,0,0,0,0,0,0
MG,Madagascar,Afrique,CTR,42234606,0,0,0,0,0,0,0,0,0
MY,Malaisie,Asie,CTR,82726419,0,0,0,0,0,0,0,0,0
MW,Malawi,Afrique,CTR,10120800,0,0,0,0,0,0,0,0,0
MV,Maldives,Asie,CTR,61686332,0,0,0,0,0,0,0,0,0
MT,Malte,Europe,CTR,246328317,0,0,0,0,0,0,0,0,0
MA,Maroc,Afrique,CTR,203664103270,0,0,0,0,0,0,0,0,0
MU,Maurice ,Afrique,CTR,55194032631,0,0,0,0,0,0,0,0,0
MR,Mauritanie,Afrique,CTR,1910223271,0,0,0,0,0,0,0,0,0
MZ,Mozanbique,Afrique,CTR,2633640,0,0,0,0,0,0,0,0,0
NA,Namibie,Afrique,CTR,1590409,0,0,0,0,0,0,0,0,0
NP,Nepal,Asie,CTR,1548059,0,0,0,0,0,0,0,0,0
NG,Nigeria,Afrique,CTR,11240530716,0,0,0,0,0,0,0,0,0
NO,Norvege,Europe,CTR,699780479,0,0,0,0,0,0,0,0,0
NZ,Nouvelle-Zélande,Océanie,CTR,21587545,0,0,0,0,0,0,0,0,0
UG,Ouganda,Afrique,CTR,34032429,0,0,0,0,0,0,0,0,0
PK,Pakistan,Asie,CTR,175878408,0,0,0,0,0,0,0,0,0
PA,Panama,Amérique,CTR,104475000,0,0,0,0,0,0,0,0,0
NL,Pays-Bas,Europe,CTR,21106398711,0,0,0,0,0,0,0,0,0
PE,Perou,Amérique,CTR,28706404,0,0,0,0,0,0,0,0,0
PH,Philippines,Asie,CTR,553855740,0,0,0,0,0,0,0,0,0
PL,Pologne,Europe,CTR,183588207,0,0,0,0,0,0,0,0,0
PT,Portugal,Europe,CTR,2426478556,0,0,0,0,0,0,0,0,0
CD,République Démocratique Du Congo,Afrique,CTR,291685739,0,0,0,0,0,0,0,0,0
DO,Republique Dominicaine,Amérique,CTR,40326378,0,0,0,0,0,0,0,0,0
CG,République Du Congo,Afrique,CTR,1526200,0,0,0,0,0,0,0,0,0
CZ,République Tchèque,Europe,CTR,5906626,0,0,0,0,0,0,0,0,0
RO,Roumanie,Europe,CTR,70733034,0,0,0,0,0,0,0,0,0
GB,Royaume-Uni,Europe,CTR,350026033694,385495313,0,0,0,0,0,385495313,0,0
RU,Russie,Europe,CTR,958909479,0,0,0,0,0,0,0,0,0
RW,Rwanda,Afrique,CTR,148278533,0,0,0,0,0,0,0,0,0
SC,Seychelles,Afrique,CTR,383283459,0,0,0,0,0,0,0,0,0
SL,Sierra Leone,Afrique,CTR,50374630,0,0,0,0,0,0,0,0,0
SG,Singapour ,Asie,CTR,9684103785,120921200,0,0,0,0,0,120921200,0,0
SK,Slovaquie,Europe,CTR,13647614,0,0,0,0,0,0,0,0,0
SI,Slovénie,Europe,CTR,15504135,0,0,0,0,0,0,0,0,0
SE,Suède,Europe,CTR,4379024757,0,0,0,0,0,0,0,0,0
CH,Suisse,Europe,CTR,18515895999,14071200,0,0,14071200,0,0,0,0,0
TW,Taïwan,Asie,CTR,27319835,0,0,0,0,0,0,0,0,0
TZ,Tanzanie,Afrique,CTR,115836946,0,0,0,0,0,0,0,0,0
TD,Tchad,Afrique,CTR,720082994,0,0,0,0,0,0,0,0,0
TN,Tunisie,Afrique,CTR,4370860223,0,0,0,0,0,0,0,0,0
TR,Turquie,Asie,CTR,1390629181,0,0,0,0,0,0,0,0,0
VD,Vietnam,Asie,CTR,204055574,0,0,0,0,0,0,0,0,0
ZM,Zambie,Afrique,CTR,675559007,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,Afrique,CTR,2128020,0,0,0,0,0,0,0,0,0
AFR,Afrique,Afrique,CTN,23778475897,0,0,0,0,0,0,0,0,0
AME,Amérique,Amérique,CTN,14782160177,115013449,0,0,0,0,0,106005316,0,9008133
ASI,Asie,Asie,CTN,17688590774,192691451,41000289,0,18704400,0,0,120921200,12065562,0
EUR,Europe,Europe,CTN,120439950116,1400764824,0,1668754,54524084,237569903,37552882,1069449201,0,0
OCE,Océanie,Océanie,CTN,633589656,0,0,0,0,0,0,0,0,0
