CODE,ADM_NAME,CONTINENT,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14,FLD15
ZA,Afrique Du Sud,Afrique,CTR,1115188923,377608355,423689888,3006712,10347341,0,0,0,0,72155270,101029344,0,0,0,0
AL,Albania,Europe,CTR,36005480,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZ,Algerie,Afrique,CTR,33782413,33782413,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,Allemagne,Europe,CTR,1635877669,757632114,1,625985961,7,22794506,124722508,590361,27706508,85,0,2452834,0,4864590,0,0,0,0
AD,Andorre,Europe,CTR,25287142,9544174,1311914,0,0,0,0,14431054,0,0,0,0,0,0,0
AR,Argentine,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,Armenie,Asie,CTR,163806894,65413344,98393550,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australie,Océanie,CTR,538065652,6,240986581,131151368,0,81112969,63,0,9067500,0,0,0,0,0,0,0,0
AT,Autriche,Europe,CTR,102047067,44420095,55058605,0,0,0,0,0,0,0,0,0,2568367,0,0
BB,Barbados,Amérique,CTR,2389933,0,0,0,0,0,0,0,2389933,0,0,0,0,0,0
BE,Belgique,Europe,CTR,2610905872,989533266,656996416,5,0,227933438,206751282,7215527,0,1262573,46830300,19491762,0,0,0,0
BW,Botswana,Afrique,CTR,2062369,0,0,0,0,0,0,0,0,0,0,0,2062369,0,0
BR,Bresil,Amérique,CTR,49481267,0,49481267,0,0,0,0,0,0,0,0,0,0,0,0
BG,Bulgarie,Europe,CTR,342335123,28862108,181566110,0,0,131191400,0,0,715505,0,0,0,0,0,0
BI,Burundi,Afrique,CTR,2744420,0,2181000,0,563420,0,0,0,0,0,0,0,0,0,0
CM,Cameroun,Afrique,CTR,890839084,8,314998762,288596793,8,77262087,46839679,0,0,0,0,0,129538845,0,0,0,0
CA,Canada,Amérique,CTR,2630085192,425466018,847509289,11676806,0,213936385,417290404,129589000,5914677,0,9537848,0,36616793,0,0
CV,Cap Vert,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF,Centrafrique,Afrique,CTR,35387061,0,35387061,0,0,0,0,0,0,0,0,0,0,0,0
CL,Chili,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,Chine,Asie,CTR,668798095,263984601,120892761,39093253,57990238,0,0,0,2760044,0,150346876,0,4594937,0,0
CY,Chypre,Asie,CTR,97828239,983936,35382753,0,0,0,0,0,0,0,0,0,59355180,0,0
CO,Colombie,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KM,Comores,Afrique,CTR,725488,0,725488,0,0,0,0,0,0,0,0,0,0,0,0
KR,Corée Du Sud,Asie,CTR,31369747,31369747,0,0,0,0,0,0,0,0,0,0,0,0,0
HR,Croatie,Europe,CTR,12066329,0,12066329,0,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Danemark,Europe,CTR,530797277,270576379,185045504,0,0,0,0,0,11148134,0,0,0,0,0,0
DJ,Djibouti,Afrique,CTR,2742268,0,2742268,0,0,0,0,0,0,0,0,0,0,0,0
DM,Dominica,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,Egypte,Afrique,CTR,105370556,78741645,95,19209000,0,0,0,0,0,0,0,0,0,0,0,0
AE,Emirats Arabes Unis,Asie,CTR,3147523383,1563175393,925286486,2,0,93670669,197797850,0,0,0,0,64420263,32,0,8770264,0,0
ES,Espagne,Europe,CTR,979068595,1,159153808,2,462849817,3,0,110655135,6,1580856,2000000,79036130,0,83065146,0,0,0,0,0
EE,Estonie,Europe,CTR,35087435,0,0,0,1479183,0,0,0,0,0,33608252,0,0,0,0
US,Etats-Unis,Amérique,CTR,5397034031,1915674000,1799324471,0,23089410,1,214192999,8,503463613,7,33334170,11328876,9842000,71341459,0,5579282,0,17382270
ET,Ethiopie,Afrique,CTR,4218950,0,3024950,0,0,0,0,0,0,0,0,0,0,0,0
FI,Finlande,Europe,CTR,173382344,119308994,54073350,0,0,0,0,0,0,0,0,0,0,0,0
FR,France,Europe,CTR,38530440618,12503991694,14287938464,457738048,962700969,1050611722,556574243,7,2055756166,0,0,1045204606,12356799,89,498871532,1,0,1500882014
GA,Gabon,Afrique,CTR,208641822,5609368,8818356,0,5099268,78749998,0,0,0,0,818458,0,76865343,0,0
GM,Gambie,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH,Ghana,Afrique,CTR,734260391,9,564361646,123035754,6886574,87,10327231,0,0,0,0,0,15163500,0,0,0,0
GR,Grèce,Europe,CTR,2164898,607000,1557898,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinée   ,Afrique,CTR,75481875,27675224,19914055,0,4332596,0,0,0,0,0,0,0,0,0,0
GY,Guyana,Amérique,CTR,2181865,0,2181865,0,0,0,0,0,0,0,0,0,0,0,0
HT,Haiti,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,Asie,CTR,291887979,210472766,16579894,0,20746645,0,0,0,0,0,0,0,0,0,0
HU,Hongrie,Europe,CTR,33956270,20314988,3801927,0,0,0,0,0,0,0,0,0,0,0,0
IN,Inde,Asie,CTR,924123298,5,471901949,231727363,5,0,18909332,0,0,0,0,0,100027170,0,3790132,0,0
ID,Indonesie,Asie,CTR,2523917,2523917,0,0,0,0,0,0,0,0,0,0,0,0,0
IQ,Irak,Asie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,Irlande,Europe,CTR,1247935165,591265784,501262781,0,0,0,0,0,0,0,0,0,0,0,0
IL,Israël,Asie,CTR,676394446,9,188419324,9,392684789,3918360,0,0,0,0,0,0,4137000,0,0,0,0
IT,Italie,Europe,CTR,2469831180,186469352,5,356589878,6,47884862,112185481,126259759,0,0,0,0,2038296,48237660,0,0,1435952954
JP,Japon,Asie,CTR,6877553,4250769,2626784,0,0,0,0,0,0,0,0,0,0,0,0
JO,Jordanie,Asie,CTR,8518346,0,0,0,0,0,0,0,0,0,1753129,0,0,0,0
KE,Kenya,Afrique,CTR,352130700,2,200689587,27349943,16,660000,0,0,0,0,0,0,70349110,0,22781713,0,0
LV,Lettonie,Europe,CTR,171308939,10167333,22150506,0,0,0,0,0,0,0,29558466,0,109432634,0,0
LB,Liban,Asie,CTR,859325936,242086310,430474925,7092000,53567517,0,0,0,0,0,34155125,0,7349316,0,0
LR,Liberia,Afrique,CTR,206232606,87240000,87420324,0,0,0,0,0,0,0,16572282,0,0,0,0
LT,Lituanie,Europe,CTR,7331112,6532583,798529,0,0,0,0,0,0,0,0,0,0,0,0
LU,Luxembourg,Europe,CTR,506597286,164672288,13712027,0,0,0,0,0,0,0,83679267,0,0,0,0
