ISO CODE;FEAT_NAME;LEVEL;CONTINENT;Flux Total en Fcfa;AFRILAND FIRST BANK;BACI;BBG-CI;BDA;BGFIBank;BHCI;BICICI;BMS;BNI;BOA-CI;BRM-CI;BSIC-CI;CBI-CI;CITIBANK;CNCE;DBCI;ECOBANK-CI;GTBANK-CI;NSIA BANQUE;ORABANK;SCBCI;SGCI;SIB;STABIC BANK;UBA;VERSUSBANK
ISO CODE;FEAT_NAME;LEVEL;CONTINENT;FLD1;FLD2;FLD3;FLD4;FLD5;FLD6;FLD7;FLD8;FLD9;FLD10;FLD11;FLD12;FLD13;FLD14;FLD15;FLD16;FLD17;FLD18;FLD19;FLD20;FLD21;FLD22;FLD23;FLD24;FLD25;FLD26;FLD27
ZA;Afrique Du Sud;CTR;Afrique; 5 941 171 291   ; -     ; 9 568 000   ; -     ; -     ; 3 474 858   ; -     ; 156 239 512   ; -     ; 258 119 491   ; 68 713 857   ; -     ; -     ; 1 857 510   ; 3 491 577 935   ; -     ; 68 834 717   ; 423 682 471   ; 28 101 847   ; 8 938 850   ; 87 392 758   ; 124 096 483   ; -     ; 71 573 074   ; 1 073 139 051   ; 60 860 877   ; -     
AL;Albania;CTR;Europe; 36 005 480   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 36 005 480   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
DZ;Algerie;CTR;Afrique; 97 732 516   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 3 527 500   ; -     ; -     ; -     ; -     ; -     ; -     ; 51 253 784   ; -     ; -     ; -     ; 42 951 232   ; -     ; -     ; -     ; -     ; -     
DE;Allemagne;CTR;Europe; 28 152 478 993   ; 28 701 857   ; 5 129 728 927   ; -     ; 182 329 707   ; -     ; -     ; 507 013 916   ; -     ; 130 306 295   ; 319 342 972   ; -     ; -     ; 179 886 372   ; 11 466 623 863   ; -     ; 1 345 279 820   ; 1 466 989 721   ; 10 884 492   ; 72 319 259   ; 181 747 935   ; 6 107 274 527   ; -     ; 219 945 244   ; 47 596 534   ; 677 273 709   ; -     
AD;Andorre;CTR;Europe; 900 691 684   ; -     ; -     ; -     ; -     ; 7 871 484   ; 3 181 391   ; -     ; -     ; 1 311 914   ; 6 559 570   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 6 362 783   ; 152 175 345   ; -     ; 723 229 197   ; -     ; -     ; -     
AR;Argentine;CTR;Amérique; 8 609 249   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 3 609 249   ; -     ; -     ; -     ; 5 000 000   ; -     ; -     ; -     ; -     ; -     ; -     
AM;Armenie;CTR;Asie; 163 806 894   ; -     ; -     ; -     ; 65 413 344   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 98 393 550   ; -     ; -     ; -     ; -     ; -     ; -     
AU;Australie;CTR;Océanie; 27 144 505 884   ; -     ; 303 870 088   ; -     ; -     ; -     ; -     ; -     ; -     ; 10 535 530   ; 2 248 188   ; -     ; -     ; 16 991 976   ; 7 309 220   ; -     ; -     ; 273 655 966   ; -     ; -     ; -     ; 25 679 644 743   ; -     ; 13 500 000   ; 836 750 173   ; -     ; -     
AT;Autriche;CTR;Europe; 300 694 815   ; -     ; 6 769 148   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 50 645 784   ; -     ; -     ; -     ; -     ; -     ; -     ; 9 327 708   ; -     ; -     ; -     ; 223 981 629   ; -     ; -     ; 9 970 546   ; -     ; -     
BB;Barbados;CTR;Amérique; 2 389 933   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 2 389 933   ; -     ; -     ; -     ; -     ; -     
BE;Belgique;CTR;Europe; 14 569 627 174   ; -     ; 942 581 680   ; -     ; 1 114 142 281   ; 756 543 737   ; -     ; 1 974 392 619   ; -     ; 254 548 428   ; 783 031 708   ; -     ; -     ; 144 020 344   ; 277 431 635   ; -     ; 210 870 371   ; 2 021 585 587   ; 6 264 251   ; 720 957 382   ; 40 410 696   ; 2 251 098 089   ; -     ; 1 979 015 779   ; 396 966 988   ; 25 646 500   ; 567 541 255   
BW;Botswana;CTR;Afrique; 2 062 369   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 2 062 369   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
BR;Bresil;CTR;Amérique; 159 791 402   ; -     ; 8 494 643   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 24 986 170   ; -     ; -     ; 123 358 782   ; -     ; -     ; 2 951 807   ; -     ; -     ; -     
BG;Bulgarie;CTR;Europe; 539 135 342   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 131 191 400   ; 73 989 162   ; -     ; -     ; -     ; -     ; -     ; -     ; 136 439 056   ; -     ; -     ; -     ; 715 505   ; -     ; -     ; -     ; -     ; -     
BI;Burundi;CTR;Afrique; 42 744 420   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 40 696 000   ; -     ; -     ; -     ; 563 420   ; -     ; -     ; -     ; 1 485 000   ; -     
CM;Cameroun;CTR;Afrique; 2 366 092 853   ; 188 632 929   ; 35 566 700   ; -     ; -     ; 191 153 588   ; -     ; -     ; -     ; 71 436 891   ; 283 899 521   ; -     ; -     ; 2 143 667   ; 644 093 170   ; -     ; -     ; 44 171 158   ; 500 495   ; -     ; 6 000 000   ; 795 887 153   ; -     ; 30 225 941   ; -     ; 72 381 640   ; -     
CA;Canada;CTR;Amérique; 7 019 319 871   ; -     ; 550 845 205   ; 84 657 659   ; 355 193 062   ; -     ; 41 922 519   ; 175 215 558   ; -     ; 609 046 121   ; 353 455 376   ; -     ; 69 117 850   ; 27 140 223   ; 96 434 980   ; 11 650 187   ; 390 436 302   ; 1 485 665 409   ; 71 833 591   ; 357 595 000   ; 138 581 293   ; 1 332 863 427   ; -     ; 495 992 522   ; 14 490 747   ; 357 182 840   ; -     
CV;Cap Vert;CTR;Afrique; 30 000 000   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 30 000 000   ; -     ; -     ; -     
CF;Centrafrique;CTR;Afrique; 74 806 166   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 70 774 132   ; -     ; -     ; -     ; -     ; 2 142 034   ; -     ; -     ; -     ; -     ; -     ; -     ; 1 890 000   ; -     ; -     ; -     ; -     ; -     
CL;Chili;CTR;Amérique; 4 100 000   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 4 100 000   ; -     ; -     ; -     ; -     ; -     
CN;Chine;CTR;Asie; 9 666 665 556   ; 2 901 375   ; 1 750 174 865   ; -     ; -     ; 134 268 078   ; -     ; 44 748 092   ; -     ; 7 180 906   ; 125 797 406   ; -     ; -     ; 55 182 261   ; 305 760 931   ; -     ; 679 622 946   ; 3 210 107 584   ; 12 419 050   ; 18 747 251   ; -     ; 2 432 147 992   ; -     ; 552 000 488   ; 156 165 385   ; 179 440 946   ; -     
CY;Chypre;CTR;Asie; 324 680 601   ; -     ; -     ; -     ; -     ; 163 989 250   ; -     ; -     ; -     ; 14 537 654   ; 20 602 101   ; -     ; -     ; -     ; 28 678 440   ; -     ; -     ; -     ; -     ; -     ; 1 443 735   ; 2 106 370   ; -     ; -     ; -     ; 93 323 051   ; -     
CO;Colombie;CTR;Amérique; 34 360 134   ; -     ; 10 999 086   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 12 361 962   ; -     ; -     ; -     ; -     ; -     
KM;Comores;CTR;Afrique; 1 450 976   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; 1 450 976   ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     ; -     
