CODE,ADM_NAME,CONTINENT,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14,FLD15,FLD16,FLD17
AFR,Afrique,Afrique,CTN,13204454799,6097019071,4587378344,305209566.9,167413202,143224540.7,29473333,98000000,15521254,72798777,1063868820,0,624547891.1,0,0,0
ZA,Afrique Du Sud,Afrique,CTR,5386914789,4776686234,423689888,3006712,10347341,0,0,0,0,72155270,101029344,0,0,0,0,0
AL,Albania,Europe,CTR,36005480,36005480,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZ,Algerie,Afrique,CTR,51746618,51746618,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,Allemagne,Europe,CTR,26435807009,25626689740,625985961.7,22794506,124722508,590361,27706508.85,0,2452834,0,4864590,0,0,0,0,0
AME,Amérique,Amérique,CTN,6899465872,2386375492,2756258075,52003184,23089410.1,428129384.8,920754017.7,162923170,19633486,9842000,80879307,0,42196075,0,17382270,17382270
AD,Andorre,Europe,CTR,817938902,802195934,1311914,0,0,0,0,14431054,0,0,0,0,0,0,0,0
AR,Argentine,Amérique,CTR,8609248.5,8609248.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,Armenie,Asie,CTR,163806894,65413344,98393550,0,0,0,0,0,0,0,0,0,0,0,0,0
ASI,Asie,Asie,CTN,6761411202,3254219056,2523320490,64613920,270298150.6,197797850,0,0,10926321,0,354839563.3,0,85395851,0,0,0
AU,Australie,Océanie,CTR,27080080803,26858748965,131151368,0,81112969.63,0,9067500,0,0,0,0,0,0,0,0,0
AT,Autriche,Europe,CTR,300694815,243067843,55058605,0,0,0,0,0,0,0,0,0,2568367,0,0,0
BB,Barbados,Amérique,CTR,2389933,0,0,0,0,0,0,0,2389933,0,0,0,0,0,0,0
BE,Belgique,Europe,CTR,11676586374,10510105076,656996416.5,0,227933438,206751282,7215527,0,1262573,46830300,19491762,0,0,0,0,0
BW,Botswana,Afrique,CTR,2062369,0,0,0,0,0,0,0,0,0,0,0,2062369,0,0,0
BR,Bresil,Amérique,CTR,154839530,105358263,49481267,0,0,0,0,0,0,0,0,0,0,0,0,0
BG,Bulgarie,Europe,CTR,539135342,225662327,181566110,0,0,131191400,0,0,715505,0,0,0,0,0,0,0
BI,Burundi,Afrique,CTR,17744420,15000000,2181000,0,563420,0,0,0,0,0,0,0,0,0,0,0
CM,Cameroun,Afrique,CTR,2194268898,1652031493,288596793.8,77262087,46839679,0,0,0,0,0,129538845,0,0,0,0,0
