CODE,ADM_NAME,CONTINENT,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10
AFR,Afrique,Afrique,CTN,2283927976,1294807572,127764502,17738433.7,51975000,527212872.6,20842166,198807264,44780166.14,0
ZA,Afrique Du Sud,Afrique,CTR,51219492,51219492,0,0,0,0,0,0,0,0
AL,Albania,Europe,CTR,0,0,0,0,0,0,0,0,0,0
DZ,Algerie,Afrique,CTR,24353269,24353269,0,0,0,0,0,0,0,0
DE,Allemagne,Europe,CTR,125330312,14844700,0,55092733,0,0,35392882,19999997,0,0
AME,Amérique,Amérique,CTN,242308570,49086744,52985000,1242250,2342242,58263885,7545000,70843449,0,0
AD,Andorre,Europe,CTR,27914777,0,0,0,0,0,0,27914777,0,0
AR,Argentine,Amérique,CTR,0,0,0,0,0,0,0,0,0,0
AM,Armenie,Asie,CTR,0,0,0,0,0,0,0,0,0,0
ASI,Asie,Asie,CTN,716477753.8,346586094.2,0,0,0,150228502,94697994.13,28585926.25,0,96379237.24
AU,Australie,Océanie,CTR,45889551,45889551,0,0,0,0,0,0,0,0
AT,Autriche,Europe,CTR,0,0,0,0,0,0,0,0,0,0
BB,Barbados,Amérique,CTR,0,0,0,0,0,0,0,0,0,0
BE,Belgique,Europe,CTR,1122100172,183234897,0,2004357,0,76500000,860360918.4,0,0,0
BW,Botswana,Afrique,CTR,0,0,0,0,0,0,0,0,0,0
BR,Bresil,Amérique,CTR,0,0,0,0,0,0,0,0,0,0
BG,Bulgarie,Europe,CTR,0,0,0,0,0,0,0,0,0,0
BI,Burundi,Afrique,CTR,0,0,0,0,0,0,0,0,0,0
CM,Cameroun,Afrique,CTR,103935389.7,92301921,0,7782352.7,0,0,0,0,3851116,0
CA,Canada,Amérique,CTR,130852757,20690910,52985000,0,2342242,42373204,0,12461401,0,0
CV,Cap Vert,Afrique,CTR,0,0,0,0,0,0,0,0,0,0
CF,Centrafrique,Afrique,CTR,2142034.14,0,0,0,0,0,0,0,2142034.14,0
CL,Chili,Amérique,CTR,0,0,0,0,0,0,0,0,0,0
CN,Chine,Asie,CTR,41450905.38,19678710,0,0,0,0,16590164.13,5182031.25,0,0
CY,Chypre,Asie,CTR,12176209,12176209,0,0,0,0,0,0,0,0
CO,Colombie,Amérique,CTR,10999086,10999086,0,0,0,0,0,0,0,0
KM,Comores,Afrique,CTR,0,0,0,0,0,0,0,0,0,0
KR,Corée Du Sud,Asie,CTR,0,0,0,0,0,0,0,0,0,0
HR,Croatie,Europe,CTR,0,0,0,0,0,0,0,0,0,0
CU,Cuba,Amérique,CTR,0,0,0,0,0,0,0,0,0,0
