CODE,ADM_NAME,CONTINENT,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14
AFR,Afrique,Afrique,CTN,999391797.9,600000,0,64691846,211976864,0,13119140,0,4193291,4000000,0,115462164.9,585348492,0
ZA,Afrique Du Sud,Afrique,CTR,135138689.9,0,0,0,0,0,0,0,0,4193291,0,0,32889587.92,98055811
AL,Albania,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZ,Algerie,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,Allemagne,Europe,CTR,465264894.4,0,0,0,12244532,0,0,0,0,0,0,126110049.4,40266149,285706880
AME,Amérique,Amérique,CTN,1359701759,0,0,102775405,553229638,0,31791566,0,535401539,0,17640000,27712024,91151587,0
AD,Andorre,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentine,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,Armenie,Asie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASI,Asie,Asie,CTN,3863014542,0,0,0,2133602234,3345381,73345381,0,23024091,0,750497038,353034041,388548990,137617386 
AU,Australie,Océanie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,Autriche,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB,Barbados,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgique,Europe,CTR,693407008,0,0,4744753,666813416,0,0,0,0,0,0,21848839,0,0
BW,Botswana,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Bresil,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG,Bulgarie,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BI,Burundi,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM,Cameroun,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,Amérique,CTR,192714685,0,0,102775405,39939280,0,0,0,0,50000000,0,0,0,0
CV,Cap Vert,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF,Centrafrique,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Chili,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,Chine,Asie,CTR,424646056,0,0,0,133559181,0,0,0,0,0,0,14017166,175844458,22668721
CY,Chypre,Asie,CTR,163989250,0,0,0,163989250,0,0,0,0,0,0,0,0,0
CO,Colombie,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KM,Comores,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR,Corée Du Sud,Asie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR,Croatie,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Danemark,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJ,Djibouti,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DM,Dominica,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,Egypte,Afrique,CTR,54113631,0,0,0,0,0,0,0,0,0,0,0,54113631,0
AE,Emirats Arabes Unis,Asie,CTR,1131788079,0,0,0,309771525,0,0,0,0,19678710,0,631456620,25017360,145863863.6
ES,Espagne,Europe,CTR,144939142,0,0,0,128948642,0,0,0,0,0,0,0,0,15990500
EE,Estonie,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,Etats-Unis,Amérique,CTR,1166987074,0,0,0,513290358,0,31791566,0,0,485401539,0,17640000,27712024,91151587
ET,Ethiopie,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUR,Europe,Europe,CTN,9096105399,2623828,50672678,263574059,3857161542,0,265045808,64667691,1814209042,1967871,1228009533,427841433,1041093830,79238084
FI,Finlande,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,France,Europe,CTR,3780270118,2623828,50672678,258829306,1078301743,0,172782177,0,64667691,1715881842,1967871,33231916.03,219985475,151432973.8
GA,Gabon,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM,Gambie,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH,Ghana,Afrique,CTR,510270042,0,0,0,0,0,0,0,0,0,4000000,0,28458946,477811096
GR,Grèce,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinée   ,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GY,Guyana,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HT,Haiti,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,Asie,CTR,5822731,0,0,0,0,0,0,0,0,0,0,3472252,2350479,0
HU,Hongrie,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,Inde,Asie,CTR,323523796,0,0,0,0,0,0,0,0,0,0,0,133358535,137044405
ID,Indonesie,Asie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IQ,Irak,Asie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,Irlande,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,Israël,Asie,CTR,101551000,0,0,0,0,0,0,0,0,0,0,101551000,0,0
IT,Italie,Europe,CTR,237308458,0,0,0,95592405,0,0,0,0,10000000,0,27276593,2623828,101815632
JP,Japon,Asie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JO,Jordanie,Asie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KE,Kenya,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LV,Lettonie,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LB,Liban,Asie,CTR,1597781630,0,0,0,1501282278,3345381,73345381,0,0,3345381,0,0,16463209,0
LR,Liberia,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT,Lituanie,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU,Luxembourg,Europe,CTR,329789391.5,0,0,0,329789391.5,0,0,0,0,0,0,0,0,0
MK,Macédoine Du Nord,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Madagascar,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MY,Malaisie,Asie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MW,Malawi,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MV,Maldives,Asie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,Malte,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,Maroc,Afrique,CTR,809956,0,0,0,809956,0,0,0,0,0,0,0,0,0
MU,Maurice ,Afrique,CTR,268977894,0,0,44691846,211166908,0,13119140,0,0,0,0,0,0,0
MR,Mauritanie,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MZ,Mozanbique,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,Namibie,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP,Nepal,Asie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NG,Nigeria,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Norvege,Europe,CTR,1188214,0,0,0,0,0,0,0,0,0,0,0,1188214,0
NZ,Nouvelle-Zélande,Océanie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCE,Océanie,Océanie,CTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UG,Ouganda,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PK,Pakistan,Asie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,Panama,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Pays-Bas,Europe,CTR,1077302692,0,0,0,374805528,0,0,0,0,61447200,0,46206005,99300739,447135037
PE,Perou,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PH,Philippines,Asie,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,Pologne,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT,Portugal,Europe,CTR,36293989,0,0,0,19678710,0,0,0,0,0,0,16615279,0,0
CD,République Démocratique Du Congo,Afrique,CTR,1612867,0,0,0,0,0,0,0,0,0,0,0,0,1612867
DO,Republique Dominicaine,Amérique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CG,République Du Congo,Afrique,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,République Tchèque,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Roumanie,Europe,CTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
