CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9
R02,ABIDJAN 2,N/A,REGION,3217801,92127,394917,1050216,2167585,968413,168604,140504,21076
D76,ABOBO EST,YES,DISTRICT,701637,23283,98235,257033,444604,193167,32856,27380,4107
D77,ABOBO OUEST,YES,DISTRICT,352625,11723,49257,128863,223762,97479,21905,18254,2738
D78,ANYAMA,YES,DISTRICT,163246,6436,24928,64129,99117,41442,7267,6056,908
D79,COCODY BINGERVILLE,YES,DISTRICT,614405,15689,64559,169554,444851,210154,35383,29486,4423
D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,980413,26263,119103,320692,659721,297225,49652,41377,6207
D81,MARCORY-TREICHVILLE,YES,DISTRICT,405475,8733,38836,109945,295530,128948,21541,17951,2693
R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,2399364,73402,316252,838421,1560943,683098,116630,97191,14579
D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,737895,21055,95983,252761,485134,202906,33899,28249,4237
D26,DABOU,YES,DISTRICT,153371,5407,22867,61401,91970,37370,6972,5810,872
D38,GRAND-LAHOU,YES,DISTRICT,155884,6102,28044,71494,84390,34692,6474,5395,809
D43,JACQUEVILLE,YES,DISTRICT,58008,2250,9794,24928,33080,13239,2471,2059,309
D83,YOPOUGON-EST,YES,DISTRICT,661730,19790,81736,218862,442867,202831,42329,35274,5291
D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,632476,18799,77828,208975,423501,192061,24485,20404,3061
R03,AGNEBY-TIASSA-ME,N/A,REGION,1195490,37731,180386,485663,709827,275319,49673,41394,6209
D05,ADZOPE,YES,DISTRICT,202498,6823,27152,76241,126257,48964,8994,7495,1124
D06,AGBOVILLE,YES,DISTRICT,316203,11659,51236,134746,181457,71238,12650,10542,1581
D08,AKOUPE,YES,DISTRICT,204368,5853,28798,80149,124219,49717,9133,7611,1142
D09,ALEPE,YES,DISTRICT,131718,4108,20519,55558,76160,29813,5476,4563,684
D61,SIKENSI,YES,DISTRICT,84908,2882,12671,34919,49989,19594,3479,2899,435
D67,TIASSALE,YES,DISTRICT,255795,6406,40010,104049,151746,55992,9941,8284,1243
R04,BELIER,N/A,REGION,763455,23906,110981,312497,450958,175508,31031,25859,3879
D30,DIDIEVI,YES,DISTRICT,102068,3538,17152,47163,54905,19797,3493,2911,437
D68,TIEBISSOU,YES,DISTRICT,107554,4013,17716,48947,58607,21543,3800,3167,475
D71,TOUMODI,YES,DISTRICT,168122,5669,26099,72077,96045,37091,6544,5453,818
D73,YAMOUSSOUKRO,YES,DISTRICT,385711,10685,50014,144310,241401,97077,17194,14328,2149
