ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6
1,R02,ABIDJAN 2,N/A,REGION,5266,1.9,3300,1.5,1245,2.4
2,D76,ABOBO EST,YES,DISTRICT,7884,1.3,4441,1.1,1545,1.9
3,D77,ABOBO OUEST,YES,DISTRICT,7053,1.4,3833,1.3,1071,2.8
4,D78,ANYAMA,YES,DISTRICT,5830,1.7,1700,2.9,1151,2.6
5,D79,COCODY BINGERVILLE,YES,DISTRICT,3042,3.3,2226,2.2,778,3.9
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,7427,1.3,4456,1.1,1748,1.7
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,3686,2.7,3049,1.6,1499,2
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,7790,1.3,3332,1.5,1400,2.1
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,5676,1.8,2743,1.8,990,3
10,D26,DABOU,YES,DISTRICT,4382,2.3,1382,3.6,719,4.2
11,D38,GRAND-LAHOU,YES,DISTRICT,11135,0.9,2834,1.8,1196,2.5
12,D43,JACQUEVILLE,YES,DISTRICT,3223,3.1,921,5.4,779,3.9
13,D83,YOPOUGON-EST,YES,DISTRICT,22818,0.4,8376,0.6,3220,0.9
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,7713,1.3,4423,1.1,1574,1.9
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,8922,1.1,1992,2.5,1246,2.4
16,D05,ADZOPE,YES,DISTRICT,8437,1.2,1808,2.8,1255,2.4
17,D06,AGBOVILLE,YES,DISTRICT,19763,0.5,4392,1.1,1925,1.6
18,D08,AKOUPE,YES,DISTRICT,6193,1.6,1262,4,956,3.1
19,D09,ALEPE,YES,DISTRICT,5987,1.7,1626,3.1,1028,2.9
20,D61,SIKENSI,YES,DISTRICT,10614,0.9,2071,2.4,1031,2.9
21,D67,TIASSALE,YES,DISTRICT,8251,1.2,1938,2.6,1244,2.4
22,R04,BELIER,N/A,REGION,5532,1.8,1890,2.6,1227,2.4
23,D30,DIDIEVI,YES,DISTRICT,17011,0.6,2268,2.2,1980,1.5
24,D68,TIEBISSOU,YES,DISTRICT,8963,1.1,1763,2.8,1134,2.6
25,D71,TOUMODI,YES,DISTRICT,6227,1.6,1389,3.6,843,3.6
26,D73,YAMOUSSOUKRO,YES,DISTRICT,4147,2.4,2179,2.3,1387,2.2
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,14971,0.7,2799,1.8,2185,1.4
28,D15,BONDOUKOU,YES,DISTRICT,13584,0.7,3064,1.6,2587,1.2
29,D22,BOUNA,YES,DISTRICT,20192,0.5,3846,1.3,3020,1
30,D52,NASSIAN,YES,DISTRICT,9692,1,1731,2.9,1362,2.2
31,D65,TANDA,YES,DISTRICT,15252,0.7,2246,2.2,1591,1.9
32,R06,CAVALLY-GUEMON,N/A,REGION,20496,0.5,4055,1.2,2380,1.3
33,D10,BANGOLO,YES,DISTRICT,35326,0.3,6794,0.7,4051,0.7
34,D13,BLOLEQUIN,YES,DISTRICT,18206,0.5,3268,1.5,2032,1.5
35,D33,DUEKOUE,YES,DISTRICT,22661,0.4,4400,1.1,3014,1
36,D40,GUIGLO,YES,DISTRICT,18059,0.6,3042,1.6,1932,1.6
37,D46,KOUIBLY,YES,DISTRICT,21444,0.5,4468,1.1,1970,1.5
38,D70,TOULEPLEU,YES,DISTRICT,5889,1.7,1840,2.7,774,3.9
39,R07,GBEKE,N/A,REGION,12828,0.8,3034,1.6,1494,2
40,D20,BEOUMI,YES,DISTRICT,16243,0.6,3065,1.6,1067,2.8
41,D17,BOUAKE NORD-EST,YES,DISTRICT,10548,0.9,2752,1.8,1686,1.8
42,D18,BOUAKE NORD-OUEST,YES,DISTRICT,16339,0.6,4668,1.1,2612,1.1
43,D19,BOUAKE-SUD,YES,DISTRICT,11064,0.9,2294,2.2,1327,2.3
44,D21,SAKASSOU,YES,DISTRICT,8297,1.2,1778,2.8,577,5.2
45,R08,GBOKLE-NAWA-SAN-PEDRO,N/A,REGION,18765,0.5,4117,1.2,2327,1.3
46,D39,GUEYO,YES,DISTRICT,9607,1,2882,1.7,1177,2.5
47,D58,SAN-PEDRO,YES,DISTRICT,15167,0.7,3706,1.3,1881,1.6
48,D59,SASSANDRA,YES,DISTRICT,18204,0.5,3821,1.3,2620,1.1
49,D63,SOUBRE,YES,DISTRICT,26360,0.4,5444,0.9,3328,0.9
50,D64,TABOU,YES,DISTRICT,15540,0.6,2658,1.9,1573,1.9
51,R09,GÔH,N/A,REGION,12116,0.8,2337,2.1,1368,2.2
52,D36,GAGNOA,YES,DISTRICT,35497,0.3,7099,0.7,3923,0.8
53,D56,OUME,YES,DISTRICT,4951,2,944,5.3,558,5.4
54,R10,HAMBOL,N/A,REGION,11890,0.8,2781,1.8,1603,1.9
55,D25,DABAKALA,YES,DISTRICT,16103,0.6,3489,1.4,1908,1.6
56,D44,KATIOLA,YES,DISTRICT,7883,1.3,1792,2.8,1026,2.9
57,D53,Niakaramandougou,YES,DISTRICT,12335,0.8,3289,1.5,2101,1.4
58,R11,HAUT SASSANDRA,N/A,REGION,18032,0.6,3243,1.5,1817,1.7
59,D27,DALOA,YES,DISTRICT,14807,0.7,2973,0.9,1749,0.9
60,D42,ISSIA,YES,DISTRICT,17833,0.6,2689,3.6,1443,3.8
61,D72,VAVOUA,YES,DISTRICT,29590,0.3,4817,1,2525,1.2
62,R12,INDENIE DUABLIN,N/A,REGION,9071,1.1,1809,2.8,1227,2.4
63,D01,ABENGOUROU,YES,DISTRICT,8477,1.2,1805,2.8,1286,2.3
64,D07,AGNIBILEKROU,YES,DISTRICT,10133,1,1900,2.6,1237,2.4
65,D11,BETTIE,YES,DISTRICT,10139,1,1601,3.1,939,3.2
66,R13,KABADOUGOU-BAFING-FOLON,N/A,REGION,8831,1.1,3104,1.6,1508,2
67,D51,MINIGNAN,YES,DISTRICT,10484,1,4032,1.2,1485,2
68,D54,ODIENNE,YES,DISTRICT,7053,1.4,2622,1.9,1283,2.3
69,D69,TOUBA,YES,DISTRICT,10676,0.9,3325,1.5,1823,1.6
70,R14,LÔH-DJIBOUA,N/A,REGION,16472,0.6,2671,1.9,1402,2.1
71,D32,DIVO,YES,DISTRICT,15157,0.7,2165,2.3,1385,2.2
72,D35,FRESCO,YES,DISTRICT,13084,0.8,2617,1.9,1166,2.6
73,D41,GUITRY,YES,DISTRICT,31590,0.3,8313,0.6,2885,1
74,D47,LAKOTA,YES,DISTRICT,15545,0.6,2560,2,1125,2.7
75,R15,MARAHOUE,N/A,REGION,17623,0.6,2856,1.8,1904,1.6
76,D16,BOUAFLE,YES,DISTRICT,17750,0.6,2493,2,1849,1.6
77,D62,SINFRA,YES,DISTRICT,15165,0.7,3069,1.6,2260,1.3
78,D75,ZUENOULA,YES,DISTRICT,21136,0.5,3577,1.4,1699,1.8
79,R16,N'ZI-IFFOU,N/A,REGION,10912,0.9,2448,2,1643,1.8
80,D14,BOCANDA,YES,DISTRICT,14663,0.7,3384,1.5,2725,1.1
81,D24,BONGOUANOU,YES,DISTRICT,16408,0.6,2896,1.7,2208,1.4
82,D29,DAOUKRO,YES,DISTRICT,10618,0.9,2149,2.3,1581,1.9
83,D31,DIMBOKRO,YES,DISTRICT,5388,1.9,1383,3.6,1118,2.7
84,D50,M'BAHIAKRO,YES,DISTRICT,7543,1.3,2382,2.1,923,3.2
85,D57,PRIKRO,YES,DISTRICT,8259,1.2,2360,2.1,1039,2.9
86,R17,PORO-TCHOLOGO-BAGOUE,N/A,REGION,18760,0.5,3954,1.3,2550,1.2
87,D23,BOUNDIALI,YES,DISTRICT,18229,0.5,3942,1.3,2863,1
88,D34,FERKESSEDOUGOU,YES,DISTRICT,22345,0.4,3575,1.4,1985,1.5
89,D45,KORHOGO,YES,DISTRICT,18122,0.6,3799,1.3,2652,1.1
90,D55,OUANGOLODOUGOU,YES,DISTRICT,27461,0.4,6538,0.8,3069,1
91,D66,TENGRELA,YES,DISTRICT,11186,0.9,2983,1.7,1936,1.5
92,R18,SUD-COMOE,N/A,REGION,5646,1.8,1605,3.1,917,3.3
93,D03,ABOISSO,YES,DISTRICT,6938,1.4,1923,2.6,1013,3
94,D04,ADIAKE,YES,DISTRICT,6209,1.6,1814,2.8,1106,2.7
95,D37,GRAND-BASSAM,YES,DISTRICT,4036,2.5,1160,4.3,720,4.2
96,R19,TONKPI,N/A,REGION,15782,0.6,3203,1.6,2207,1.4
97,D12,BIANKOUMA,YES,DISTRICT,19281,0.5,3421,1.5,2572,1.2
98,D28,DANANE,YES,DISTRICT,20631,0.5,3703,1.4,2209,1.4
99,D48,MAN,YES,DISTRICT,12043,0.8,2637,1.9,1833,1.6
100,D74,ZOUAN-HOUNIEN,YES,DISTRICT,16225,0.6,3637,1.4,2784,1.1
101,R20,WORODOUGOU-BERE,N/A,REGION,14518,0.7,3804,1.3,2062,1.5
102,D49,MANKONO,YES,DISTRICT,21312,0.5,5328,0.9,3396,0.9
103,D60,SEGUELA,YES,DISTRICT,9832,1,2665,1.9,1272,2.4
104,P01,TOTAL CI,N/A,PAYS,7390,1.4,2335,2.1,1333,2.2
