ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6
1,R02,ABIDJAN 2,N/A,REGION,18,22,65,436,119,22
2,D76,ABOBO EST,YES,DISTRICT,2,2,8,63,22,2
3,D77,ABOBO OUEST,YES,DISTRICT,2,3,3,63,32,3
4,D78,ANYAMA,YES,DISTRICT,1,4,9,51,13,1
5,D79,COCODY BINGERVILLE,YES,DISTRICT,3,3,26,98,27,11
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,5,7,15,101,25,5
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,5,3,4,60,0,0
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,9,18,70,221,120,18
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,1,5,4,114,42,11
10,D26,DABOU,YES,DISTRICT,1,3,13,19,22,2
11,D38,GRAND-LAHOU,YES,DISTRICT,1,2,15,4,13,1
12,D43,JACQUEVILLE,YES,DISTRICT,1,2,16,17,11,1
13,D83,YOPOUGON-EST,YES,DISTRICT,2,0,5,26,5,2
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,2,6,17,25,27,1
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,12,35,139,141,140,13
16,D05,ADZOPE,YES,DISTRICT,1,5,28,10,31,2
17,D06,AGBOVILLE,YES,DISTRICT,2,10,33,38,22,2
18,D08,AKOUPE,YES,DISTRICT,2,6,12,16,17,3
19,D09,ALEPE,YES,DISTRICT,2,4,12,15,17,1
20,D61,SIKENSI,YES,DISTRICT,1,2,14,7,16,2
21,D67,TIASSALE,YES,DISTRICT,2,8,39,46,37,3
22,R04,BELIER,N/A,REGION,8,41,121,114,103,8
23,D30,DIDIEVI,YES,DISTRICT,1,8,21,14,19,5
24,D68,TIEBISSOU,YES,DISTRICT,1,5,29,14,22,1
25,D71,TOUMODI,YES,DISTRICT,1,12,37,34,29,1
26,D73,YAMOUSSOUKRO,YES,DISTRICT,1,16,33,42,33,1
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,13,38,124,69,198,13
28,D15,BONDOUKOU,YES,DISTRICT,5,9,43,14,68,3
29,D22,BOUNA,YES,DISTRICT,2,10,33,21,51,5
30,D52,NASSIAN,YES,DISTRICT,1,2,14,7,14,1
31,D65,TANDA,YES,DISTRICT,2,17,32,22,65,4
32,R06,CAVALLY-GUEMON,N/A,REGION,14,19,138,109,129,20
33,D10,BANGOLO,YES,DISTRICT,2,0,25,19,21,2
34,D13,BLOLEQUIN,YES,DISTRICT,2,3,16,19,12,4
35,D33,DUEKOUE,YES,DISTRICT,3,5,29,17,33,1
36,D40,GUIGLO,YES,DISTRICT,2,3,29,7,22,6
37,D46,KOUIBLY,YES,DISTRICT,1,5,18,17,25,5
38,D70,TOULEPLEU,YES,DISTRICT,2,3,19,17,16,2
39,R07,GBEKE,N/A,REGION,15,22,105,158,135,38
40,D20,BEOUMI,YES,DISTRICT,1,5,29,16,34,2
41,D17,BOUAKE NORD-EST,YES,DISTRICT,2,4,9,20,14,18
42,D18,BOUAKE NORD-OUEST,YES,DISTRICT,7,4,34,87,47,13
43,D19,BOUAKE-SUD,YES,DISTRICT,1,0,9,18,18,2
44,D21,SAKASSOU,YES,DISTRICT,1,9,23,3,21,3
45,R08,GBOKLE-NAWA-SAN-PEDRO,N/A,REGION,11,36,133,106,137,13
46,D39,GUEYO,YES,DISTRICT,2,2,12,19,3,0
47,D58,SAN-PEDRO,YES,DISTRICT,4,13,25,40,29,2
48,D59,SASSANDRA,YES,DISTRICT,0,8,27,10,20,2
49,D63,SOUBRE,YES,DISTRICT,0,10,48,22,60,8
50,D64,TABOU,YES,DISTRICT,3,3,20,6,25,1
51,R09,GÔH,N/A,REGION,5,13,110,89,162,12
52,D36,GAGNOA,YES,DISTRICT,2,7,83,62,132,7
53,D56,OUME,YES,DISTRICT,1,6,26,17,29,5
54,R10,HAMBOL,N/A,REGION,4,14,73,50,57,12
55,D25,DABAKALA,YES,DISTRICT,2,6,27,16,23,1
56,D44,KATIOLA,YES,DISTRICT,2,4,29,25,20,6
57,D53,Niakaramandougou,YES,DISTRICT,0,4,17,9,14,5
58,R11,HAUT SASSANDRA,N/A,REGION,8,19,116,83,125,13
59,D27,DALOA,YES,DISTRICT,4,8,56,54,72,10
60,D42,ISSIA,YES,DISTRICT,2,4,27,8,25,2
61,D72,VAVOUA,YES,DISTRICT,1,7,31,14,28,1
62,R12,INDENIE DUABLIN,N/A,REGION,10,22,65,52,82,2
63,D01,ABENGOUROU,YES,DISTRICT,7,13,33,26,52,2
64,D07,AGNIBILEKROU,YES,DISTRICT,1,6,19,13,18,0
65,D11,BETTIE,YES,DISTRICT,1,3,10,8,12,0
66,R13,KABADOUGOU-BAFING-FOLON,N/A,REGION,9,52,105,82,93,61
67,D51,MINIGNAN,YES,DISTRICT,1,8,29,12,10,21
68,D54,ODIENNE,YES,DISTRICT,4,31,41,28,64,4
69,D69,TOUBA,YES,DISTRICT,2,13,34,35,19,36
70,R14,LÔH-DJIBOUA,N/A,REGION,9,19,109,76,100,7
71,D32,DIVO,YES,DISTRICT,5,9,41,21,44,4
72,D35,FRESCO,YES,DISTRICT,1,3,16,15,18,2
73,D41,GUITRY,YES,DISTRICT,1,4,22,21,15,0
74,D47,LAKOTA,YES,DISTRICT,1,3,30,14,23,1
75,R15,MARAHOUE,N/A,REGION,7,19,89,55,96,4
76,D16,BOUAFLE,YES,DISTRICT,2,7,43,6,35,1
77,D62,SINFRA,YES,DISTRICT,2,5,19,21,23,2
78,D75,ZUENOULA,YES,DISTRICT,2,7,26,22,38,1
79,R16,N'ZI-IFFOU,N/A,REGION,9,37,150,118,119,34
80,D14,BOCANDA,YES,DISTRICT,1,4,19,18,22,5
81,D24,BONGOUANOU,YES,DISTRICT,2,21,48,33,32,17
82,D29,DAOUKRO,YES,DISTRICT,2,6,34,20,24,3
83,D31,DIMBOKRO,YES,DISTRICT,2,3,25,26,14,1
84,D50,M'BAHIAKRO,YES,DISTRICT,1,2,11,4,13,4
85,D57,PRIKRO,YES,DISTRICT,0,1,10,5,13,4
86,R17,PORO-TCHOLOGO-BAGOUE,N/A,REGION,13,72,140,81,177,16
87,D23,BOUNDIALI,YES,DISTRICT,2,16,26,13,35,0
88,D34,FERKESSEDOUGOU,YES,DISTRICT,4,13,30,24,30,10
89,D45,KORHOGO,YES,DISTRICT,1,28,52,10,75,0
90,D55,OUANGOLODOUGOU,YES,DISTRICT,2,10,17,19,24,3
91,D66,TENGRELA,YES,DISTRICT,1,5,13,4,13,2
92,R18,SUD-COMOE,N/A,REGION,8,32,57,86,86,10
93,D03,ABOISSO,YES,DISTRICT,3,19,33,49,50,4
94,D04,ADIAKE,YES,DISTRICT,2,6,19,7,23,4
95,D37,GRAND-BASSAM,YES,DISTRICT,1,7,4,16,13,2
96,R19,TONKPI,N/A,REGION,12,20,88,64,131,23
97,D12,BIANKOUMA,YES,DISTRICT,2,4,21,14,35,12
