ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4
1,R02,ABIDJAN 2,N/A,REGION,150,22,0.1,7
2,D76,ABOBO EST,YES,DISTRICT,32,2,0.1,16
3,D77,ABOBO OUEST,YES,DISTRICT,12,3,0.3,4
4,D78,ANYAMA,YES,DISTRICT,19,4,0.2,5
5,D79,COCODY BINGERVILLE,YES,DISTRICT,27,3,0.1,9
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,35,7,0.2,5
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,25,3,0.1,8
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,126,18,0.1,7
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,22,5,0.2,4
10,D26,DABOU,YES,DISTRICT,30,3,0.1,10
11,D38,GRAND-LAHOU,YES,DISTRICT,15,2,0.1,8
12,D43,JACQUEVILLE,YES,DISTRICT,19,2,0.1,10
13,D83,YOPOUGON-EST,YES,DISTRICT,16,0,0,null
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,24,6,0.3,4
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,140,32,0.2,4
16,D05,ADZOPE,YES,DISTRICT,23,5,0.2,5
17,D06,AGBOVILLE,YES,DISTRICT,36,10,0.3,4
18,D08,AKOUPE,YES,DISTRICT,18,6,0.3,3
19,D09,ALEPE,YES,DISTRICT,21,4,0.2,5
20,D61,SIKENSI,YES,DISTRICT,11,2,0.2,6
21,D67,TIASSALE,YES,DISTRICT,31,5,0.2,6
22,R04,BELIER,N/A,REGION,103,41,0.4,3
23,D30,DIDIEVI,YES,DISTRICT,16,8,0.5,2
24,D68,TIEBISSOU,YES,DISTRICT,24,5,0.2,5
25,D71,TOUMODI,YES,DISTRICT,26,12,0.5,2
26,D73,YAMOUSSOUKRO,YES,DISTRICT,37,16,0.4,2
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,176,38,0.2,5
28,D15,BONDOUKOU,YES,DISTRICT,58,9,0.2,6
29,D22,BOUNA,YES,DISTRICT,39,10,0.3,4
30,D52,NASSIAN,YES,DISTRICT,11,2,0.2,6
31,D65,TANDA,YES,DISTRICT,68,17,0.3,4
32,R06,CAVALLY-GUEMON,N/A,REGION,131,19,0.1,7
33,D10,BANGOLO,YES,DISTRICT,20,0,0,null
34,D13,BLOLEQUIN,YES,DISTRICT,11,3,0.3,4
35,D33,DUEKOUE,YES,DISTRICT,37,5,0.1,7
36,D40,GUIGLO,YES,DISTRICT,22,3,0.1,7
37,D46,KOUIBLY,YES,DISTRICT,26,5,0.2,5
38,D70,TOULEPLEU,YES,DISTRICT,15,3,0.2,5
39,R07,GBEKE,N/A,REGION,108,22,0.2,5
40,D20,BEOUMI,YES,DISTRICT,27,5,0.2,5
41,D17,BOUAKE NORD-EST,YES,DISTRICT,17,4,0.2,4
42,D18,BOUAKE NORD-OUEST,YES,DISTRICT,29,4,0.1,7
43,D19,BOUAKE-SUD,YES,DISTRICT,14,0,0,null
44,D21,SAKASSOU,YES,DISTRICT,21,9,0.4,2
45,R08,GBOKLE-NAWA-SAN-PEDRO,N/A,REGION,205,36,0.2,6
46,D39,GUEYO,YES,DISTRICT,11,2,0.2,6
