ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3
1,R02,ABIDJAN 2,N/A,REGION,3217801,1549475,48,2
2,D76,ABOBO EST,YES,DISTRICT,701637,316469,45,1
3,D77,ABOBO OUEST,YES,DISTRICT,352625,223060,63,3
4,D78,ANYAMA,YES,DISTRICT,163246,115216,70,6
5,D79,COCODY BINGERVILLE,YES,DISTRICT,614405,352703,57,4
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,980413,380185,38,8
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,405475,161842,39,9
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,2399364,974701,40,6
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,737895,215242,29,2
10,D26,DABOU,YES,DISTRICT,153371,130647,85,2
11,D38,GRAND-LAHOU,YES,DISTRICT,155884,56001,35,9
12,D43,JACQUEVILLE,YES,DISTRICT,58008,58093,100,1
13,D83,YOPOUGON-EST,YES,DISTRICT,661730,212184,32,1
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,632476,302534,47,8
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,1195490,643014,53,8
16,D05,ADZOPE,YES,DISTRICT,202498,97193,48
17,D06,AGBOVILLE,YES,DISTRICT,316203,140054,44,3
18,D08,AKOUPE,YES,DISTRICT,204368,106065,51,9
19,D09,ALEPE,YES,DISTRICT,131718,86976,66
20,D61,SIKENSI,YES,DISTRICT,84908,59999,70,7
21,D67,TIASSALE,YES,DISTRICT,255795,152727,59,7
22,R04,BELIER,N/A,REGION,763455,430958,56,4
23,D30,DIDIEVI,YES,DISTRICT,102068,53868,52,8
24,D68,TIEBISSOU,YES,DISTRICT,107554,70915,65,9
25,D71,TOUMODI,YES,DISTRICT,168122,115696,68,8
26,D73,YAMOUSSOUKRO,YES,DISTRICT,385711,190479,49,4
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,988077,504298,51
28,D15,BONDOUKOU,YES,DISTRICT,407525,200530,49,2
29,D22,BOUNA,YES,DISTRICT,242308,101743,42
30,D52,NASSIAN,YES,DISTRICT,48462,29172,60,2
31,D65,TANDA,YES,DISTRICT,289782,172853,59,6
32,R06,CAVALLY-GUEMON,N/A,REGION,1496211,568850,38
33,D10,BANGOLO,YES,DISTRICT,353264,78731,22,3
34,D13,BLOLEQUIN,YES,DISTRICT,127443,78863,61,9
35,D33,DUEKOUE,YES,DISTRICT,453224,145419,32,1
36,D40,GUIGLO,YES,DISTRICT,288948,157298,54,4
37,D46,KOUIBLY,YES,DISTRICT,214442,80704,37,6
38,D70,TOULEPLEU,YES,DISTRICT,58890,27835,47,3
39,R07,GBEKE,N/A,REGION,1064759,604023,56,7
40,D20,BEOUMI,YES,DISTRICT,162429,103894,64
41,D17,BOUAKE NORD-EST,YES,DISTRICT,189861,103420,54,5
42,D18,BOUAKE NORD-OUEST,YES,DISTRICT,424821,189097,44,5
43,D19,BOUAKE-SUD,YES,DISTRICT,188081,132977,70,7
44,D21,SAKASSOU,YES,DISTRICT,99566,74635,75
45,R08,GBOKLE-NAWA-SAN-PEDRO,N/A,REGION,2251821,900444,40
46,D39,GUEYO,YES,DISTRICT,86467,33980,39,3
47,D58,SAN-PEDRO,YES,DISTRICT,652175,316089,48,5
48,D59,SASSANDRA,YES,DISTRICT,309474,116810,37,7
49,D63,SOUBRE,YES,DISTRICT,1001686,285754,28,5
50,D64,TABOU,YES,DISTRICT,202019,147811,73,2
51,R09,GÔH,N/A,REGION,981377,556672,56,7
52,D36,GAGNOA,YES,DISTRICT,674435,409178,60,7
53,D56,OUME,YES,DISTRICT,306942,147494,48,1
54,R10,HAMBOL,N/A,REGION,475606,256052,53,8
55,D25,DABAKALA,YES,DISTRICT,209338,100485,48
56,D44,KATIOLA,YES,DISTRICT,118250,67408,57
57,D53,Niakaramandougou,YES,DISTRICT,148018,88159,59,6
58,R11,HAUT SASSANDRA,N/A,REGION,1478612,528240,35,7
59,D27,DALOA,YES,DISTRICT,725530,251956,34,7
60,D42,ISSIA,YES,DISTRICT,338819,154672,45,7
61,D72,VAVOUA,YES,DISTRICT,414263,121612,29,4
62,R12,INDENIE DUABLIN,N/A,REGION,607750,375781,61,8
63,D01,ABENGOUROU,YES,DISTRICT,364530,238788,65,5
64,D07,AGNIBILEKROU,YES,DISTRICT,182388,84111,46,1
65,D11,BETTIE,YES,DISTRICT,60832,52882,86,9
66,R13,KABADOUGOU-BAFING-FOLON,N/A,REGION,512209,274210,53,5
67,D51,MINIGNAN,YES,DISTRICT,104838,47943,45,7
68,D54,ODIENNE,YES,DISTRICT,204534,110498,54
69,D69,TOUBA,YES,DISTRICT,202837,115769,57,1
70,R14,LÔH-DJIBOUA,N/A,REGION,889497,398053,44,8
71,D32,DIVO,YES,DISTRICT,409242,184001,45
72,D35,FRESCO,YES,DISTRICT,104671,68182,65,1
73,D41,GUITRY,YES,DISTRICT,157950,90893,57,5
74,D47,LAKOTA,YES,DISTRICT,217634,90893,41,8
75,R15,MARAHOUE,N/A,REGION,934033,417434,44,7
76,D16,BOUAFLE,YES,DISTRICT,443740,197184,44,4
77,D62,SINFRA,YES,DISTRICT,257802,117190,45,5
78,D75,ZUENOULA,YES,DISTRICT,232491,103060,44,3
79,R16,N'ZI-IFFOU,N/A,REGION,1025739,508699,49,6
80,D14,BOCANDA,YES,DISTRICT,175960,64980,36,9
81,D24,BONGOUANOU,YES,DISTRICT,393799,205462,52,2
82,D29,DAOUKRO,YES,DISTRICT,180513,87246,48,3
83,D31,DIMBOKRO,YES,DISTRICT,102363,70957,69,3
84,D50,M'BAHIAKRO,YES,DISTRICT,90512,39720,43,9
85,D57,PRIKRO,YES,DISTRICT,82592,40334,48,8
86,R17,PORO-TCHOLOGO-BAGOUE,N/A,REGION,1838508,767804,41,8
87,D23,BOUNDIALI,YES,DISTRICT,291671,129417,44,4
88,D34,FERKESSEDOUGOU,YES,DISTRICT,268140,145124,54,1
89,D45,KORHOGO,YES,DISTRICT,869860,355115,40,8
90,D55,OUANGOLODOUGOU,YES,DISTRICT,274605,88621,32,3
91,D66,TENGRELA,YES,DISTRICT,134232,49527,36,9
92,R18,SUD-COMOE,N/A,REGION,666215,453515,68,1
93,D03,ABOISSO,YES,DISTRICT,319154,192489,60,3
94,D04,ADIAKE,YES,DISTRICT,161423,102563,63,5
95,D37,GRAND-BASSAM,YES,DISTRICT,185638,158463,85,4
96,R19,TONKPI,N/A,REGION,1073147,506524,47,2
97,D12,BIANKOUMA,YES,DISTRICT,212095,75698,35,7
98,D28,DANANE,YES,DISTRICT,288835,114066,39,5
99,D48,MAN,YES,DISTRICT,361297,224858,62,2
100,D74,ZOUAN-HOUNIEN,YES,DISTRICT,210920,91902,43,6
101,R20,WORODOUGOU-BERE,N/A,REGION,711375,281795,39,6
102,D49,MANKONO,YES,DISTRICT,426233,161932,38
103,D60,SEGUELA,YES,DISTRICT,285142,119863,42
104,P01,TOTAL CI,N/A,PAYS, 24 571 04,11715997,47,7
