ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5
1,R02,ABIDJAN 2,N/A,REGION,3217801,1057657,33,491818,15
2,D76,ABOBO EST,YES,DISTRICT,701637,244534,34.9,71935,10.3
3,D77,ABOBO OUEST,YES,DISTRICT,352625,155964,44.2,67096,19
4,D78,ANYAMA,YES,DISTRICT,163246,69143,42.4,46073,28.2
5,D79,COCODY BINGERVILLE,YES,DISTRICT,614405,309130,50.3,43573,7.1
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,980413,200188,20.4,179997,18.4
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,405475,78698,19.4,83144,20.5
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,2399364,795884,33.2,178817,7.5
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,737895,193389,26.2,21853,3
10,D26,DABOU,YES,DISTRICT,153371,82880,54,47767,31.1
11,D38,GRAND-LAHOU,YES,DISTRICT,155884,42867,27.5,13134,8.4
12,D43,JACQUEVILLE,YES,DISTRICT,58008,43300,74.6,14793,25.5
13,D83,YOPOUGON-EST,YES,DISTRICT,661730,208746,31.5,3438,0.5
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,632476,224702,35.5,77832,12.3
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,1195490,469924,39.3,173090,14.5
16,D05,ADZOPE,YES,DISTRICT,202498,65833,32.5,31360,15.5
17,D06,AGBOVILLE,YES,DISTRICT,316203,97510,30.8,42544,13.5
18,D08,AKOUPE,YES,DISTRICT,204368,82849,40.5,23216,11.4
19,D09,ALEPE,YES,DISTRICT,131718,69651,52.9,17325,13.2
20,D61,SIKENSI,YES,DISTRICT,84908,44656,52.6,15343,18.1
21,D67,TIASSALE,YES,DISTRICT,255795,109425,42.8,43302,16.9
22,R04,BELIER,N/A,REGION,763455,323941,42.4,107017,14
23,D30,DIDIEVI,YES,DISTRICT,102068,45145,44.2,8723,8.5
24,D68,TIEBISSOU,YES,DISTRICT,107554,54119,50.3,16796,15.6
25,D71,TOUMODI,YES,DISTRICT,168122,82608,49.1,33088,19.7
26,D73,YAMOUSSOUKRO,YES,DISTRICT,385711,142069,36.8,48410,12.6
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,988077,432887,43.8,71411,7.2
28,D15,BONDOUKOU,YES,DISTRICT,407525,175004,42.9,25526,6.3
29,D22,BOUNA,YES,DISTRICT,242308,87507,36.1,14236,5.9
30,D52,NASSIAN,YES,DISTRICT,48462,29172,60.2,0,0
31,D65,TANDA,YES,DISTRICT,289782,141204,48.7,31649,10.9
32,R06,CAVALLY-GUEMON,N/A,REGION,1496211,451125,30.2,117725,7.9
33,D10,BANGOLO,YES,DISTRICT,353264,59211,16.8,19520,5.5
34,D13,BLOLEQUIN,YES,DISTRICT,127443,59691,46.8,19172,15
35,D33,DUEKOUE,YES,DISTRICT,453224,105020,23.2,40399,8.9
36,D40,GUIGLO,YES,DISTRICT,288948,135604,46.9,21694,7.5
37,D46,KOUIBLY,YES,DISTRICT,214442,70681,33,10023,4.7
38,D70,TOULEPLEU,YES,DISTRICT,58890,20918,35.5,6917,11.7
39,R07,GBEKE,N/A,REGION,1064759,575333,54,28690,2.7
40,D20,BEOUMI,YES,DISTRICT,162429,91136,56.1,12758,7.9
41,D17,BOUAKE NORD-EST,YES,DISTRICT,189861,103420,54.5,0,0
42,D18,BOUAKE NORD-OUEST,YES,DISTRICT,424821,189097,44.5,0,0
43,D19,BOUAKE-SUD,YES,DISTRICT,188081,124212,66,8765,4.7
44,D21,SAKASSOU,YES,DISTRICT,99566,67468,67.8,7167,7.2
45,R08,GBOKLE-NAWA-SAN-PEDRO,N/A,REGION,2251821,793948,35.3,106496,4.7
46,D39,GUEYO,YES,DISTRICT,86467,26108,30.2,7872,9.1
47,D58,SAN-PEDRO,YES,DISTRICT,652175,263052,40.3,53037,8.1
48,D59,SASSANDRA,YES,DISTRICT,309474,101500,32.8,15310,4.9
49,D63,SOUBRE,YES,DISTRICT,1001686,266037,26.6,19717,2
50,D64,TABOU,YES,DISTRICT,202019,137251,67.9,10560,5.2
51,R09,GÔH,N/A,REGION,981377,463891,47.3,92781,9.5
52,D36,GAGNOA,YES,DISTRICT,674435,342246,50.7,66932,9.9
53,D56,OUME,YES,DISTRICT,306942,121645,39.6,25849,8.4
54,R10,HAMBOL,N/A,REGION,475606,215075,45.2,40977,8.6
55,D25,DABAKALA,YES,DISTRICT,209338,89373,42.7,11112,5.3
56,D44,KATIOLA,YES,DISTRICT,118250,45796,38.7,21612,18.3
57,D53,Niakaramandougou,YES,DISTRICT,148018,79906,54,8253,5.6
58,R11,HAUT SASSANDRA,N/A,REGION,1478612,420845,28.5,107395,7.3
59,D27,DALOA,YES,DISTRICT,725530,201552,27.8,50404,6.9
60,D42,ISSIA,YES,DISTRICT,338819,120841,35.7,33831,10
61,D72,VAVOUA,YES,DISTRICT,414263,98452,23.8,23160,5.6
62,R12,INDENIE DUABLIN,N/A,REGION,607750,341471,56.2,34310,5.6
63,D01,ABENGOUROU,YES,DISTRICT,364530,223806,61.4,14982,4.1
64,D07,AGNIBILEKROU,YES,DISTRICT,182388,76167,41.8,7944,4.4
65,D11,BETTIE,YES,DISTRICT,60832,41498,68.2,11384,18.7
66,R13,KABADOUGOU-BAFING-FOLON,N/A,REGION,512209,221823,43.3,52387,10.2
67,D51,MINIGNAN,YES,DISTRICT,104838,44242,42.2,3701,3.5
68,D54,ODIENNE,YES,DISTRICT,204534,84046,41.1,26452,12.9
69,D69,TOUBA,YES,DISTRICT,202837,93535,46.1,22234,11
70,R14,LÔH-DJIBOUA,N/A,REGION,889497,331164,37.2,66889,7.5
71,D32,DIVO,YES,DISTRICT,409242,147872,36.1,36129,8.8
72,D35,FRESCO,YES,DISTRICT,104671,57460,54.9,10722,10.2
73,D41,GUITRY,YES,DISTRICT,157950,47548,30.1,12609,8
74,D47,LAKOTA,YES,DISTRICT,217634,78284,36,12609,5.8
75,R15,MARAHOUE,N/A,REGION,934033,348301,37.3,69133,7.4
76,D16,BOUAFLE,YES,DISTRICT,443740,170260,38.4,26924,6.1
77,D62,SINFRA,YES,DISTRICT,257802,94649,36.7,22541,8.7
78,D75,ZUENOULA,YES,DISTRICT,232491,83392,35.9,19668,8.5
79,R16,N'ZI-IFFOU,N/A,REGION,1025739,396439,38.6,112260,10.9
80,D14,BOCANDA,YES,DISTRICT,175960,54311,30.9,10669,6.1
81,D24,BONGOUANOU,YES,DISTRICT,393799,154584,39.3,50878,12.9
82,D29,DAOUKRO,YES,DISTRICT,180513,69064,38.3,18182,10.1
83,D31,DIMBOKRO,YES,DISTRICT,102363,54606,53.3,16351,16
84,D50,M'BAHIAKRO,YES,DISTRICT,90512,31760,35.1,7960,8.8
85,D57,PRIKRO,YES,DISTRICT,82592,32114,38.9,8220,10
86,R17,PORO-TCHOLOGO-BAGOUE,N/A,REGION,1838508,631883,34.4,135921,7.4
87,D23,BOUNDIALI,YES,DISTRICT,291671,102539,35.2,26878,9.2
88,D34,FERKESSEDOUGOU,YES,DISTRICT,268140,95266,35.5,49858,18.6
89,D45,KORHOGO,YES,DISTRICT,869860,309865,35.6,45250,5.2
90,D55,OUANGOLODOUGOU,YES,DISTRICT,274605,81079,29.5,7542,2.7
91,D66,TENGRELA,YES,DISTRICT,134232,43134,32.1,6393,4.8
92,R18,SUD-COMOE,N/A,REGION,666215,332437,49.9,121078,18.2
93,D03,ABOISSO,YES,DISTRICT,319154,154599,48.4,37890,11.9
94,D04,ADIAKE,YES,DISTRICT,161423,86955,53.9,15608,9.7
95,D37,GRAND-BASSAM,YES,DISTRICT,185638,90883,49,67580,36.4
96,R19,TONKPI,N/A,REGION,1073147,426913,39.8,79611,7.4
97,D12,BIANKOUMA,YES,DISTRICT,212095,68214,32.2,7484,3.5
98,D28,DANANE,YES,DISTRICT,288835,83971,29.1,30095,10.4
99,D48,MAN,YES,DISTRICT,361297,195209,54,29649,8.2
100,D74,ZOUAN-HOUNIEN,YES,DISTRICT,210920,79519,37.7,12383,5.9
101,R20,WORODOUGOU-BERE,N/A,REGION,711375,245361,34.5,36434,5.1
102,D49,MANKONO,YES,DISTRICT,426233,150781,35.4,11151,2.6
103,D60,SEGUELA,YES,DISTRICT,285142,94580,33.2,25283,8.9
104,P01,TOTAL CI,N/A,PAYS,24571046,9276302,37.8,2439695,9.9
