ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3
1,R02,ABIDJAN 2,N/A,REGION,3217801,1759137,54.7
2,D76,ABOBO EST,YES,DISTRICT,701637,358482,51.1
3,D77,ABOBO OUEST,YES,DISTRICT,352625,283075,80.3
4,D78,ANYAMA,YES,DISTRICT,163246,124306,76.1
5,D79,COCODY BINGERVILLE,YES,DISTRICT,614405,391714,63.8
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,980413,426522,43.5
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,405475,175038,43.2
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,2399364,1105019,46.1
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,737895,252410,34.2
10,D26,DABOU,YES,DISTRICT,153371,148512,96.8
11,D38,GRAND-LAHOU,YES,DISTRICT,155884,59699,38.3
12,D43,JACQUEVILLE,YES,DISTRICT,58008,62047,107
13,D83,YOPOUGON-EST,YES,DISTRICT,661730,232924,35.2
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,632476,349427,55.2
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,1195490,704126,58.9
16,D05,ADZOPE,YES,DISTRICT,202498,101987,50.4
17,D06,AGBOVILLE,YES,DISTRICT,316203,153283,48.5
18,D08,AKOUPE,YES,DISTRICT,204368,116036,56.8
19,D09,ALEPE,YES,DISTRICT,131718,92952,70.6
20,D61,SIKENSI,YES,DISTRICT,84908,72147,85
21,D67,TIASSALE,YES,DISTRICT,255795,167721,65.6
22,R04,BELIER,N/A,REGION,763455,472832,61.9
23,D30,DIDIEVI,YES,DISTRICT,102068,57628,56.5
24,D68,TIEBISSOU,YES,DISTRICT,107554,74530,69.3
25,D71,TOUMODI,YES,DISTRICT,168122,122810,73
26,D73,YAMOUSSOUKRO,YES,DISTRICT,385711,217864,56.5
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,988077,571169,57.8
28,D15,BONDOUKOU,YES,DISTRICT,407525,237713,58.3
29,D22,BOUNA,YES,DISTRICT,242308,117631,48.5
30,D52,NASSIAN,YES,DISTRICT,48462,29771,61.4
31,D65,TANDA,YES,DISTRICT,289782,186054,64.2
32,R06,CAVALLY-GUEMON,N/A,REGION,1496211,603141,40.3
33,D10,BANGOLO,YES,DISTRICT,353264,80548,22.8
