ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5
1,R02,ABIDJAN 2,N/A,REGION,3217801,1209181,38,549956,17
2,D76,ABOBO EST,YES,DISTRICT,701637,281981,40.2,76501,10.9
3,D77,ABOBO OUEST,YES,DISTRICT,352625,209964,59.5,73111,20.7
4,D78,ANYAMA,YES,DISTRICT,163246,74031,45.3,50275,30.8
5,D79,COCODY BINGERVILLE,YES,DISTRICT,614405,340644,55.4,51070,8.3
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,980413,222856,22.7,203666,20.8
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,405475,79705,19.7,95333,23.5
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,2399364,895178,37.3,209841,8.7
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,737895,223560,30.3,28850,3.9
10,D26,DABOU,YES,DISTRICT,153371,90105,58.7,58407,38.1
11,D38,GRAND-LAHOU,YES,DISTRICT,155884,45424,29.1,14275,9.2
12,D43,JACQUEVILLE,YES,DISTRICT,58008,46632,80.4,15415,26.6
13,D83,YOPOUGON-EST,YES,DISTRICT,661730,228995,34.6,3929,0.6
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,632476,260462,41.2,88965,14.1
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,1195490,509099,42.6,195027,16.3
16,D05,ADZOPE,YES,DISTRICT,202498,68851,34,33136,16.4
17,D06,AGBOVILLE,YES,DISTRICT,316203,102256,32.3,51027,16.1
18,D08,AKOUPE,YES,DISTRICT,204368,90238,44.2,25798,12.6
19,D09,ALEPE,YES,DISTRICT,131718,72872,55.3,20080,15.2
20,D61,SIKENSI,YES,DISTRICT,84908,52641,62,19506,23
21,D67,TIASSALE,YES,DISTRICT,255795,122241,47.8,45480,17.8
22,R04,BELIER,N/A,REGION,763455,350008,45.8,122824,16.1
23,D30,DIDIEVI,YES,DISTRICT,102068,48145,47.2,9483,9.3
24,D68,TIEBISSOU,YES,DISTRICT,107554,56259,52.3,18271,17
25,D71,TOUMODI,YES,DISTRICT,168122,87444,52,35366,21
26,D73,YAMOUSSOUKRO,YES,DISTRICT,385711,158160,41,59704,15.5
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,988077,486268,49.2,84901,8.6
28,D15,BONDOUKOU,YES,DISTRICT,407525,204960,50.3,32753,8
29,D22,BOUNA,YES,DISTRICT,242308,99328,41,18303,7.6
30,D52,NASSIAN,YES,DISTRICT,48462,29771,61.4,0,0
31,D65,TANDA,YES,DISTRICT,289782,152209,52.5,33845,11.7
32,R06,CAVALLY-GUEMON,N/A,REGION,1496211,478572,32,124569,8.3
33,D10,BANGOLO,YES,DISTRICT,353264,60775,17.2,19773,5.6
34,D13,BLOLEQUIN,YES,DISTRICT,127443,65955,51.8,21925,17.2
35,D33,DUEKOUE,YES,DISTRICT,453224,113981,25.1,41988,9.3
36,D40,GUIGLO,YES,DISTRICT,288948,144368,50,23159,8
37,D46,KOUIBLY,YES,DISTRICT,214442,73394,34.2,10655,5
38,D70,TOULEPLEU,YES,DISTRICT,58890,20099,34.1,7069,12
39,R07,GBEKE,N/A,REGION,1064759,611378,57.4,35593,3.3
40,D20,BEOUMI,YES,DISTRICT,162429,93634,57.6,13451,8.3
41,D17,BOUAKE NORD-EST,YES,DISTRICT,189861,106815,56.3,0,0
42,D18,BOUAKE NORD-OUEST,YES,DISTRICT,424821,210786,49.6,0,0
43,D19,BOUAKE-SUD,YES,DISTRICT,188081,130247,69.3,11325,6
44,D21,SAKASSOU,YES,DISTRICT,99566,69896,70.2,10817,10.9
45,R08,GBOKLE-NAWA-SAN-PEDRO,N/A,REGION,2251821,880819,39.1,144758,6.4
46,D39,GUEYO,YES,DISTRICT,86467,26920,31.1,8317,9.6
47,D58,SAN-PEDRO,YES,DISTRICT,652175,304769,46.7,60549,9.3
48,D59,SASSANDRA,YES,DISTRICT,309474,116604,37.7,21798,7
49,D63,SOUBRE,YES,DISTRICT,1001686,284904,28.4,42676,4.3
50,D64,TABOU,YES,DISTRICT,202019,147622,73.1,11418,5.7
51,R09,GÔH,N/A,REGION,981377,492786,50.2,107966,11
52,D36,GAGNOA,YES,DISTRICT,674435,368005,54.6,80700,12
