ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5
1,R02,ABIDJAN 2,N/A,REGION,1057657,491818,1549475,68.3,31.7
2,D76,ABOBO EST,YES,DISTRICT,244534,71935,316469,77.3,22.7
3,D77,ABOBO OUEST,YES,DISTRICT,155964,67096,223060,69.9,30.1
4,D78,ANYAMA,YES,DISTRICT,69143,46073,115216,60,40
5,D79,COCODY BINGERVILLE,YES,DISTRICT,309130,43573,352703,87.6,12.4
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,200188,179997,380185,52.7,47.3
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,78698,83144,161842,48.6,51.4
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,795884,178817,974701,81.7,18.3
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,193389,21853,215242,89.8,10.2
10,D26,DABOU,YES,DISTRICT,82880,47767,130647,63.4,36.6
11,D38,GRAND-LAHOU,YES,DISTRICT,42867,13134,56001,76.5,23.5
12,D43,JACQUEVILLE,YES,DISTRICT,43300,14793,58093,74.5,25.5
13,D83,YOPOUGON-EST,YES,DISTRICT,208746,3438,212184,98.4,1.6
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,224702,77832,302534,74.3,25.7
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,469924,173090,643014,73.1,26.9
16,D05,ADZOPE,YES,DISTRICT,65833,31360,97193,67.7,32.3
17,D06,AGBOVILLE,YES,DISTRICT,97510,42544,140054,69.6,30.4
18,D08,AKOUPE,YES,DISTRICT,82849,23216,106065,78.1,21.9
19,D09,ALEPE,YES,DISTRICT,69651,17325,86976,80.1,19.9
20,D61,SIKENSI,YES,DISTRICT,44656,15343,59999,74.4,25.6
21,D67,TIASSALE,YES,DISTRICT,109425,43302,152727,71.6,28.4
22,R04,BELIER,N/A,REGION,323941,107017,430958,75.2,24.8
23,D30,DIDIEVI,YES,DISTRICT,45145,8723,53868,83.8,16.2
24,D68,TIEBISSOU,YES,DISTRICT,54119,16796,70915,76.3,23.7
25,D71,TOUMODI,YES,DISTRICT,82608,33088,115696,71.4,28.6
26,D73,YAMOUSSOUKRO,YES,DISTRICT,142069,48410,190479,74.6,25.4
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,432887,71411,504298,85.8,14.2
28,D15,BONDOUKOU,YES,DISTRICT,175004,25526,200530,87.3,12.7
29,D22,BOUNA,YES,DISTRICT,87507,14236,101743,86,14
30,D52,NASSIAN,YES,DISTRICT,29172,0,29172,100,0
31,D65,TANDA,YES,DISTRICT,141204,31649,172853,81.7,18.3
32,R06,CAVALLY-GUEMON,N/A,REGION,451125,117725,568850,79.3,20.7
33,D10,BANGOLO,YES,DISTRICT,59211,19520,78731,75.2,24.8
34,D13,BLOLEQUIN,YES,DISTRICT,59691,19172,78863,75.7,24.3
35,D33,DUEKOUE,YES,DISTRICT,105020,40399,145419,72.2,27.8
36,D40,GUIGLO,YES,DISTRICT,135604,21694,157298,86.2,13.8
37,D46,KOUIBLY,YES,DISTRICT,70681,10023,80704,87.6,12.4
38,D70,TOULEPLEU,YES,DISTRICT,20918,6917,27835,75.1,24.9
39,R07,GBEKE,N/A,REGION,575333,28690,604023,95.3,4.7
40,D20,BEOUMI,YES,DISTRICT,91136,12758,103894,87.7,12.3
41,D17,BOUAKE NORD-EST,YES,DISTRICT,103420,0,103420,100,0
42,D18,BOUAKE NORD-OUEST,YES,DISTRICT,189097,0,189097,100,0
43,D19,BOUAKE-SUD,YES,DISTRICT,124212,8765,132977,93.4,6.6
44,D21,SAKASSOU,YES,DISTRICT,67468,7167,74635,90.4,9.6
45,R08,GBOKLE-NAWA-SAN-PEDRO,N/A,REGION,793948,106496,900444,88.2,11.8
46,D39,GUEYO,YES,DISTRICT,26108,7872,33980,76.8,23.2
47,D58,SAN-PEDRO,YES,DISTRICT,263052,53037,316089,83.2,16.8
48,D59,SASSANDRA,YES,DISTRICT,101500,15310,116810,86.9,13.1
49,D63,SOUBRE,YES,DISTRICT,266037,19717,285754,93.1,6.9
50,D64,TABOU,YES,DISTRICT,137251,10560,147811,92.9,7.1
51,R09,GÔH,N/A,REGION,463891,92781,556672,83.3,16.7
52,D36,GAGNOA,YES,DISTRICT,342246,66932,409178,83.6,16.4
53,D56,OUME,YES,DISTRICT,121645,25849,147494,82.5,17.5
54,R10,HAMBOL,N/A,REGION,215075,40977,256052,84,16
55,D25,DABAKALA,YES,DISTRICT,89373,11112,100485,88.9,11.1
56,D44,KATIOLA,YES,DISTRICT,45796,21612,67408,67.9,32.1
57,D53,Niakaramandougou,YES,DISTRICT,79906,8253,88159,90.6,9.4
58,R11,HAUT SASSANDRA,N/A,REGION,420845,107395,528240,79.7,20.3
59,D27,DALOA,YES,DISTRICT,201552,50404,251956,80,20
60,D42,ISSIA,YES,DISTRICT,120841,33831,154672,78.1,21.9
61,D72,VAVOUA,YES,DISTRICT,98452,23160,121612,81,19
62,R12,INDENIE DUABLIN,N/A,REGION,341471,34310,375781,90.9,9.1
63,D01,ABENGOUROU,YES,DISTRICT,223806,14982,238788,93.7,6.3
64,D07,AGNIBILEKROU,YES,DISTRICT,76167,7944,84111,90.6,9.4
65,D11,BETTIE,YES,DISTRICT,41498,11384,52882,78.5,21.5
66,R13,KABADOUGOU-BAFING-FOLON,N/A,REGION,221823,52387,274210,80.9,19.1
67,D51,MINIGNAN,YES,DISTRICT,44242,3701,47943,92.3,7.7
68,D54,ODIENNE,YES,DISTRICT,84046,26452,110498,76.1,23.9
69,D69,TOUBA,YES,DISTRICT,93535,22234,115769,80.8,19.2
70,R14,LÔH-DJIBOUA,N/A,REGION,331164,66889,398053,83.2,16.8
71,D32,DIVO,YES,DISTRICT,147872,36129,184001,80.4,19.6
72,D35,FRESCO,YES,DISTRICT,57460,10722,68182,84.3,15.7
73,D41,GUITRY,YES,DISTRICT,47548,12609,60157,79,21
74,D47,LAKOTA,YES,DISTRICT,78284,12609,90893,86.1,13.9
75,R15,MARAHOUE,N/A,REGION,348301,69133,417434,83.4,16.6
76,D16,BOUAFLE,YES,DISTRICT,170260,26924,197184,86.3,13.7
77,D62,SINFRA,YES,DISTRICT,94649,22541,117190,80.8,19.2
78,D75,ZUENOULA,YES,DISTRICT,83392,19668,103060,80.9,19.1
79,R16,N'ZI-IFFOU,N/A,REGION,396439,112260,508699,77.9,22.1
80,D14,BOCANDA,YES,DISTRICT,54311,10669,64980,83.6,16.4
81,D24,BONGOUANOU,YES,DISTRICT,154584,50878,205462,75.2,24.8
82,D29,DAOUKRO,YES,DISTRICT,69064,18182,87246,79.2,20.8
83,D31,DIMBOKRO,YES,DISTRICT,54606,16351,70957,77,23
84,D50,M'BAHIAKRO,YES,DISTRICT,31760,7960,39720,80,20
85,D57,PRIKRO,YES,DISTRICT,32114,8220,40334,79.6,20.4
86,R17,PORO-TCHOLOGO-BAGOUE,N/A,REGION,631883,135921,767804,82.3,17.7
87,D23,BOUNDIALI,YES,DISTRICT,102539,26878,129417,79.2,20.8
88,D34,FERKESSEDOUGOU,YES,DISTRICT,95266,49858,145124,65.6,34.4
89,D45,KORHOGO,YES,DISTRICT,309865,45250,355115,87.3,12.7
90,D55,OUANGOLODOUGOU,YES,DISTRICT,81079,7542,88621,91.5,8.5
91,D66,TENGRELA,YES,DISTRICT,43134,6393,49527,87.1,12.9
92,R18,SUD-COMOE,N/A,REGION,332437,121078,453515,73.3,26.7
93,D03,ABOISSO,YES,DISTRICT,154599,37890,192489,80.3,19.7
94,D04,ADIAKE,YES,DISTRICT,86955,15608,102563,84.8,15.2
95,D37,GRAND-BASSAM,YES,DISTRICT,90883,67580,158463,57.4,42.6
96,R19,TONKPI,N/A,REGION,426913,79611,506524,84.3,15.7
97,D12,BIANKOUMA,YES,DISTRICT,68214,7484,75698,90.1,9.9
98,D28,DANANE,YES,DISTRICT,83971,30095,114066,73.6,26.4
99,D48,MAN,YES,DISTRICT,195209,29649,224858,86.8,13.2
100,D74,ZOUAN-HOUNIEN,YES,DISTRICT,79519,12383,91902,86.5,13.5
101,R20,WORODOUGOU-BERE,N/A,REGION,245361,36434,281795,87.1,12.9
102,D49,MANKONO,YES,DISTRICT,150781,11151,161932,93.1,6.9
103,D60,SEGUELA,YES,DISTRICT,94580,25283,119863,78.9,21.1
104,P01,TOTAL CI,N/A,PAYS,9276302,2224240,11715997,79.2,19
