ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5
1,R02,ABIDJAN 2,N/A,REGION,1209181,549956,1759137,68.7,31.3
2,D76,ABOBO EST,YES,DISTRICT,281981,76501,358482,78.7,21.3
3,D77,ABOBO OUEST,YES,DISTRICT,209964,73111,283075,74.2,25.8
4,D78,ANYAMA,YES,DISTRICT,74031,50275,124306,59.6,40.4
5,D79,COCODY BINGERVILLE,YES,DISTRICT,340644,51070,391714,87,13
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,222856,203666,426522,52.2,47.8
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,79705,95333,175038,45.5,54.5
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,895178,209841,1105019,81,19
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,223560,28850,252410,88.6,11.4
10,D26,DABOU,YES,DISTRICT,90105,58407,148512,60.7,39.3
11,D38,GRAND-LAHOU,YES,DISTRICT,45424,14275,59699,76.1,23.9
12,D43,JACQUEVILLE,YES,DISTRICT,46632,15415,62047,75.2,24.8
13,D83,YOPOUGON-EST,YES,DISTRICT,228995,3929,232924,98.3,1.7
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,260462,88965,349427,74.5,25.5
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,509099,195027,704126,72.3,27.7
16,D05,ADZOPE,YES,DISTRICT,68851,33136,101987,67.5,32.5
17,D06,AGBOVILLE,YES,DISTRICT,102256,51027,153283,66.7,33.3
18,D08,AKOUPE,YES,DISTRICT,90238,25798,116036,77.8,22.2
19,D09,ALEPE,YES,DISTRICT,72872,20080,92952,78.4,21.6
20,D61,SIKENSI,YES,DISTRICT,52641,19506,72147,73,27
21,D67,TIASSALE,YES,DISTRICT,122241,45480,167721,72.9,27.1
22,R04,BELIER,N/A,REGION,350008,122824,472832,74,26
23,D30,DIDIEVI,YES,DISTRICT,48145,9483,57628,83.5,16.5
24,D68,TIEBISSOU,YES,DISTRICT,56259,18271,74530,75.5,24.5
25,D71,TOUMODI,YES,DISTRICT,87444,35366,122810,71.2,28.8
26,D73,YAMOUSSOUKRO,YES,DISTRICT,158160,59704,217864,72.6,27.4
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,486268,84901,571169,85.1,14.9
28,D15,BONDOUKOU,YES,DISTRICT,204960,32753,237713,86.2,13.8
29,D22,BOUNA,YES,DISTRICT,99328,18303,117631,84.4,15.6
30,D52,NASSIAN,YES,DISTRICT,29771,0,29771,100,0
31,D65,TANDA,YES,DISTRICT,152209,33845,186054,81.8,18.2
32,R06,CAVALLY-GUEMON,N/A,REGION,478572,124569,603141,79.3,20.7
33,D10,BANGOLO,YES,DISTRICT,60775,19773,80548,75.5,24.5
34,D13,BLOLEQUIN,YES,DISTRICT,65955,21925,87880,75.1,24.9
35,D33,DUEKOUE,YES,DISTRICT,113981,41988,155969,73.1,26.9
36,D40,GUIGLO,YES,DISTRICT,144368,23159,167527,86.2,13.8
37,D46,KOUIBLY,YES,DISTRICT,73394,10655,84049,87.3,12.7
38,D70,TOULEPLEU,YES,DISTRICT,20099,7069,27168,74,26
39,R07,GBEKE,N/A,REGION,611378,35593,646971,94.5,5.5
40,D20,BEOUMI,YES,DISTRICT,93634,13451,107085,87.4,12.6
