ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14
1,R02,ABIDJAN 2,N/A,REGION,87.18,91.42,88.76,94.34,91.74,89.19,94.76,91.49,88.72,94.04,3.18,89.08,88.63,83.37
2,D76,ABOBO EST,YES,DISTRICT,79.29,79.68,77.64,82.52,80,78.08,83.41,79.77,77.54,82.24,0.47,79.74,79.63,75.62
3,D77,ABOBO OUEST,YES,DISTRICT,87.81,94.47,88.27,94,94.81,88.66,94.1,94.76,87.65,93.66,0,93.3,93.51,76.76
4,D78,ANYAMA,YES,DISTRICT,105.38,103.17,95.66,90.68,103.74,96.98,90.66,101.61,95.21,86.88,7.12,73.25,73.82,70.43
5,D79,COCODY BINGERVILLE,YES,DISTRICT,100.33,102.45,100.51,100.28,103.34,101.04,101.29,103.1,100.98,100.73,1.63,84.85,83.49,73.33
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,91.46,101.13,100.33,109.1,101.28,100.72,109.41,101.25,100.57,109.32,5.11,99.08,97.78,100.12
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,68.83,70.76,69.35,80.33,70.73,69.41,80.27,70.6,69.29,79.93,7.17,90.5,90.82,87.2
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,91.63,90.96,89.77,96,91.34,90.08,96.35,90.61,89.4,95.45,0.45,94.06,93.87,93.11
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,81.32,79.54,81.65,95.82,79.89,81.86,95.93,79.88,81.89,96.05,1.4,92.84,93.02,92.6
10,D26,DABOU,YES,DISTRICT,77.83,86.92,82.51,81.7,86.92,82.52,81.7,86.92,82.46,81.71,0,79.57,78.16,55.83
11,D38,GRAND-LAHOU,YES,DISTRICT,104.88,107.2,95.99,94.23,108.66,97.19,95.66,105.55,93.65,92.15,0,87.36,87.44,97.35
12,D43,JACQUEVILLE,YES,DISTRICT,84.6,93.85,88.92,91.03,95.54,90.8,93.17,95.24,90.57,93.17,0,89.02,88.98,68.52
13,D83,YOPOUGON-EST,YES,DISTRICT,71.5,83.64,83.63,93.56,84.07,84.14,93.96,82.47,82.71,92.25,0.29,105.9,105.56,98.35
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,122.39,105.74,104.04,103.87,105.78,103.95,103.98,105.45,103.67,103.07,0,90.62,90.54,102.42
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,86.18,98.14,94.74,94.78,98.59,95.17,95.44,98.08,94.57,94.69,0.94,84.61,84.39,77.57
16,D05,ADZOPE,YES,DISTRICT,78.71,93.18,93.93,96.29,93.57,94.12,96.44,93.66,93.9,96.04,0,81.72,80.76,70.96
17,D06,AGBOVILLE,YES,DISTRICT,78.47,87.11,82.23,82.87,86.84,82.23,83.09,86.7,82.12,83.05,0,73.48,73.71,67.73
18,D08,AKOUPE,YES,DISTRICT,93.52,112.12,108.28,106.73,112.12,108.28,106.73,112.12,108.28,106.73,0,96.2,96.22,105.5
19,D09,ALEPE,YES,DISTRICT,80.88,93.54,91.33,90.89,95.4,92.96,93.56,95.32,92.66,93.54,0,76.8,75.74,74.4
20,D61,SIKENSI,YES,DISTRICT,90.38,100.23,97.59,92.22,102.55,99.5,94.7,100.93,97.8,91.55,11.52,91.23,91.39,71.59
21,D67,TIASSALE,YES,DISTRICT,98.44,108.01,102.65,103.76,108.34,103.02,104.18,106.62,101.18,102.1,0,94.78,94.65,78.05
22,R04,BELIER,N/A,REGION,82.47,89.84,86.83,87.15,89.86,86.99,87.33,89.94,87.01,87.3,0.08,77.45,76.57,63.7
23,D30,DIDIEVI,YES,DISTRICT,76.42,79.19,78.25,75.94,79.32,78.42,75.94,80.09,79.12,77.04,0,66.74,65.7,59.08
24,D68,TIEBISSOU,YES,DISTRICT,77.72,87.55,85.61,82.15,87.55,85.64,82.15,87.55,85.64,82.15,0.31,72.1,70.22,60.84
25,D71,TOUMODI,YES,DISTRICT,88.69,92.43,89.44,89.13,92.44,89.66,89.25,92.05,89.29,88.62,0,82.21,81.63,80.62
26,D73,YAMOUSSOUKRO,YES,DISTRICT,82.54,92.07,88.17,90.73,92.07,88.35,91.03,92.24,88.37,90.99,0.06,79.65,79,57.56
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,85.52,98.16,94.71,95.63,98.05,94.5,95.48,97.99,94.54,95.27,1.19,89.96,86.76,72.2
28,D15,BONDOUKOU,YES,DISTRICT,83.02,92.85,91.89,92.18,92.85,91.89,92.18,92.85,91.89,92.18,0.52,86.36,81.87,65.15
29,D22,BOUNA,YES,DISTRICT,114.04,121.96,111.25,108.92,121.45,110.25,108.19,121.11,110.45,107.18,0.18,106.86,99.93,101.41
30,D52,NASSIAN,YES,DISTRICT,84.73,104.1,95.75,98.3,104.1,95.75,98.3,104.1,95.75,98.3,13.02,89.02,89.02,83.33
31,D65,TANDA,YES,DISTRICT,71.42,89.22,87.9,91.27,89.22,87.9,91.27,89.22,87.9,91.27,1,84.09,84.18,61.32
32,R06,CAVALLY-GUEMON,N/A,REGION,97.07,102.58,97.24,98.53,104.28,99.03,100.49,103.02,97.66,98.89,0.62,86.41,80.97,91.56
33,D10,BANGOLO,YES,DISTRICT,92.03,102.6,97.21,96.13,104.67,99.38,98,100.17,93.41,92.65,0,85.76,80.67,77.43
34,D13,BLOLEQUIN,YES,DISTRICT,126.82,123.84,116.2,113.13,129.94,121.79,118.75,127.8,121.67,115.96,0,101.43,105.21,123.01
35,D33,DUEKOUE,YES,DISTRICT,88.98,95.37,93.17,97.74,97.24,95.03,100.43,97.05,94.88,99.95,0,81.15,76.34,95.01
36,D40,GUIGLO,YES,DISTRICT,101.63,108.77,98.01,97.34,108.75,98.34,97.65,108.57,97.71,97.09,0,87.92,73.27,73.85
37,D46,KOUIBLY,YES,DISTRICT,103.81,102.6,100.99,106.02,102.78,101.2,106.16,101.94,100.12,105.57,0,94.45,92.37,113.41
38,D70,TOULEPLEU,YES,DISTRICT,63.86,76.26,70.77,68.28,78.17,73.38,70.77,77.24,73.31,69.96,10.86,61.92,62.08,70.24
39,R07,GBEKE,N/A,REGION,90.65,97.08,92.52,95.06,97.19,92.67,95.16,97.18,92.58,95.03,0.01,91.86,91.4,78.11
40,D20,BEOUMI,YES,DISTRICT,80.58,92.42,91.74,91.83,92.95,92.82,92.32,92.97,92.61,92.2,0.05,91.93,91.2,61.54
41,D17,BOUAKE NORD-EST,YES,DISTRICT,104.43,112.91,104.67,105.32,112.91,104.6,104.99,112.8,104.39,104.51,0,98.31,98.4,93.71
42,D18,BOUAKE NORD-OUEST,YES,DISTRICT,88.47,90.02,85.88,89.33,90.02,85.87,89.33,90.02,85.88,89.33,0,85.86,85.3,85.2
43,D19,BOUAKE-SUD,YES,DISTRICT,99.47,99.89,95.41,99.28,100.13,95.6,99.86,100.18,95.53,99.79,0,98.5,97.57,72.2
44,D21,SAKASSOU,YES,DISTRICT,64.87,90.92,87.62,91.56,90.92,87.62,91.56,90.87,87.57,91.51,0,89.08,89.03,53.58
45,R08,GBOKLE-NAWA-SAN-PEDRO,N/A,REGION,98.39,106.91,100.27,101.89,108.76,101.97,103.87,108.44,101.27,102.55,0.03,95.1,91.95,83.21
46,D39,GUEYO,YES,DISTRICT,99.61,102.32,97.39,99.79,103.28,98.34,100.75,103.16,98.22,100.55,0,101.34,101.59,86.38
47,D58,SAN-PEDRO,YES,DISTRICT,100.48,104.47,97.41,97.42,107.47,100.02,99.87,107.29,99.46,99.01,0,92.79,93.03,88.95
48,D59,SASSANDRA,YES,DISTRICT,112.9,126.83,110.69,117.18,127.83,111.58,119.81,126.84,110.82,114.62,0.35,108.25,97.25,99.95
49,D63,SOUBRE,YES,DISTRICT,94.36,104.99,99.84,101.99,106.42,101.21,103.73,106.04,100.19,102.7,0,93.06,88.7,73.55
50,D64,TABOU,YES,DISTRICT,94.61,106.45,102.68,101.9,107.97,104.32,103.42,107.9,104.18,102.46,0,94.33,91.31,88.83
51,R09,GÔH,N/A,REGION,103.06,94.58,89.27,89.65,101.63,95.43,97.03,97.17,91.23,91.25,0,92.99,88.59,83.29
52,D36,GAGNOA,YES,DISTRICT,108.8,94.81,88.94,88.17,105.27,97.85,98.75,99.31,92.15,91.46,0,92.23,85.68,93.04
53,D56,OUME,YES,DISTRICT,91.55,94.12,89.92,92.63,94.32,90.56,93.59,92.86,89.38,90.82,0,94.51,94.43,63.76
54,R10,HAMBOL,N/A,REGION,89.98,99.04,93.11,92.71,99.81,93.78,93.46,98,91.7,90.72,0,87.83,86.89,70.64
55,D25,DABAKALA,YES,DISTRICT,92.4,101.76,95.54,92.56,101.76,95.54,92.56,98.95,92.31,87.93,0,80.58,78.31,69.91
56,D44,KATIOLA,YES,DISTRICT,97.88,102.31,92.77,95.25,104.83,94.8,97.54,102.2,92.11,94.38,0,100.71,100.23,80.93
57,D53,Niakaramandougou,YES,DISTRICT,80.74,93.35,90.77,90.74,93.5,91.01,91.01,93.44,90.68,90.67,0,84.88,85.01,62.8
58,R11,HAUT SASSANDRA,N/A,REGION,91.74,99.81,91.98,91.88,101.89,94.46,94.51,101.02,93.45,93.31,0.03,85.2,84.53,94.75
59,D27,DALOA,YES,DISTRICT,87.33,95.58,88.88,91.7,96.42,89.99,93.4,95.48,89.21,92.6,0,85.89,85.92,90.33
60,D42,ISSIA,YES,DISTRICT,91.01,106.86,97.16,95.1,106.89,97.16,95.1,106.86,97.13,95.06,0.12,92.19,90.55,107.24
61,D72,VAVOUA,YES,DISTRICT,100.68,101.99,93.56,89.59,108.1,100.66,96.12,106.66,98.42,93.21,0,78.16,76.99,91.38
62,R12,INDENIE DUABLIN,N/A,REGION,87.02,97.75,95.52,96.09,98.31,96.2,96.63,97.87,95.89,96.29,2.18,88.29,78.25,64.99
63,D01,ABENGOUROU,YES,DISTRICT,92.12,103.38,100.23,99.18,103.45,100.3,99.33,103.45,100.3,99.33,0,91.05,84.21,63.32
64,D07,AGNIBILEKROU,YES,DISTRICT,80.43,87.4,85.16,92.24,89.29,87.43,93.95,87.65,86.3,92.63,1.33,83.94,68.89,58.51
65,D11,BETTIE,YES,DISTRICT,79.14,95.31,96.89,91.03,95.19,96.89,90.87,95.34,96.89,91.03,12.92,85.61,72.37,85.02
66,R13,KABADOUGOU-BAFING-FOLON,N/A,REGION,82.45,103.13,96.39,96.9,103.44,96.49,97.09,103.38,96.44,96.91,0.05,89.83,88.71,91.27
67,D51,MINIGNAN,YES,DISTRICT,80.4,104.96,98.59,101.65,105.01,98.55,101.57,105.03,98.57,101.53,0,98.74,97.17,88.63
68,D54,ODIENNE,YES,DISTRICT,91.74,104.77,98.84,100.63,104.77,98.85,100.63,104.77,98.84,100.61,0.12,96.96,96.57,87.66
69,D69,TOUBA,YES,DISTRICT,72.95,100.04,92.12,89.51,100.89,92.42,90.09,100.7,92.28,89.63,0,75.8,74.13,97.16
70,R14,LÔH-DJIBOUA,N/A,REGION,100.48,103.67,98.27,102.05,103.93,98.5,102.38,103.48,97.52,101.05,1.88,95.82,94.34,91.3
71,D32,DIVO,YES,DISTRICT,102.69,102.13,98.28,100.72,102.45,98.43,100.96,102.91,98.67,101.31,0,98.66,95.49,89.18
72,D35,FRESCO,YES,DISTRICT,81.41,98.04,99.48,106.62,98.45,99.48,106.58,94.98,93.7,97.83,10.74,92.26,91.89,87.64
73,D41,GUITRY,YES,DISTRICT,101,102.68,97.45,101.47,103.12,98.05,101.68,102.85,97.43,100.94,2.6,101.31,101.18,95.83
74,D47,LAKOTA,YES,DISTRICT,106.71,111.37,98.25,102.73,111.27,98.45,103.58,110.47,97.38,102.5,0,86.81,87.18,94.08
75,R15,MARAHOUE,N/A,REGION,98.56,103.09,96.62,97.98,104.4,98.24,99.95,104.05,97.88,99.38,0,92.96,89.91,86.63
76,D16,BOUAFLE,YES,DISTRICT,101,103.99,96.05,94.73,106.49,99.26,98.6,106.52,98.89,98.04,0.01,85.65,83.69,80.7
77,D62,SINFRA,YES,DISTRICT,86,97.82,94.21,96.88,97.91,94.34,97.14,97.87,94.36,97.01,0,98.79,98.27,74.7
