ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3
1,R02,ABIDJAN 2,N/A,REGION,394917,102873,260.5
2,D76,ABOBO EST,YES,DISTRICT,98235,18342,186.7
3,D77,ABOBO OUEST,YES,DISTRICT,49257,19126,388.3
4,D78,ANYAMA,YES,DISTRICT,24928,8208,329.3
5,D79,COCODY BINGERVILLE,YES,DISTRICT,64559,21538,333.6
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,119103,26665,223.9
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,38836,8994,231.6
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,316252,66870,211.4
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,95983,22443,233.8
10,D26,DABOU,YES,DISTRICT,22867,8723,381.5
11,D38,GRAND-LAHOU,YES,DISTRICT,28044,3580,127.7
12,D43,JACQUEVILLE,YES,DISTRICT,9794,3847,392.8
13,D83,YOPOUGON-EST,YES,DISTRICT,81736,7376,90.2
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,77828,20901,268.6
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,180386,31912,176.9
16,D05,ADZOPE,YES,DISTRICT,27152,4377,161.2
17,D06,AGBOVILLE,YES,DISTRICT,51236,7701,150.3
18,D08,AKOUPE,YES,DISTRICT,28798,5033,174.8
19,D09,ALEPE,YES,DISTRICT,20519,4304,209.8
20,D61,SIKENSI,YES,DISTRICT,12671,3864,304.9
21,D67,TIASSALE,YES,DISTRICT,40010,6633,165.8
22,R04,BELIER,N/A,REGION,110981,26111,235.3
23,D30,DIDIEVI,YES,DISTRICT,17152,2367,138
24,D68,TIEBISSOU,YES,DISTRICT,17716,3709,209.4
25,D71,TOUMODI,YES,DISTRICT,26099,7938,304.1
26,D73,YAMOUSSOUKRO,YES,DISTRICT,50014,12097,241.9
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,168746,28785,170.6
