ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3
1,R02,ABIDJAN 2,N/A,REGION,394917,69595,176.2
2,D76,ABOBO EST,YES,DISTRICT,98235,11727,119.4
3,D77,ABOBO OUEST,YES,DISTRICT,49257,13269,269.4
4,D78,ANYAMA,YES,DISTRICT,24928,9432,378.4
5,D79,COCODY BINGERVILLE,YES,DISTRICT,64559,17144,265.6
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,119103,22341,187.6
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,38836,7409,190.8
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,316252,56931,180
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,95983,7978,83.1
10,D26,DABOU,YES,DISTRICT,22867,7888,345
11,D38,GRAND-LAHOU,YES,DISTRICT,28044,8141,290.3
12,D43,JACQUEVILLE,YES,DISTRICT,9794,5489,560.4
13,D83,YOPOUGON-EST,YES,DISTRICT,81736,7601,93
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,77828,19834,254.8
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,180386,63560,352.4
16,D05,ADZOPE,YES,DISTRICT,27152,9803,361
17,D06,AGBOVILLE,YES,DISTRICT,51236,19609,382.7
18,D08,AKOUPE,YES,DISTRICT,28798,10206,354.4
19,D09,ALEPE,YES,DISTRICT,20519,7617,371.2
20,D61,SIKENSI,YES,DISTRICT,12671,4436,350.1
21,D67,TIASSALE,YES,DISTRICT,40010,11889,297.2
22,R04,BELIER,N/A,REGION,110981,35680,321.5
23,D30,DIDIEVI,YES,DISTRICT,17152,8078,471
24,D68,TIEBISSOU,YES,DISTRICT,17716,7766,438.4
25,D71,TOUMODI,YES,DISTRICT,26099,8387,321.4
26,D73,YAMOUSSOUKRO,YES,DISTRICT,50014,11449,228.9
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,168746,50020,296.4
28,D15,BONDOUKOU,YES,DISTRICT,68160,26609,390.4
29,D22,BOUNA,YES,DISTRICT,46261,11345,245.2
30,D52,NASSIAN,YES,DISTRICT,7743,2076,268.1
31,D65,TANDA,YES,DISTRICT,46583,9990,214.5
32,R06,CAVALLY-GUEMON,N/A,REGION,287096,76738,267.3
33,D10,BANGOLO,YES,DISTRICT,71734,13374,186.4
34,D13,BLOLEQUIN,YES,DISTRICT,22830,11456,501.8
35,D33,DUEKOUE,YES,DISTRICT,87511,21425,244.8
36,D40,GUIGLO,YES,DISTRICT,53054,13367,251.9
37,D46,KOUIBLY,YES,DISTRICT,42048,13304,316.4
38,D70,TOULEPLEU,YES,DISTRICT,9918,3812,384.4
39,R07,GBEKE,N/A,REGION,165796,61848,373
40,D20,BEOUMI,YES,DISTRICT,27517,11232,408.2
41,D17,BOUAKE NORD-EST,YES,DISTRICT,28570,8842,309.5
42,D18,BOUAKE NORD-OUEST,YES,DISTRICT,63926,14047,219.7
43,D19,BOUAKE-SUD,YES,DISTRICT,28302,13275,469.1
44,D21,SAKASSOU,YES,DISTRICT,17482,14452,826.7
45,R08,GBOKLE-NAWA-SAN-PEDRO,N/A,REGION,415439,110555,266.1
46,D39,GUEYO,YES,DISTRICT,17467,5185,296.8
47,D58,SAN-PEDRO,YES,DISTRICT,117086,28856,246.5
48,D59,SASSANDRA,YES,DISTRICT,59190,17947,303.2
49,D63,SOUBRE,YES,DISTRICT,183461,47034,256.4
50,D64,TABOU,YES,DISTRICT,38235,11533,301.6
51,R09,GÔH,N/A,REGION,164843,47265,286.7
52,D36,GAGNOA,YES,DISTRICT,114953,34619,301.2
53,D56,OUME,YES,DISTRICT,49889,12646,253.5
54,R10,HAMBOL,N/A,REGION,85112,25011,293.9
55,D25,DABAKALA,YES,DISTRICT,38623,8985,232.6
56,D44,KATIOLA,YES,DISTRICT,20286,7628,376
57,D53,Niakaramandougou,YES,DISTRICT,26203,8398,320.5
58,R11,HAUT SASSANDRA,N/A,REGION,253870,88445,348.4
59,D27,DALOA,YES,DISTRICT,114942,47376,412.2
60,D42,ISSIA,YES,DISTRICT,58701,14752,251.3
61,D72,VAVOUA,YES,DISTRICT,80226,26317,328
62,R12,INDENIE DUABLIN,N/A,REGION,96982,32274,332.8
63,D01,ABENGOUROU,YES,DISTRICT,55196,18609,337.1
64,D07,AGNIBILEKROU,YES,DISTRICT,31156,11721,376.2
