ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3
1,R02,ABIDJAN 2,N/A,REGION,394917,42988,108.9
2,D76,ABOBO EST,YES,DISTRICT,98235,8300,84.5
3,D77,ABOBO OUEST,YES,DISTRICT,49257,7028,142.7
4,D78,ANYAMA,YES,DISTRICT,24928,2633,105.6
5,D79,COCODY BINGERVILLE,YES,DISTRICT,64559,8992,139.3
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,119103,14405,120.9
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,38836,1630,42
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,316252,47379,149.8
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,95983,16619,173.1
10,D26,DABOU,YES,DISTRICT,22867,4412,192.9
11,D38,GRAND-LAHOU,YES,DISTRICT,28044,2141,76.3
12,D43,JACQUEVILLE,YES,DISTRICT,9794,1437,146.7
13,D83,YOPOUGON-EST,YES,DISTRICT,81736,5929,72.5
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,77828,16841,216.4
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,180386,27341,151.6
16,D05,ADZOPE,YES,DISTRICT,27152,3376,124.3
17,D06,AGBOVILLE,YES,DISTRICT,51236,5500,107.3
18,D08,AKOUPE,YES,DISTRICT,28798,5477,190.2
19,D09,ALEPE,YES,DISTRICT,20519,3477,169.5
20,D61,SIKENSI,YES,DISTRICT,12671,2275,179.5
21,D67,TIASSALE,YES,DISTRICT,40010,7236,180.9
22,R04,BELIER,N/A,REGION,110981,18380,165.6
23,D30,DIDIEVI,YES,DISTRICT,17152,2876,167.7
24,D68,TIEBISSOU,YES,DISTRICT,17716,2219,125.3
25,D71,TOUMODI,YES,DISTRICT,26099,4672,179
26,D73,YAMOUSSOUKRO,YES,DISTRICT,50014,8613,172.2
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,168746,21894,129.7
28,D15,BONDOUKOU,YES,DISTRICT,68160,7273,106.7
29,D22,BOUNA,YES,DISTRICT,46261,7007,151.5
30,D52,NASSIAN,YES,DISTRICT,7743,1969,254.3
31,D65,TANDA,YES,DISTRICT,46583,5645,121.2
32,R06,CAVALLY-GUEMON,N/A,REGION,287096,42250,147.2
33,D10,BANGOLO,YES,DISTRICT,71734,7903,110.2
34,D13,BLOLEQUIN,YES,DISTRICT,22830,4382,191.9
35,D33,DUEKOUE,YES,DISTRICT,87511,10956,125.2
36,D40,GUIGLO,YES,DISTRICT,53054,10950,206.4
37,D46,KOUIBLY,YES,DISTRICT,42048,6083,144.7
38,D70,TOULEPLEU,YES,DISTRICT,9918,1976,199.2
39,R07,GBEKE,N/A,REGION,165796,21876,131.9
40,D20,BEOUMI,YES,DISTRICT,27517,6680,242.8
41,D17,BOUAKE NORD-EST,YES,DISTRICT,28570,2523,88.3
42,D18,BOUAKE NORD-OUEST,YES,DISTRICT,63926,4693,73.4
43,D19,BOUAKE-SUD,YES,DISTRICT,28302,5239,185.1
44,D21,SAKASSOU,YES,DISTRICT,17482,2741,156.8
45,R08,GBOKLE-NAWA-SAN-PEDRO,N/A,REGION,415439,52061,125.3
46,D39,GUEYO,YES,DISTRICT,17467,2101,120.3
