ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3
1,R02,ABIDJAN 2,N/A,REGION,3217801,113,0.04
2,D76,ABOBO EST,YES,DISTRICT,701637,0,0
3,D77,ABOBO OUEST,YES,DISTRICT,352625,72,0.2
4,D78,ANYAMA,YES,DISTRICT,163246,1,0.01
5,D79,COCODY BINGERVILLE,YES,DISTRICT,614405,5,0.01
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,980413,34,0.03
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,405475,1,0
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,2399364,70,0.03
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,737895,2,0
10,D26,DABOU,YES,DISTRICT,153371,0,0
11,D38,GRAND-LAHOU,YES,DISTRICT,155884,6,0.04
12,D43,JACQUEVILLE,YES,DISTRICT,58008,35,0.6
13,D83,YOPOUGON-EST,YES,DISTRICT,661730,26,0.04
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,632476,1,0
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,1195490,76,0.06
16,D05,ADZOPE,YES,DISTRICT,202498,4,0.02
17,D06,AGBOVILLE,YES,DISTRICT,316203,19,0.06
18,D08,AKOUPE,YES,DISTRICT,204368,1,0
19,D09,ALEPE,YES,DISTRICT,131718,5,0.04
20,D61,SIKENSI,YES,DISTRICT,84908,2,0.02
21,D67,TIASSALE,YES,DISTRICT,255795,45,0.18
22,R04,BELIER,N/A,REGION,763455,217,0.28
23,D30,DIDIEVI,YES,DISTRICT,102068,0,0
24,D68,TIEBISSOU,YES,DISTRICT,107554,0,0
25,D71,TOUMODI,YES,DISTRICT,168122,0,0
26,D73,YAMOUSSOUKRO,YES,DISTRICT,385711,217,0.56
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,988077,24,0.02
28,D15,BONDOUKOU,YES,DISTRICT,407525,12,0.03
29,D22,BOUNA,YES,DISTRICT,242308,7,0.03
30,D52,NASSIAN,YES,DISTRICT,48462,0,0
31,D65,TANDA,YES,DISTRICT,289782,5,0.02
32,R06,CAVALLY-GUEMON,N/A,REGION,1496211,20,0.01
33,D10,BANGOLO,YES,DISTRICT,353264,1,0
34,D13,BLOLEQUIN,YES,DISTRICT,127443,0,0
35,D33,DUEKOUE,YES,DISTRICT,453224,0,0
36,D40,GUIGLO,YES,DISTRICT,288948,10,0.03
37,D46,KOUIBLY,YES,DISTRICT,214442,6,0.03
