ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3
1,R02,ABIDJAN 2,N/A,REGION,3217801,261165,81.16
2,D76,ABOBO EST,YES,DISTRICT,701637,40822,58.18
3,D77,ABOBO OUEST,YES,DISTRICT,352625,36335,103.04
4,D78,ANYAMA,YES,DISTRICT,163246,37349,228.79
5,D79,COCODY BINGERVILLE,YES,DISTRICT,614405,63642,103.58
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,980413,62533,63.78
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,405475,20484,50.52
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,2399364,183429,76.45
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,737895,27530,37.31
10,D26,DABOU,YES,DISTRICT,153371,25806,168.26
11,D38,GRAND-LAHOU,YES,DISTRICT,155884,22872,146.72
12,D43,JACQUEVILLE,YES,DISTRICT,58008,21290,367.02
13,D83,YOPOUGON-EST,YES,DISTRICT,661730,32906,49.73
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,632476,53025,83.84
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,1195490,224419,187.72
16,D05,ADZOPE,YES,DISTRICT,202498,30667,151.44
17,D06,AGBOVILLE,YES,DISTRICT,316203,61706,195.15
18,D08,AKOUPE,YES,DISTRICT,204368,42049,205.75
19,D09,ALEPE,YES,DISTRICT,131718,33935,257.63
20,D61,SIKENSI,YES,DISTRICT,84908,26349,310.32
21,D67,TIASSALE,YES,DISTRICT,255795,29713,116.16
22,R04,BELIER,N/A,REGION,763455,137116,179.6
23,D30,DIDIEVI,YES,DISTRICT,102068,23216,227.46
24,D68,TIEBISSOU,YES,DISTRICT,107554,25128,233.63
25,D71,TOUMODI,YES,DISTRICT,168122,45695,271.8
26,D73,YAMOUSSOUKRO,YES,DISTRICT,385711,43077,111.68
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,988077,197629,200.01
28,D15,BONDOUKOU,YES,DISTRICT,407525,73466,180.27
29,D22,BOUNA,YES,DISTRICT,242308,29924,123.5
30,D52,NASSIAN,YES,DISTRICT,48462,17915,369.67
31,D65,TANDA,YES,DISTRICT,289782,76324,263.38
32,R06,CAVALLY-GUEMON,N/A,REGION,1496211,308062,205.89
33,D10,BANGOLO,YES,DISTRICT,353264,49384,139.79
34,D13,BLOLEQUIN,YES,DISTRICT,127443,28393,222.79
35,D33,DUEKOUE,YES,DISTRICT,453224,85309,188.23
36,D40,GUIGLO,YES,DISTRICT,288948,69589,240.84
37,D46,KOUIBLY,YES,DISTRICT,214442,56904,265.36
38,D70,TOULEPLEU,YES,DISTRICT,58890,18483,313.86
39,R07,GBEKE,N/A,REGION,1064759,274153,257.48
40,D20,BEOUMI,YES,DISTRICT,162429,57403,353.4
41,D17,BOUAKE NORD-EST,YES,DISTRICT,189861,40210,211.79
42,D18,BOUAKE NORD-OUEST,YES,DISTRICT,424821,90574,213.2
43,D19,BOUAKE-SUD,YES,DISTRICT,188081,50310,267.49
44,D21,SAKASSOU,YES,DISTRICT,99566,35656,358.11
45,R08,GBOKLE-NAWA-SAN-PEDRO,N/A,REGION,2251821,286124,127.06
46,D39,GUEYO,YES,DISTRICT,86467,9744,112.69
47,D58,SAN-PEDRO,YES,DISTRICT,652175,59914,91.87
48,D59,SASSANDRA,YES,DISTRICT,309474,62108,200.69
