ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3
1,R02,ABIDJAN 2,N/A,REGION,3217801,158558,49.3
2,D76,ABOBO EST,YES,DISTRICT,701637,25859,36.9
3,D77,ABOBO OUEST,YES,DISTRICT,352625,18423,52.2
4,D78,ANYAMA,YES,DISTRICT,163246,12168,74.5
5,D79,COCODY BINGERVILLE,YES,DISTRICT,614405,37411,60.9
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,980413,47979,48.9
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,405475,16718,41.2
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,2399364,109131,45.5
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,737895,31557,42.8
10,D26,DABOU,YES,DISTRICT,153371,17228,112.3
11,D38,GRAND-LAHOU,YES,DISTRICT,155884,6112,39.2
12,D43,JACQUEVILLE,YES,DISTRICT,58008,6291,108.5
13,D83,YOPOUGON-EST,YES,DISTRICT,661730,15651,23.7
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,632476,32292,51.1
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,1195490,69304,58
16,D05,ADZOPE,YES,DISTRICT,202498,10834,53.5
17,D06,AGBOVILLE,YES,DISTRICT,316203,16706,52.8
18,D08,AKOUPE,YES,DISTRICT,204368,11402,55.8
19,D09,ALEPE,YES,DISTRICT,131718,8670,65.8
20,D61,SIKENSI,YES,DISTRICT,84908,7543,88.8
21,D67,TIASSALE,YES,DISTRICT,255795,14149,55.3
22,R04,BELIER,N/A,REGION,763455,26103,34.2
23,D30,DIDIEVI,YES,DISTRICT,102068,2367,23.2
24,D68,TIEBISSOU,YES,DISTRICT,107554,3709,34.5
25,D71,TOUMODI,YES,DISTRICT,168122,7930,47.2
26,D73,YAMOUSSOUKRO,YES,DISTRICT,385711,12097,31.4
27,R05,BOUNKANI-GONTOUGO,N/A,REGION,988077,55589,56.3
28,D15,BONDOUKOU,YES,DISTRICT,407525,21910,53.8
29,D22,BOUNA,YES,DISTRICT,242308,12883,53.2
30,D52,NASSIAN,YES,DISTRICT,48462,5308,109.5
31,D65,TANDA,YES,DISTRICT,289782,15488,53.4
32,R06,CAVALLY-GUEMON,N/A,REGION,1496211,83966,56.1
33,D10,BANGOLO,YES,DISTRICT,353264,11341,32.1
34,D13,BLOLEQUIN,YES,DISTRICT,127443,13116,102.9
35,D33,DUEKOUE,YES,DISTRICT,453224,19851,43.8
36,D40,GUIGLO,YES,DISTRICT,288948,16526,57.2
37,D46,KOUIBLY,YES,DISTRICT,214442,18246,85.1
38,D70,TOULEPLEU,YES,DISTRICT,58890,4886,83
39,R07,GBEKE,N/A,REGION,1064759,67273,63.2
40,D20,BEOUMI,YES,DISTRICT,162429,7314,45
41,D17,BOUAKE NORD-EST,YES,DISTRICT,189861,9850,51.9
42,D18,BOUAKE NORD-OUEST,YES,DISTRICT,424821,25018,58.9
43,D19,BOUAKE-SUD,YES,DISTRICT,188081,16861,89.6
44,D21,SAKASSOU,YES,DISTRICT,99566,8230,82.7
45,R08,GBOKLE-NAWA-SAN-PEDRO,N/A,REGION,2251821,116816,51.9
46,D39,GUEYO,YES,DISTRICT,86467,2765,32
47,D58,SAN-PEDRO,YES,DISTRICT,652175,41701,63.9
48,D59,SASSANDRA,YES,DISTRICT,309474,16133,52.1
49,D63,SOUBRE,YES,DISTRICT,1001686,31239,31.2
50,D64,TABOU,YES,DISTRICT,202019,24978,123.6
51,R09,GÔH,N/A,REGION,981377,54736,55.8
52,D36,GAGNOA,YES,DISTRICT,674435,37642,55.8
53,D56,OUME,YES,DISTRICT,306942,17094,55.7
54,R10,HAMBOL,N/A,REGION,475606,32184,67.7
55,D25,DABAKALA,YES,DISTRICT,209338,12646,60.4
