CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14,FLD15,FLD16,FLD17,FLD18,FLD19,FLD20,FLD21,FLD22,FLD23,FLD24,FLD25,FLD26,FLD27,FLD28,FLD29,FLD30,FLD31,FLD32,FLD33,FLD34,FLD35,FLD36,FLD37,FLD38,FLD39
R02,ABIDJAN 2,N/A,REGION,379,147,694,1416,1108,2304,1134,390,22346,13,7,256,91,546,159,105,49,1206,448,72,6869,471,12324,922,1622,345,22553,9,0,321,113,555,224,121,38,1372,47477,273,233
D76,ABOBO EST,YES,DISTRICT,78,42,1252,417,1705,454,326,104,4258,2,3,44,18,41,28,40,15,186,90,7,1465,96,1991,90,250,95,3987,0,0,15,5,12,2,1,0,35,8466,77,62
D77,ABOBO OUEST,YES,DISTRICT,11,9,534,86,738,209,33,18,1618,1,0,25,9,21,13,0,3,71,7,3,756,22,963,63,113,12,1929,0,0,13,2,30,6,2,0,53,3671,9,17
D78,ANYAMA,YES,DISTRICT,7,8,273,63,476,109,40,38,999,0,1,8,4,5,3,0,0,20,3,2,279,10,415,14,50,5,773,0,0,9,1,15,2,4,0,31,1823,2,2
D79,COCODY BINGERVILLE,YES,DISTRICT,73,34,1435,332,2175,643,135,63,4783,0,2,45,10,58,27,2,7,149,99,15,1745,55,2965,120,249,37,5171,3,0,36,7,29,12,2,1,87,10190,11,16
D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,193,49,1957,253,4356,562,367,129,7624,6,1,56,35,305,54,28,14,492,230,42,1839,267,4037,590,841,180,7754,0,0,63,8,168,37,8,2,286,16156,124,98
D81,MARCORY-TREICHVILLE,YES,DISTRICT,17,5,643,265,1558,327,233,38,3064,4,0,78,15,116,34,35,10,288,19,3,785,21,1953,45,119,16,2939,6,0,185,90,301,165,104,35,880,7171,50,38
R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,209,93,4784,125,6427,1872,691,445,15244,9,13,88,63,130,118,14,29,442,327,45,5338,260,6808,422,128,130,13986,4,0,55,23,79,32,3,0,192,29864,131,92
D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,76,24,781,178,1431,519,80,93,3082,0,1,25,11,40,26,4,4,110,188,6,1107,37,1369,53,150,11,2727,0,0,19,20,39,15,0,0,93,6012,33,25
D26,DABOU,YES,DISTRICT,31,8,940,99,1180,266,57,56,2598,1,0,4,1,5,6,2,1,19,25,7,741,10,1001,24,33,12,1821,3,0,18,0,15,8,1,0,42,4480,6,0
D38,GRAND-LAHOU,YES,DISTRICT,4,3,131,31,300,75,9,13,559,0,0,3,0,4,2,0,0,9,1,0,81,4,328,30,1,7,451,0,0,2,0,0,0,0,0,2,1021,1,3
D43,JACQUEVILLE,YES,DISTRICT,4,4,93,101,159,128,20,19,520,2,0,6,9,11,16,2,1,45,1,3,72,30,64,15,13,3,197,0,0,3,0,2,2,1,0,8,770,0,0
D83,YOPOUGON-EST,YES,DISTRICT,59,32,761,255,1263,434,229,80,3022,0,2,9,16,30,58,4,15,132,57,24,1301,73,2106,143,335,45,4003,1,0,7,2,17,6,1,0,33,7190,13,22
