ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14,FLD15,FLD16
1,R02,ABIDJAN 2,N/A,REGION,175,26,191,0,10,12,47,17,295,64,1446,2,66,29,622,3002
2,D76,ABOBO EST,YES,DISTRICT,46,11,102,0,9,10,21,12,92,22,312,0,14,0,345,996
3,D77,ABOBO OUEST,YES,DISTRICT,8,1,13,0,0,0,14,0,195,2,202,2,10,1,126,574
4,D78,ANYAMA,YES,DISTRICT,62,9,44,0,0,0,3,2,0,2,163,0,9,28,0,322
5,D79,COCODY BINGERVILLE,YES,DISTRICT,36,2,31,0,1,2,0,0,5,1,146,0,6,0,36,266
6,D80,KOUMASSI-PORT-BOUET-VRIDI,YES,DISTRICT,20,2,0,0,0,0,9,3,2,30,554,0,27,0,109,756
7,D81,MARCORY-TREICHVILLE,YES,DISTRICT,3,1,1,0,0,0,0,0,1,7,69,0,0,0,6,88
8,R01,ABIDJAN 1-GRANDS PONTS,N/A,REGION,138,19,183,0,40,3,56,27,43,96,1130,19,30,32,403,2219
9,D82,ADJAME-PLATEAU-ATTECOUBE,YES,DISTRICT,34,2,20,0,9,1,17,0,1,7,293,0,0,21,63,468
10,D26,DABOU,YES,DISTRICT,32,10,92,0,31,1,17,25,33,38,117,17,2,11,129,555
11,D38,GRAND-LAHOU,YES,DISTRICT,14,2,6,0,0,0,0,0,0,0,136,0,2,0,13,173
12,D43,JACQUEVILLE,YES,DISTRICT,6,1,8,0,0,0,1,1,3,0,50,0,3,0,14,87
13,D83,YOPOUGON-EST,YES,DISTRICT,6,2,6,0,0,0,1,0,3,0,97,0,0,0,44,159
14,D84,YOPOUGON-OUEST-SONGON,YES,DISTRICT,46,2,51,0,0,1,20,1,3,51,437,2,23,0,140,777
15,R03,AGNEBY-TIASSA-ME,N/A,REGION,147,7,53,0,0,0,18,10,16,29,1263,30,59,28,406,2066
16,D05,ADZOPE,YES,DISTRICT,49,5,17,0,0,0,9,0,10,7,216,30,17,25,22,407
17,D06,AGBOVILLE,YES,DISTRICT,48,0,2,0,0,0,0,0,0,2,469,0,16,0,9,546
