ORD,CODE,ADM_NAME,GEOLOC,LEVEL,FLD1,FLD2,FLD3,FLD4
1,CI12,BAS-SASSANDRA,YES,DISTRICT,11,0,0,0
2,CI1203,GBOKLE,YES,REGION,2,0,0,0
3,CI1201,NAWA,YES,REGION,2,0,0,0
4,CI1202,SAN-PEDRO,YES,REGION,7,0,0,0
5,CI09,COMOE,YES,DISTRICT,20,0,0,0
6,CI0901,INDENIE-DJUABLIN,YES,REGION,0,0,0,0
7,CI0902,SUD-COMOE,YES,REGION,20,0,0,0
8,CI02,DENGUELE,YES,DISTRICT,0,0,0,0
9,CI0201,FOLON,YES,REGION,0,0,0,0
10,CI0202,KABADOUGOU,YES,REGION,0,0,0,0
11,CI14,DISTRICT AUTONOME D'ABIDJAN,YES,DISTRICT,4124,0,0,0
12,CI1401,DISTRICT AUTONOME D'ABIDJAN,YES,REGION,2319,0,0,0
13,CI10,DISTRICT AUTONOME DE YAMOUSSOUKRO,,DISTRICT,4,0,0,0
14,CI1001,DISTRICT AUTONOME DE YAMOUSSOUKRO,YES,REGION,4,0,0,0
15,CI11,GOH-DJIBOUA,YES,DISTRICT,1,0,0,0
16,CI1101,GOH,YES,REGION,0,0,0,0
17,CI1102,LOH-DJIBOUA,YES,REGION,1,0,0,0
18,CI07,LACS,YES,DISTRICT,2,0,0,0
19,CI0702,BELIER,YES,REGION,0,0,0,0
20,CI0701,IFFOU,YES,REGION,0,0,0,0
21,CI0704,MORONOU,YES,REGION,1,0,0,0
22,CI0703,N'ZI,YES,REGION,1,0,0,0
23,CI13,LAGUNES,YES,DISTRICT,3,0,0,0
24,CI1302,AGNEBY-TIASSA,YES,REGION,1,0,0,0
25,CI1303,GRANDS PONTS,YES,REGION,2,0,0,0
26,CI1301,ME,YES,REGION,0,0,0,0
27,CI06,MONTAGNES,YES,DISTRICT,7,0,0,0
28,CI0603,CAVALLY,YES,REGION,1,0,0,0
29,CI0602,GUEMON,YES,REGION,2,0,0,0
30,CI0601,TONKPI,YES,REGION,4,0,0,0
31,CI08,SASSANDRA-MARAHOUE,YES,DISTRICT,3,0,0,0
32,CI0801,HAUT-SASSANDRA,YES,REGION,1,0,0,0
33,CI0802,MARAHOUE,YES,REGION,2,0,0,0
34,CI01,SAVANES,YES,DISTRICT,2,0,0,0
35,CI0101,BAGOUE,YES,REGION,0,0,0,0
36,CI0102,PORO,YES,REGION,2,0,0,0
37,CI0103,TCHOLOGO,YES,REGION,0,0,0,0
38,CI04,VALLE DU BANDAMA,YES,DISTRICT,4,0,0,0
39,CI0402,GBEKE,YES,REGION,4,0,0,0
40,CI0401,HAMBOL,YES,REGION,0,0,0,0
41,CI05,WOROBA,YES,DISTRICT,0,0,0,0
42,CI0502,BAFING,YES,REGION,0,0,0,0
43,CI0501,BERE,YES,REGION,0,0,0,0
44,CI0503,WORODOUGOU,YES,REGION,0,0,0,0
45,CI03,ZANZAN,YES,DISTRICT,0,0,0,0
46,CI0301,BOUNKANI,YES,REGION,0,0,0,0
47,CI0302,GONTOUGO,YES,REGION,0,0,0,0
