REGIONS/DISTRICTS; Couverture en BCG (%);Couverture en VPO-1 (%);Couverture en VPO-2 (%);Couverture en VPO-3(%);Couverture en Penta-1 (%);Couverture en Penta-2(%);Couverture en Penta-3(%);Couverture en PCV13-1 (%);Couverture en PCV13- 2 (%);Couverture en PCV13-3 (%);Couverture en VPI (%);VAR-2;VAA;Couverture en VAT 2+ (%)
ABIDJAN II; 87,18;91,42;88,76;94,34;91,74;89,19;94,76;91,49;88,72;94,04;3,18;89,08;88,63;83,37
ABOBO EST; 79,29;79,68;77,64;82,52;80,00;78,08;83,41;79,77;77,54;82,24;0,47;79,74;79,63;75,62
ABOBO OUEST; 87,81;94,47;88,27;94,00;94,81;88,66;94,10;94,76;87,65;93,66;0,00;93,30;93,51;76,76
ANYAMA; 105,38;103,17;95,66;90,68;103,74;96,98;90,66;101,61;95,21;86,88;7,12;73,25;73,82;70,43
COCODY BINGERVILLE; 100,33;102,45;100,51;100,28;103,34;101,04;101,29;103,10;100,98;100,73;1,63;84,85;83,49;73,33
KOUMASSI-PORT-BOUET-VRIDI; 91,46;101,13;100,33;109,10;101,28;100,72;109,41;101,25;100,57;109,32;5,11;99,08;97,78;100,12
MARCORY-TREICHVILLE; 68,83;70,76;69,35;80,33;70,73;69,41;80,27;70,60;69,29;79,93;7,17;90,50;90,82;87,20
ABIDJAN I-GRANDS PONTS; 91,63;90,96;89,77;96,00;91,34;90,08;96,35;90,61;89,40;95,45;0,45;94,06;93,87;93,11
ADJAME-PLATEAU-ATTECOUBE; 81,32;79,54;81,65;95,82;79,89;81,86;95,93;79,88;81,89;96,05;1,40;92,84;93,02;92,60
DABOU; 77,83;86,92;82,51;81,70;86,92;82,52;81,70;86,92;82,46;81,71;0,00;79,57;78,16;55,83
GRAND-LAHOU; 104,88;107,20;95,99;94,23;108,66;97,19;95,66;105,55;93,65;92,15;0,00;87,36;87,44;97,35
JACQUEVILLE; 84,60;93,85;88,92;91,03;95,54;90,80;93,17;95,24;90,57;93,17;0,00;89,02;88,98;68,52
YOPOUGON-EST; 71,50;83,64;83,63;93,56;84,07;84,14;93,96;82,47;82,71;92,25;0,29;105,90;105,56;98,35
YOPOUGON-OUEST SONGON; 122,39;105,74;104,04;103,87;105,78;103,95;103,98;105,45;103,67;103,07;0,00;90,62;90,54;102,42
AGNEBY-TIASSA-ME; 86,18;98,14;94,74;94,78;98,59;95,17;95,44;98,08;94,57;94,69;0,94;84,61;84,39;77,57
ADZOPE; 78,71;93,18;93,93;96,29;93,57;94,12;96,44;93,66;93,90;96,04;0,00;81,72;80,76;70,96
AGBOVILLE; 78,47;87,11;82,23;82,87;86,84;82,23;83,09;86,70;82,12;83,05;0,00;73,48;73,71;67,73
AKOUPE; 93,52;112,12;108,28;106,73;112,12;108,28;106,73;112,12;108,28;106,73;0,00;96,20;96,22;105,50
ALEPE; 80,88;93,54;91,33;90,89;95,40;92,96;93,56;95,32;92,66;93,54;0,00;76,80;75,74;74,40
SIKENSI; 90,38;100,23;97,59;92,22;102,55;99,50;94,70;100,93;97,80;91,55;11,52;91,23;91,39;71,59
TIASSALE; 98,44;108,01;102,65;103,76;108,34;103,02;104,18;106,62;101,18;102,10;0,00;94,78;94,65;78,05
BELIER; 82,47;89,84;86,83;87,15;89,86;86,99;87,33;89,94;87,01;87,30;0,08;77,45;76,57;63,70
DIDIEVI; 76,42;79,19;78,25;75,94;79,32;78,42;75,94;80,09;79,12;77,04;0,00;66,74;65,70;59,08
TIEBISSOU; 77,72;87,55;85,61;82,15;87,55;85,64;82,15;87,55;85,64;82,15;0,31;72,10;70,22;60,84
TOUMODI; 88,69;92,43;89,44;89,13;92,44;89,66;89,25;92,05;89,29;88,62;0,00;82,21;81,63;80,62
YAMOUSSOUKRO; 82,54;92,07;88,17;90,73;92,07;88,35;91,03;92,24;88,37;90,99;0,06;79,65;79,00;57,56
BOUNKANI-GONTOUGO; 85,52;98,16;94,71;95,63;98,05;94,50;95,48;97,99;94,54;95,27;1,19;89,96;86,76;72,20
BONDOUKOU; 83,02;92,85;91,89;92,18;92,85;91,89;92,18;92,85;91,89;92,18;0,52;86,36;81,87;65,15
BOUNA; 114,04;121,96;111,25;108,92;121,45;110,25;108,19;121,11;110,45;107,18;0,18;106,86;99,93;101,41
NASSIAN; 84,73;104,10;95,75;98,30;104,10;95,75;98,30;104,10;95,75;98,30;13,02;89,02;89,02;83,33
TANDA; 71,42;89,22;87,90;91,27;89,22;87,90;91,27;89,22;87,90;91,27;1,00;84,09;84,18;61,32
CAVALLY-GUEMON; 97,07;102,58;97,24;98,53;104,28;99,03;100,49;103,02;97,66;98,89;0,62;86,41;80,97;91,56
BANGOLO; 92,03;102,60;97,21;96,13;104,67;99,38;98,00;100,17;93,41;92,65;0,00;85,76;80,67;77,43
BLOLEQUIN; 126,82;123,84;116,20;113,13;129,94;121,79;118,75;127,80;121,67;115,96;0,00;101,43;105,21;123,01
DUEKOUE; 88,98;95,37;93,17;97,74;97,24;95,03;100,43;97,05;94,88;99,95;0,00;81,15;76,34;95,01
GUIGLO; 101,63;108,77;98,01;97,34;108,75;98,34;97,65;108,57;97,71;97,09;0,00;87,92;73,27;73,85
KOUIBLY; 103,81;102,60;100,99;106,02;102,78;101,20;106,16;101,94;100,12;105,57;0,00;94,45;92,37;113,41
TOULEPLEU; 63,86;76,26;70,77;68,28;78,17;73,38;70,77;77,24;73,31;69,96;10,86;61,92;62,08;70,24
GBEKE; 90,65;97,08;92,52;95,06;97,19;92,67;95,16;97,18;92,58;95,03;0,01;91,86;91,40;78,11
BEOUMI; 80,58;92,42;91,74;91,83;92,95;92,82;92,32;92,97;92,61;92,20;0,05;91,93;91,20;61,54
BOUAKE NORD-EST; 104,43;112,91;104,67;105,32;112,91;104,60;104,99;112,80;104,39;104,51;0,00;98,31;98,40;93,71
BOUAKE NORD-OUEST; 88,47;90,02;85,88;89,33;90,02;85,87;89,33;90,02;85,88;89,33;0,00;85,86;85,30;85,20
BOUAKE-SUD; 99,47;99,89;95,41;99,28;100,13;95,60;99,86;100,18;95,53;99,79;0,00;98,50;97,57;72,20
SAKASSOU; 64,87;90,92;87,62;91,56;90,92;87,62;91,56;90,87;87,57;91,51;0,00;89,08;89,03;53,58
GBOKLE-NAWA-SAN-PEDRO; 98,39;106,91;100,27;101,89;108,76;101,97;103,87;108,44;101,27;102,55;0,03;95,10;91,95;83,21
GUEYO; 99,61;102,32;97,39;99,79;103,28;98,34;100,75;103,16;98,22;100,55;0,00;101,34;101,59;86,38
SAN-PEDRO; 100,48;104,47;97,41;97,42;107,47;100,02;99,87;107,29;99,46;99,01;0,00;92,79;93,03;88,95
SASSANDRA; 112,90;126,83;110,69;117,18;127,83;111,58;119,81;126,84;110,82;114,62;0,35;108,25;97,25;99,95
SOUBRE; 94,36;104,99;99,84;101,99;106,42;101,21;103,73;106,04;100,19;102,70;0,00;93,06;88,70;73,55
TABOU; 94,61;106,45;102,68;101,90;107,97;104,32;103,42;107,90;104,18;102,46;0,00;94,33;91,31;88,83
