REGIONS/DISTRICTS; Population 0 à 4 ans;Total enfants Malnutris 2017;Incidence de la Malnutrition 2017 (‰)
ABIDJAN II; 394917;5509;13,9
ABOBO EST; 98235;1279;13,0
ABOBO OUEST; 49257;1203;24,4
ANYAMA; 24928;256;10,3
COCODY BINGERVILLE; 64559;1263;19,6
KOUMASSI-PORT-BOUET-VRIDI; 119103;1262;10,6
MARCORY-TREICHVILLE; 38836;246;6,3
ABIDJAN I-GRANDS PONTS; 316252;2592;8,2
ADJAME-PLATEAU-ATTECOUBE; 95983;580;6,0
DABOU; 22867;148;6,5
GRAND-LAHOU; 28044;45;1,6
JACQUEVILLE; 9794;69;7,0
YOPOUGON-EST; 81736;375;4,6
YOPOUGON-OUEST SONGON; 77828;1375;17,7
AGNEBY-TIASSA-ME; 180386;2592;14,4
ADZOPE; 27152;580;21,4
AGBOVILLE; 51236;148;2,9
AKOUPE; 28798;45;1,6
ALEPE; 20519;69;3,4
SIKENSI; 12671;375;29,6
TIASSALE; 40010;1375;34,4
BELIER; 110981;445;4,0
DIDIEVI; 17152;40;2,3
TIEBISSOU; 17716;118;6,7
TOUMODI; 26099;50;1,9
YAMOUSSOUKRO; 50014;237;4,7
BOUNKANI-GONTOUGO; 168746;3307;19,6
BONDOUKOU; 68160;1237;18,1
BOUNA; 46261;1634;35,3
NASSIAN; 7743;288;37,2
TANDA; 46583;148;3,2
CAVALLY-GUEMON; 287096;6532;22,8
BANGOLO; 71734;398;5,5
BLOLEQUIN; 22830;631;27,6
DUEKOUE; 87511;2687;30,7
GUIGLO; 53054;926;17,5
KOUIBLY; 42048;509;12,1
TOULEPLEU; 9918;1381;139,2
GBEKE; 165796;610;3,7
BEOUMI; 27517;69;2,5
BOUAKE NORD-EST; 28570;58;2,0
BOUAKE NORD-OUEST; 63926;111;1,7
BOUAKE-SUD; 28302;279;9,9
SAKASSOU; 17482;93;5,3
GBOKLE-NAWA-SAN-PEDRO; 415439;1518;3,7
GUEYO; 17467;30;1,7
SAN-PEDRO; 117086;946;8,1
SASSANDRA; 59190;163;2,8
SOUBRE; 183461;221;1,2
TABOU; 38235;158;4,1
GÔH; 164843;455;2,8
GAGNOA; 114953;350;3,0
OUME; 49889;105;2,1
HAMBOL; 85112;287;3,4
DABAKALA; 38623;211;5,5
KATIOLA; 20286;42;2,1
NIAKARAMADOUGOU; 26203;34;1,3
HAUT SASSANDRA; 253870;715;2,8
DALOA; 114942;389;3,4
ISSIA; 58701;272;4,6
VAVOUA; 80226;54;0,7
INDENIE DUABLIN; 96982;170;1,8
ABENGOUROU; 55196;70;1,3
AGNIBILEKROU; 31156;58;1,9
BETTIE; 10630;42;4,0
KABADOUGOU-BAFING-FOLON; 97849;2839;29,0
MINIGNAN; 20406;785;38,5
ODIENNE; 40429;2015;49,8
TOUBA; 37014;39;1,1
LÔH-DJIBOUA; 153681;459;3,0
DIVO; 66849;306;4,6
FRESCO; 20536;76;3,7
GUITRY; 28463;68;2,4
LAKOTA; 37833;9;0,2
MARAHOUE; 167049;576;3,4
BOUAFLE; 78275;335;4,3
SINFRA; 46111;108;2,3
ZUENOULA; 42663;133;3,1
N'ZI-IFOU; 164259;287;1,7
BOCANDA; 29478;73;2,5
BONGOUANOU; 62745;41;0,7
DAOUKRO; 27406;55;2,0
DIMBOKRO; 14558;78;5,4
M'BAHIAKRO; 15258;21;1,4
PRIKRO; 14815;19;1,3
PORO-TCHOLOGO-BAGOUE; 339772;10058;29,6
BOUNDIALI; 52824;2050;38,8
FERKESSEDOUGOU; 54323;1072;19,7
KORHOGO; 150576;4787;31,8
OUANGOLODOUGOU; 57691;1483;25,7
TENGRELA; 24358;666;27,3
SUD-COMOE; 105434;468;4,4
ABOISSO; 52034;85;1,6
ADIAKE; 27593;13;0,5
GRAND-BASSAM; 25806;370;14,3
TONKPI; 184054;6088;33,1
BIANKOUMA; 36285;78;2,1
DANANE; 52134;1616;31,0
MAN; 59041;2931;49,6
ZOUAN-HOUNIEN; 36595;1463;40,0
WORODOUGOU-BERE; 136159;150;1,1
MANKONO; 82664;68;0,8
SEGUELA; 53495;82;1,5
TOTAL CI; 3988677;45657;11,4
