REGIONS/DISTRICTS; Population de 0 à 4 ans;Nombre de cas de Diarrhée chez les enfants 2017;Incidence Diarrhée chez les enfants (‰) en 2017
ABIDJAN II; 394917;31826;80,6
ABOBO EST; 98235;5404;55,0
ABOBO OUEST; 49257;5835;118,5
ANYAMA; 24928;2071;83,1
COCODY BINGERVILLE; 64559;5459;84,6
KOUMASSI-PORT-BOUET-VRIDI; 119103;10715;90,0
MARCORY-TREICHVILLE; 38836;2342;60,3
ABIDJAN I-GRANDS PONTS; 316252;36987;117,0
ADJAME-PLATEAU-ATTECOUBE; 95983;6707;69,9
DABOU; 22867;3027;132,4
GRAND-LAHOU; 28044;1355;48,3
JACQUEVILLE; 9794;1158;118,2
YOPOUGON-EST; 81736;4008;49,0
YOPOUGON-OUEST SONGON; 77828;20732;266,4
AGNEBY-TIASSA-ME; 180386;13171;73,0
ADZOPE; 27152;1716;63,2
AGBOVILLE; 51236;3511;68,5
AKOUPE; 28798;2536;88,1
ALEPE; 20519;1885;91,9
SIKENSI; 12671;789;62,3
TIASSALE; 40010;2734;68,3
BELIER; 110981;9818;88,5
DIDIEVI; 17152;1418;82,7
TIEBISSOU; 17716;1876;105,9
TOUMODI; 26099;2381;91,2
YAMOUSSOUKRO; 50014;4143;82,8
BOUNKANI-GONTOUGO; 168746;18685;110,7
BONDOUKOU; 68160;7214;105,8
BOUNA; 46261;6069;131,2
NASSIAN; 7743;1872;241,8
TANDA; 46583;3530;75,8
CAVALLY-GUEMON; 287096;25180;87,7
BANGOLO; 71734;4751;66,2
BLOLEQUIN; 22830;3420;149,8
DUEKOUE; 87511;5746;65,7
GUIGLO; 53054;4618;87,0
KOUIBLY; 42048;5675;135,0
TOULEPLEU; 9918;970;97,8
GBEKE; 165796;13667;82,4
BEOUMI; 27517;2635;95,8
BOUAKE NORD-EST; 28570;2201;77,0
BOUAKE NORD-OUEST; 63926;3889;60,8
BOUAKE-SUD; 28302;2436;86,1
SAKASSOU; 17482;2506;143,3
GBOKLE-NAWA-SAN-PEDRO; 415439;29625;71,3
GUEYO; 17467;901;51,6
SAN-PEDRO; 117086;8901;76,0
SASSANDRA; 59190;4700;79,4
SOUBRE; 183461;10003;54,5
TABOU; 38235;5120;133,9
GÔH; 164843;16243;98,5
GAGNOA; 114953;12719;110,6
OUME; 49889;3524;70,6
HAMBOL; 85112;6530;76,7
DABAKALA; 38623;3025;78,3
KATIOLA; 20286;2096;103,3
NIAKARAMADOUGOU; 26203;1409;53,8
HAUT SASSANDRA; 253870;16953;66,8
DALOA; 114942;6438;56,0
ISSIA; 58701;6572;112,0
VAVOUA; 80226;3943;49,1
INDENIE DUABLIN; 96982;8852;91,3
ABENGOUROU; 55196;4234;76,7
AGNIBILEKROU; 31156;3204;102,8
BETTIE; 10630;1414;133,0
KABADOUGOU-BAFING-FOLON; 97849;5659;57,8
MINIGNAN; 20406;1295;63,5
ODIENNE; 40429;2224;55,0
TOUBA; 37014;2140;57,8
LÔH-DJIBOUA; 153681;11043;71,9
DIVO; 66849;4894;73,2
FRESCO; 20536;1921;93,5
GUITRY; 28463;833;29,3
LAKOTA; 37833;3395;89,7
MARAHOUE; 167049;13409;80,3
BOUAFLE; 78275;6469;82,6
SINFRA; 46111;2784;60,4
ZUENOULA; 42663;4156;97,4
N'ZI-IFOU; 164259;13538;82,4
BOCANDA; 29478;2717;92,2
BONGOUANOU; 62745;5959;95,0
DAOUKRO; 27406;1889;68,9
DIMBOKRO; 14558;1233;84,7
M'BAHIAKRO; 15258;1034;67,8
PRIKRO; 14815;706;47,7
PORO-TCHOLOGO-BAGOUE; 339772;20754;61,1
BOUNDIALI; 52824;2974;56,3
FERKESSEDOUGOU; 54323;2614;48,1
KORHOGO; 150576;10746;71,4
OUANGOLODOUGOU; 57691;1821;31,6
TENGRELA; 24358;2599;106,7
SUD-COMOE; 105434;6896;65,4
ABOISSO; 52034;3272;62,9
ADIAKE; 27593;1580;57,3
GRAND-BASSAM; 25806;2044;79,2
TONKPI; 184054;20024;108,8
BIANKOUMA; 36285;4119;113,5
DANANE; 52134;5398;103,5
MAN; 59041;6918;117,2
ZOUAN-HOUNIEN; 36595;3589;98,1
WORODOUGOU-BERE; 136159;7306;53,7
MANKONO; 82664;5015;60,7
SEGUELA; 53495;2291;42,8
Total CHU et EPN; null;87;null
CHU YOPOUGON; null;NP;null
CHU BOUAKE; null;75;null
CHU TREICHVILLE; null;NP;null
CHU COCODY; null;12;null
TOTAL CI; 3988677;326253;81,8
