REGIONS/DISTRICTS; Population de 0 à 4 ans;Nombre de cas d’IRA chez les Enfants 2017;Incidence IRA chez les Enfants (‰) en 2017
ABIDJAN II; 394917;102873;260,5
ABOBO EST; 98235;18342;186,7
ABOBO OUEST; 49257;19126;388,3
ANYAMA; 24928;8208;329,3
COCODY BINGERVILLE; 64559;21538;333,6
KOUMASSI-PORT-BOUET-VRIDI; 119103;26665;223,9
MARCORY-TREICHVILLE; 38836;8994;231,6
ABIDJAN I-GRANDS PONTS; 316252;66870;211,4
ADJAME-PLATEAU-ATTECOUBE; 95983;22443;233,8
DABOU; 22867;8723;381,5
GRAND-LAHOU; 28044;3580;127,7
JACQUEVILLE; 9794;3847;392,8
YOPOUGON-EST; 81736;7376;90,2
YOPOUGON-OUEST SONGON; 77828;20901;268,6
AGNEBY-TIASSA-ME; 180386;31912;176,9
ADZOPE; 27152;4377;161,2
AGBOVILLE; 51236;7701;150,3
AKOUPE; 28798;5033;174,8
ALEPE; 20519;4304;209,8
SIKENSI; 12671;3864;304,9
TIASSALE; 40010;6633;165,8
BELIER; 110981;26111;235,3
DIDIEVI; 17152;2367;138,0
TIEBISSOU; 17716;3709;209,4
TOUMODI; 26099;7938;304,1
YAMOUSSOUKRO; 50014;12097;241,9
BOUNKANI-GONTOUGO; 168746;28785;170,6
BONDOUKOU; 68160;11413;167,4
BOUNA; 46261;7149;154,5
NASSIAN; 7743;3333;430,5
TANDA; 46583;6890;147,9
CAVALLY-GUEMON; 287096;53973;188,0
BANGOLO; 71734;7855;109,5
BLOLEQUIN; 22830;7803;341,8
DUEKOUE; 87511;13259;151,5
GUIGLO; 53054;10553;198,9
KOUIBLY; 42048;11250;267,6
TOULEPLEU; 9918;3253;328,0
GBEKE; 165796;38824;234,2
BEOUMI; 27517;7990;290,4
BOUAKE NORD-EST; 28570;5936;207,8
BOUAKE NORD-OUEST; 63926;12247;191,6
BOUAKE-SUD; 28302;7596;268,4
SAKASSOU; 17482;5055;289,1
GBOKLE-NAWA-SAN-PEDRO; 415439;64609;155,5
GUEYO; 17467;2856;163,5
SAN-PEDRO; 117086;21720;185,5
SASSANDRA; 59190;8325;140,6
SOUBRE; 183461;17706;96,5
TABOU; 38235;14002;366,2
GÔH; 164843;26981;163,7
GAGNOA; 114953;18439;160,4
OUME; 49889;8542;171,2
HAMBOL; 85112;8071;94,8
DABAKALA; 38623;2432;63,0
KATIOLA; 20286;276;13,6
NIAKARAMADOUGOU; 26203;5363;204,7
HAUT SASSANDRA; 253870;42229;166,3
DALOA; 114942;19910;173,2
ISSIA; 58701;13783;234,8
VAVOUA; 80226;8536;106,4
INDENIE DUABLIN; 96982;18050;186,1
ABENGOUROU; 55196;9797;177,5
AGNIBILEKROU; 31156;4483;143,9
BETTIE; 10630;3770;354,7
KABADOUGOU-BAFING-FOLON; 97849;12942;132,3
MINIGNAN; 20406;2644;129,6
ODIENNE; 40429;5086;125,8
TOUBA; 37014;5212;140,8
LÔH-DJIBOUA; 153681;22790;148,3
DIVO; 66849;11248;168,3
FRESCO; 20536;3778;184,0
GUITRY; 28463;2925;102,8
LAKOTA; 37833;4839;127,9
MARAHOUE; 167049;31391;187,9
BOUAFLE; 78275;14257;182,1
SINFRA; 46111;11110;240,9
ZUENOULA; 42663;6024;141,2
N'ZI-IFOU; 164259;30442;185,3
BOCANDA; 29478;5803;196,9
BONGOUANOU; 62745;11525;183,7
DAOUKRO; 27406;4262;155,5
DIMBOKRO; 14558;5347;367,3
M'BAHIAKRO; 15258;1935;126,8
PRIKRO; 14815;1570;106,0
PORO-TCHOLOGO-BAGOUE; 339772;59050;173,8
BOUNDIALI; 52824;9080;171,9
FERKESSEDOUGOU; 54323;6617;121,8
KORHOGO; 150576;31584;209,8
OUANGOLODOUGOU; 57691;5675;98,4
TENGRELA; 24358;6094;250,2
SUD-COMOE; 105434;20960;198,8
ABOISSO; 52034;9245;177,7
ADIAKE; 27593;3916;141,9
GRAND-BASSAM; 25806;7799;302,2
TONKPI; 184054;46258;251,3
BIANKOUMA; 36285;11114;306,3
DANANE; 52134;9524;182,7
MAN; 59041;14850;251,5
ZOUAN-HOUNIEN; 36595;10770;294,3
WORODOUGOU-BERE; 136159;12187;89,5
MANKONO; 82664;7989;96,6
SEGUELA; 53495;4198;78,5
Total CHU et EPN; null;1687;null
CHU YOPOUGON; null;1331;null
CHU BOUAKE; null;1498;null
CHU TREICHVILLE; null;NP;null
CHU COCODY; null;189;null
ICA; null;NP;null
TOTAL CI; 3988677;746995;187,3
