REGIONS/DISTRICTS; Population 0 à 4ans;Nombre Total de cas de paludisme confirmés chez les moins de 5 ans(Public+Privés+Communautaires) 2017;Incidence du paludisme chez les moins de 5 ans en 2017 (‰)
ABOBO EST; 98235;11727;119,4
ABOBO OUEST; 49257;13269;269,4
ANYAMA; 24928;9432;378,4
COCODY BINGERVILLE; 64559;17144;265,6
KOUMASSI-PORT-BOUET-VRIDI; 119103;22341;187,6
MARCORY-TREICHVILLE; 38836;7409;190,8
ABIDJAN I-GRANDS PONTS; 316252;56931;180,0
ADJAME-PLATEAU-ATTECOUBE; 95983;7978;83,1
DABOU; 22867;7888;345,0
GRAND-LAHOU; 28044;8141;290,3
JACQUEVILLE; 9794;5489;560,4
YOPOUGON-EST; 81736;7601;93,0
YOPOUGON-OUEST SONGON; 77828;19834;254,8
AGNEBY-TIASSA-ME; 180386;63560;352,4
ADZOPE; 27152;9803;361,0
AGBOVILLE; 51236;19609;382,7
AKOUPE; 28798;10206;354,4
ALEPE; 20519;7617;371,2
SIKENSI; 12671;4436;350,1
TIASSALE; 40010;11889;297,2
BELIER; 110981;35680;321,5
DIDIEVI; 17152;8078;471,0
TIEBISSOU; 17716;7766;438,4
TOUMODI; 26099;8387;321,4
YAMOUSSOUKRO; 50014;11449;228,9
BOUNKANI-GONTOUGO; 168746;50020;296,4
BONDOUKOU; 68160;26609;390,4
BOUNA; 46261;11345;245,2
NASSIAN; 7743;2076;268,1
TANDA; 46583;9990;214,5
CAVALLY-GUEMON; 287096;76738;267,3
BANGOLO; 71734;13374;186,4
BLOLEQUIN; 22830;11456;501,8
DUEKOUE; 87511;21425;244,8
GUIGLO; 53054;13367;251,9
KOUIBLY; 42048;13304;316,4
TOULEPLEU; 9918;3812;384,4
GBEKE; 165796;61848;373,0
BEOUMI; 27517;11232;408,2
BOUAKE NORD-EST; 28570;8842;309,5
BOUAKE NORD-OUEST; 63926;14047;219,7
BOUAKE-SUD; 28302;13275;469,1
SAKASSOU; 17482;14452;826,7
GBOKLE-NAWA-SAN-PEDRO; 415439;110555;266,1
GUEYO; 17467;5185;296,8
SAN-PEDRO; 117086;28856;246,5
SASSANDRA; 59190;17947;303,2
SOUBRE; 183461;47034;256,4
TABOU; 38235;11533;301,6
GÔH; 164843;47265;286,7
GAGNOA; 114953;34619;301,2
OUME; 49889;12646;253,5
HAMBOL; 85112;25011;293,9
DABAKALA; 38623;8985;232,6
KATIOLA; 20286;7628;376,0
NIAKARAMADOUGOU; 26203;8398;320,5
HAUT SASSANDRA; 253870;88445;348,4
DALOA; 114942;47376;412,2
ISSIA; 58701;14752;251,3
VAVOUA; 80226;26317;328,0
INDENIE DUABLIN; 96982;32274;332,8
ABENGOUROU; 55196;18609;337,1
AGNIBILEKROU; 31156;11721;376,2
BETTIE; 10630;1944;182,9
KABADOUGOU-BAFING-FOLON; 97849;33089;338,2
MINIGNAN; 20406;9854;482,9
ODIENNE; 40429;11827;292,5
TOUBA; 37014;11408;308,2
LÔH-DJIBOUA; 153681;52595;342,2
DIVO; 66849;30148;451,0
FRESCO; 20536;7978;388,5
GUITRY; 28463;445;15,6
LAKOTA; 37833;14024;370,7
MARAHOUE; 167049;44157;264,3
BOUAFLE; 78275;16210;207,1
SINFRA; 46111;15905;344,9
ZUENOULA; 42663;12042;282,3
N'ZI-IFOU; 164259;50843;309,5
BOCANDA; 29478;7149;242,5
BONGOUANOU; 62745;22341;356,1
DAOUKRO; 27406;7562;275,9
DIMBOKRO; 14558;5128;352,3
M'BAHIAKRO; 15258;4548;298,1
PRIKRO; 14815;4115;277,8
PORO-TCHOLOGO-BAGOUE; 339772;84451;248,6
BOUNDIALI; 52824;18488;350,0
FERKESSEDOUGOU; 54323;17848;328,6
KORHOGO; 150576;29122;193,4
OUANGOLODOUGOU; 57691;11796;204,5
TENGRELA; 24358;7197;295,5
SUD-COMOE; 105434;36994;350,9
ABOISSO; 52034;15093;290,1
ADIAKE; 27593;11411;413,5
GRAND-BASSAM; 25806;10490;406,5
TONKPI; 184054;54253;294,8
BIANKOUMA; 36285;9798;270,0
DANANE; 52134;11484;220,3
MAN; 59041;19045;322,6
ZOUAN-HOUNIEN; 36595;13926;380,5
WORODOUGOU-BERE; 136159;43877;322,2
MANKONO; 82664;24302;294,0
SEGUELA; 53495;19575;365,9
Total EPN CHU; null;5844;null
CHU YOPOUGON; null;2202;null
CHU BOUAKE; null;3250;null
CHU TREICHVILLE; null;NP;null
CHU COCODY; null;392;null
TOTAL CI; 3988677;1124025;281,8
