REGIONS/DISTRICTS; Population totale;Nombre de cas de Coqueluche 2017;Incidence Coqueluche (‰) en 2017
ABIDJAN II; 3217801;113;0,04
ABOBO EST; 701637;0;0,00
ABOBO OUEST; 352625;72;0,20
ANYAMA; 163246;1;0,01
COCODY BINGERVILLE; 614405;5;0,01
KOUMASSI-PORT-BOUET-VRIDI; 980413;34;0,03
MARCORY-TREICHVILLE; 405475;1;0,00
ABIDJAN I-GRANDS PONTS; 2399364;70;0,03
ADJAME-PLATEAU-ATTECOUBE; 737895;2;0,00
DABOU; 153371;0;0,00
GRAND-LAHOU; 155884;6;0,04
JACQUEVILLE; 58008;35;0,60
YOPOUGON-EST; 661730;26;0,04
YOPOUGON-OUEST SONGON; 632476;1;0,00
AGNEBY-TIASSA-ME; 1195490;76;0,06
ADZOPE; 202498;4;0,02
AGBOVILLE; 316203;19;0,06
AKOUPE; 204368;1;0,00
ALEPE; 131718;5;0,04
SIKENSI; 84908;2;0,02
TIASSALE; 255795;45;0,18
BELIER; 763455;217;0,28
DIDIEVI; 102068;0;0,00
TIEBISSOU; 107554;0;0,00
TOUMODI; 168122;0;0,00
YAMOUSSOUKRO; 385711;217;0,56
BOUNKANI-GONTOUGO; 988077;24;0,02
BONDOUKOU; 407525;12;0,03
BOUNA; 242308;7;0,03
NASSIAN; 48462;0;0,00
TANDA; 289782;5;0,02
CAVALLY-GUEMON; 1496211;20;0,01
BANGOLO; 353264;1;0,00
BLOLEQUIN; 127443;0;0,00
DUEKOUE; 453224;0;0,00
GUIGLO; 288948;10;0,03
KOUIBLY; 214442;6;0,03
TOULEPLEU; 58890;3;0,05
GBEKE; 1064759;23;0,02
BEOUMI; 162429;2;0,01
BOUAKE NORD-EST; 189861;14;0,07
BOUAKE NORD-OUEST; 424821;0;0,00
BOUAKE-SUD; 188081;5;0,03
SAKASSOU; 99566;2;0,02
GBOKLE-NAWA-SAN-PEDRO; 2251821;273;0,12
GUEYO; 86467;2;0,02
SAN-PEDRO; 652175;116;0,18
SASSANDRA; 309474;29;0,09
SOUBRE; 1001686;121;0,12
TABOU; 202019;5;0,02
GÔH; 981377;52;0,05
GAGNOA; 674435;44;0,07
OUME; 306942;8;0,03
HAMBOL; 475606;17;0,04
DABAKALA; 209338;3;0,01
KATIOLA; 118250;12;0,10
NIAKARAMADOUGOU; 148018;2;0,01
HAUT SASSANDRA; 1478612;41;0,03
DALOA; 725530;39;0,05
ISSIA; 338819;2;0,01
VAVOUA; 414263;0;0,00
INDENIE DUABLIN; 607750;6;0,01
ABENGOUROU; 364530;6;0,02
AGNIBILEKROU; 182388;0;0,00
BETTIE; 60832;0;0,00
KABADOUGOU-BAFING-FOLON; 512209;17;0,03
MINIGNAN; 104838;1;0,01
ODIENNE; 204534;7;0,03
TOUBA; 202837;9;0,04
LÔH-DJIBOUA; 889497;19;0,02
DIVO; 409242;11;0,03
FRESCO; 104671;3;0,03
GUITRY; 157950;1;0,01
LAKOTA; 217634;4;0,02
MARAHOUE; 934033;15;0,02
BOUAFLE; 443740;13;0,03
SINFRA; 257802;2;0,01
ZUENOULA; 232491;0;0,00
N'ZI-IFOU; 1025739;42;0,04
BOCANDA; 175960;1;0,01
BONGOUANOU; 393799;16;0,04
DAOUKRO; 180513;5;0,03
DIMBOKRO; 102363;2;0,02
M'BAHIAKRO; 90512;18;0,20
PRIKRO; 82592;0;0,00
PORO-TCHOLOGO-BAGOUE; 1838508;36;0,02
BOUNDIALI; 291671;3;0,01
FERKESSEDOUGOU; 268140;0;0,00
KORHOGO; 869860;21;0,02
OUANGOLODOUGOU; 274605;5;0,02
TENGRELA; 134232;7;0,05
SUD-COMOE; 666215;50;0,08
ABOISSO; 319154;37;0,12
ADIAKE; 161423;8;0,05
GRAND-BASSAM; 185638;5;0,03
TONKPI; 1073147;45;0,04
BIANKOUMA; 212095;14;0,07
DANANE; 288835;4;0,01
MAN; 361297;16;0,04
ZOUAN-HOUNIEN; 210920;11;0,05
WORODOUGOU-BERE; 711375;21;0,03
MANKONO; 426233;1;0,00
SEGUELA; 285142;20;0,07
TOTAL CI; 24571046;1177;0,05
