REGIONS/DISTRICTS; Population totale;Nombre Total de cas de paludisme confirmés dans la population générale(Public+Privés+Communautaires) 2017;Incidence du paludisme dans la population générale 2017 (‰)
ABIDJAN II; 3217801;261165;81,16
ABOBO EST; 701637;40822;58,18
ABOBO OUEST; 352625;36335;103,04
ANYAMA; 163246;37349;228,79
COCODY BINGERVILLE; 614405;63642;103,58
KOUMASSI-PORT-BOUET-VRIDI; 980413;62533;63,78
MARCORY-TREICHVILLE; 405475;20484;50,52
ABIDJAN I-GRANDS PONTS; 2399364;183429;76,45
ADJAME-PLATEAU-ATTECOUBE; 737895;27530;37,31
DABOU; 153371;25806;168,26
GRAND-LAHOU; 155884;22872;146,72
JACQUEVILLE; 58008;21290;367,02
YOPOUGON-EST; 661730;32906;49,73
YOPOUGON-OUEST SONGON; 632476;53025;83,84
AGNEBY-TIASSA-ME; 1195490;224419;187,72
ADZOPE; 202498;30667;151,44
AGBOVILLE; 316203;61706;195,15
AKOUPE; 204368;42049;205,75
ALEPE; 131718;33935;257,63
SIKENSI; 84908;26349;310,32
TIASSALE; 255795;29713;116,16
BELIER; 763455;137116;179,60
DIDIEVI; 102068;23216;227,46
TIEBISSOU; 107554;25128;233,63
TOUMODI; 168122;45695;271,80
YAMOUSSOUKRO; 385711;43077;111,68
BOUNKANI-GONTOUGO; 988077;197629;200,01
BONDOUKOU; 407525;73466;180,27
BOUNA; 242308;29924;123,50
NASSIAN; 48462;17915;369,67
TANDA; 289782;76324;263,38
CAVALLY-GUEMON; 1496211;308062;205,89
BANGOLO; 353264;49384;139,79
BLOLEQUIN; 127443;28393;222,79
DUEKOUE; 453224;85309;188,23
GUIGLO; 288948;69589;240,84
KOUIBLY; 214442;56904;265,36
TOULEPLEU; 58890;18483;313,86
GBEKE; 1064759;274153;257,48
BEOUMI; 162429;57403;353,40
BOUAKE NORD-EST; 189861;40210;211,79
BOUAKE NORD-OUEST; 424821;90574;213,20
BOUAKE-SUD; 188081;50310;267,49
SAKASSOU; 99566;35656;358,11
GBOKLE-NAWA-SAN-PEDRO; 2251821;286124;127,06
GUEYO; 86467;9744;112,69
SAN-PEDRO; 652175;59914;91,87
SASSANDRA; 309474;62108;200,69
SOUBRE; 1001686;115304;115,11
TABOU; 202019;39054;193,32
GÔH; 981377;244143;248,78
GAGNOA; 674435;158914;235,63
OUME; 306942;85229;277,67
HAMBOL; 475606;119762;251,81
DABAKALA; 209338;49442;236,18
KATIOLA; 118250;36501;308,68
NIAKARAMADOUGOU; 148018;33819;228,48
HAUT SASSANDRA; 1478612;228729;154,69
DALOA; 725530;118464;163,28
ISSIA; 338819;54556;161,02
VAVOUA; 414263;55709;134,48
INDENIE DUABLIN; 607750;121015;199,12
ABENGOUROU; 364530;64106;175,86
AGNIBILEKROU; 182388;43270;237,24
BETTIE; 60832;13639;224,21
KABADOUGOU-BAFING-FOLON; 512209;109634;214,04
MINIGNAN; 104838;27569;262,97
ODIENNE; 204534;56933;278,35
TOUBA; 202837;25132;123,90
LÔH-DJIBOUA; 889497;139169;156,46
DIVO; 409242;69788;170,53
FRESCO; 104671;16693;159,48
GUITRY; 157950;9886;62,59
LAKOTA; 217634;42802;196,67
MARAHOUE; 934033;173060;185,28
BOUAFLE; 443740;85912;193,61
SINFRA; 257802;50095;194,32
ZUENOULA; 232491;37053;159,37
N'ZI-IFOU; 1025739;237434;231,48
BOCANDA; 175960;35342;200,85
BONGOUANOU; 393799;99924;253,74
DAOUKRO; 180513;40232;222,88
DIMBOKRO; 102363;24428;238,64
M'BAHIAKRO; 90512;17240;190,47
PRIKRO; 82592;20268;245,40
PORO-TCHOLOGO-BAGOUE; 1838508;242504;131,90
BOUNDIALI; 291671;51017;174,91
FERKESSEDOUGOU; 268140;47642;177,68
KORHOGO; 869860;90993;104,61
OUANGOLODOUGOU; 274605;33405;121,65
TENGRELA; 134232;19447;144,88
SUD-COMOE; 666215;143558;215,48
ABOISSO; 319154;59380;186,05
ADIAKE; 161423;48172;298,42
GRAND-BASSAM; 185638;36006;193,96
TONKPI; 1073147;259180;241,51
BIANKOUMA; 212095;36047;169,96
DANANE; 288835;50090;173,42
MAN; 361297;122144;338,07
ZOUAN-HOUNIEN; 210920;50899;241,32
WORODOUGOU-BERE; 711375;133633;187,85
MANKONO; 426233;64990;152,48
SEGUELA; 285142;68643;240,73
Total CHU et EPN; null;8463,00;null
CHU YOPOUGON; null;3120;null
CHU BOUAKE; null;3888;null
CHU TREICHVILLE; null;382;null
CHU COCODY; null;1073;null
TOTAL CI; 24571046;4032381;164,11
