REGIONS/DISTRICTS; Population totale;Nombre de cas d'IRA dans la population générale 2017;Incidence d'IRA dans la population générale (‰) en 2017
ABIDJAN II; 3217801;158558;49,3
ABOBO EST; 701637;25859;36,9
ABOBO OUEST; 352625;18423;52,2
ANYAMA; 163246;12168;74,5
COCODY BINGERVILLE; 614405;37411;60,9
KOUMASSI-PORT-BOUET-VRIDI; 980413;47979;48,9
MARCORY-TREICHVILLE; 405475;16718;41,2
ABIDJAN I-GRANDS PONTS; 2399364;109131;45,5
ADJAME-PLATEAU-ATTECOUBE; 737895;31557;42,8
DABOU; 153371;17228;112,3
GRAND-LAHOU; 155884;6112;39,2
JACQUEVILLE; 58008;6291;108,5
YOPOUGON-EST; 661730;15651;23,7
YOPOUGON-OUEST SONGON; 632476;32292;51,1
AGNEBY-TIASSA-ME; 1195490;69304;58,0
ADZOPE; 202498;10834;53,5
AGBOVILLE; 316203;16706;52,8
AKOUPE; 204368;11402;55,8
ALEPE; 131718;8670;65,8
SIKENSI; 84908;7543;88,8
TIASSALE; 255795;14149;55,3
BELIER; 763455;26103;34,2
DIDIEVI; 102068;2367;23,2
TIEBISSOU; 107554;3709;34,5
TOUMODI; 168122;7930;47,2
YAMOUSSOUKRO; 385711;12097;31,4
BOUNKANI-GONTOUGO; 988077;55589;56,3
BONDOUKOU; 407525;21910;53,8
BOUNA; 242308;12883;53,2
NASSIAN; 48462;5308;109,5
TANDA; 289782;15488;53,4
CAVALLY-GUEMON; 1496211;83966;56,1
BANGOLO; 353264;11341;32,1
BLOLEQUIN; 127443;13116;102,9
DUEKOUE; 453224;19851;43,8
GUIGLO; 288948;16526;57,2
KOUIBLY; 214442;18246;85,1
TOULEPLEU; 58890;4886;83,0
GBEKE; 1064759;67273;63,2
BEOUMI; 162429;7314;45,0
BOUAKE NORD-EST; 189861;9850;51,9
BOUAKE NORD-OUEST; 424821;25018;58,9
BOUAKE-SUD; 188081;16861;89,6
SAKASSOU; 99566;8230;82,7
GBOKLE-NAWA-SAN-PEDRO; 2251821;116816;51,9
GUEYO; 86467;2765;32,0
SAN-PEDRO; 652175;41701;63,9
SASSANDRA; 309474;16133;52,1
SOUBRE; 1001686;31239;31,2
TABOU; 202019;24978;123,6
GÔH; 981377;54736;55,8
GAGNOA; 674435;37642;55,8
OUME; 306942;17094;55,7
HAMBOL; 475606;32184;67,7
DABAKALA; 209338;12646;60,4
KATIOLA; 118250;8166;69,1
NIAKARAMADOUGOU; 148018;11372;76,8
HAUT SASSANDRA; 1478612;81392;55,0
DALOA; 725530;38808;53,5
ISSIA; 338819;25441;75,1
VAVOUA; 414263;17143;41,4
INDENIE DUABLIN; 607750;38247;62,9
ABENGOUROU; 364530;20311;55,7
AGNIBILEKROU; 182388;10982;60,2
BETTIE; 60832;6954;114,3
KABADOUGOU-BAFING-FOLON; 512209;25625;50,0
MINIGNAN; 104838;5323;50,8
ODIENNE; 204534;10402;50,9
TOUBA; 202837;9900;48,8
LÔH-DJIBOUA; 889497;48513;54,5
DIVO; 409242;26240;64,1
FRESCO; 104671;7210;68,9
GUITRY; 157950;5677;35,9
LAKOTA; 217634;9386;43,1
MARAHOUE; 934033;56101;60,1
BOUAFLE; 443740;24826;55,9
SINFRA; 257802;19569;75,9
ZUENOULA; 232491;11706;50,4
N'ZI-IFOU; 1025739;67759;66,1
BOCANDA; 175960;17712;100,7
BONGOUANOU; 393799;24793;63,0
DAOUKRO; 180513;8198;45,4
DIMBOKRO; 102363;9691;94,7
M'BAHIAKRO; 90512;3878;42,8
PRIKRO; 82592;3487;42,2
PORO-TCHOLOGO-BAGOUE; 1838508;112968;61,4
BOUNDIALI; 291671;18752;64,3
FERKESSEDOUGOU; 268140;14119;52,7
KORHOGO; 869860;59202;68,1
OUANGOLODOUGOU; 274605;11123;40,5
TENGRELA; 134232;9772;72,8
SUD-COMOE; 666215;46578;69,9
ABOISSO; 319154;20239;63,4
ADIAKE; 161423;8647;53,6
GRAND-BASSAM; 185638;17692;95,3
TONKPI; 1073147;77366;72,1
BIANKOUMA; 212095;17951;84,6
DANANE; 288835;14664;50,8
MAN; 361297;27247;75,4
ZOUAN-HOUNIEN; 210920;17504;83,0
WORODOUGOU-BERE; 711375;28102;39,5
MANKONO; 426233;14766;34,6
SEGUELA; 285142;13336;46,8
Total CHU et EPN; null;2787;null
CHU YOPOUGON; null;1516;null
CHU BOUAKE; null;2504;null
CHU TREICHVILLE; null;NP;null
CHU COCODY; null;283;null
TOTAL CI; 24571046;1359098;55,3
