REGIONS/DISTRICTS; Population totale 2017;Nombre total de cas de Diarrhée dans la population 2017;Incidence de la Diarrhée dans la population 2017(‰)
ABIDJAN II; 3217801;61809;19,2
ABOBO EST; 701637;11258;16,0
ABOBO OUEST; 352625;9086;25,8
ANYAMA; 163246;4086;25,0
COCODY BINGERVILLE; 614405;11926;19,4
KOUMASSI-PORT-BOUET-VRIDI; 980413;21065;21,5
MARCORY-TREICHVILLE; 405475;4388;10,8
ABIDJAN I-GRANDS PONTS; 2399364;54566;22,7
ADJAME-PLATEAU-ATTECOUBE; 737895;9953;13,5
DABOU; 153371;5407;35,3
GRAND-LAHOU; 155884;2127;13,6
JACQUEVILLE; 58008;2278;39,3
YOPOUGON-EST; 661730;6992;10,6
YOPOUGON-OUEST SONGON; 632476;27809;44,0
AGNEBY-TIASSA-ME; 1195490;15195;12,7
ADZOPE; 202498;3193;15,8
AGBOVILLE; 316203;5877;18,6
AKOUPE; 204368;2104;10,3
ALEPE; 131718;1954;14,8
SIKENSI; 84908;1426;16,8
TIASSALE; 255795;641;2,5
BELIER; 763455;18693;24,5
DIDIEVI; 102068;2661;26,1
TIEBISSOU; 107554;3385;31,5
TOUMODI; 168122;4509;26,8
YAMOUSSOUKRO; 385711;8138;21,1
BOUNKANI-GONTOUGO; 988077;30133;30,5
BONDOUKOU; 407525;12139;29,8
BOUNA; 242308;8403;34,7
NASSIAN; 48462;2416;49,9
TANDA; 289782;7175;24,8
CAVALLY-GUEMON; 1496211;35569;23,8
BANGOLO; 353264;5888;16,7
BLOLEQUIN; 127443;4297;33,7
DUEKOUE; 453224;8926;19,7
GUIGLO; 288948;7321;25,3
KOUIBLY; 214442;7606;35,5
TOULEPLEU; 58890;1531;26,0
GBEKE; 1064759;26198;24,6
BEOUMI; 162429;4367;26,9
BOUAKE NORD-EST; 189861;3693;19,5
BOUAKE NORD-OUEST; 424821;8192;19,3
BOUAKE-SUD; 188081;5829;31,0
SAKASSOU; 99566;4117;41,3
GBOKLE-NAWA-SAN-PEDRO; 2251821;48964;21,7
GUEYO; 86467;1377;15,9
SAN-PEDRO; 652175;15115;23,2
SASSANDRA; 309474;7431;24,0
SOUBRE; 1001686;17574;17,5
TABOU; 202019;7467;37,0
GÔH; 981377;32805;33,4
GAGNOA; 674435;22154;32,8
OUME; 306942;10651;34,7
HAMBOL; 475606;11282;23,7
DABAKALA; 209338;4714;22,5
KATIOLA; 118250;3918;33,1
NIAKARAMADOUGOU; 148018;2650;17,9
HAUT SASSANDRA; 1478612;28956;19,6
DALOA; 725530;11895;16,4
ISSIA; 338819;10293;30,4
VAVOUA; 414263;6768;16,3
INDENIE DUABLIN; 607750;16208;26,7
ABENGOUROU; 364530;8128;22,3
AGNIBILEKROU; 182388;5606;30,7
BETTIE; 60832;2474;40,7
KABADOUGOU-BAFING-FOLON; 512209;9830;19,2
MINIGNAN; 104838;2083;19,9
ODIENNE; 204534;3784;18,5
TOUBA; 202837;3963;19,5
LÔH-DJIBOUA; 889497;20894;23,5
DIVO; 409242;9820;24,0
FRESCO; 104671;3213;30,7
GUITRY; 157950;1590;10,1
LAKOTA; 217634;6271;28,8
MARAHOUE; 934033;21570;23,1
BOUAFLE; 443740;10366;23,4
SINFRA; 257802;4541;17,6
ZUENOULA; 232491;6663;28,7
N'ZI-IFOU; 1025739;17419;17,0
BOCANDA; 175960;4401;25,0
BONGOUANOU; 393799;5611;14,2
DAOUKRO; 180513;4036;22,4
DIMBOKRO; 102363;2002;19,6
M'BAHIAKRO; 90512;1175;13,0
PRIKRO; 82592;194;2,3
PORO-TCHOLOGO-BAGOUE; 1838508;39190;21,3
BOUNDIALI; 291671;5661;19,4
FERKESSEDOUGOU; 268140;5724;21,3
KORHOGO; 869860;20078;23,1
OUANGOLODOUGOU; 274605;3796;13,8
TENGRELA; 134232;3931;29,3
SUD-COMOE; 666215;16324;24,5
ABOISSO; 319154;7236;22,7
ADIAKE; 161423;3732;23,1
GRAND-BASSAM; 185638;5356;28,9
TONKPI; 1073147;30271;28,2
BIANKOUMA; 212095;6164;29,1
DANANE; 288835;6704;23,2
MAN; 361297;12035;33,3
ZOUAN-HOUNIEN; 210920;5368;25,5
WORODOUGOU-BERE; 711375;13667;19,2
MANKONO; 426233;8328;19,5
SEGUELA; 285142;5339;18,7
TOTAL CI; 24571046;549543;22,4
