REGIONS/DISTRICTS; Population 15 ans et plus;Nombre total des cas d'IST chez les Adultes 2017;Incidence des IST 2017(‰)
ABIDJAN II; 2167585;47477;21,9
ABOBO EST; 444604;8466;19,0
ABOBO OUEST; 223762;3671;16,4
ANYAMA; 99117;1823;18,4
COCODY BINGERVILLE; 444851;10190;22,9
KOUMASSI-PORT-BOUET-VRIDI; 659721;16156;24,5
MARCORY-TREICHVILLE; 295530;7171;24,3
ABIDJAN I-GRANDS PONTS; 1560943;29864;19,1
ADJAME-PLATEAU-ATTECOUBE; 485134;6012;12,4
DABOU; 91970;4480;48,7
GRAND-LAHOU; 84390;1021;12,1
JACQUEVILLE; 33080;770;23,3
YOPOUGON-EST; 442867;7190;16,2
YOPOUGON-OUEST SONGON; 423501;10391;24,5
AGNEBY-TIASSA-ME; 709827;24479;34,5
ADZOPE; 126257;4475;35,4
AGBOVILLE; 181457;2307;12,7
AKOUPE; 124219;2348;18,9
ALEPE; 76160;3031;39,8
SIKENSI; 49989;3704;74,1
TIASSALE; 151746;8614;56,8
BELIER; 450958;16097;35,7
DIDIEVI; 54905;1221;22,2
TIEBISSOU; 58607;1592;27,2
TOUMODI; 96045;4416;46,0
YAMOUSSOUKRO; 241401;8868;36,7
BOUNKANI-GONTOUGO; 543240;17563;32,3
BONDOUKOU; 226828;5478;24,2
BOUNA; 128543;7347;57,2
NASSIAN; 27017;395;14,6
TANDA; 160853;4343;27,0
CAVALLY-GUEMON; 830148;21171;25,5
BANGOLO; 194087;2858;14,7
BLOLEQUIN; 78228;6372;81,5
DUEKOUE; 240323;3631;15,1
GUIGLO; 163929;5289;32,3
KOUIBLY; 119916;2394;20,0
TOULEPLEU; 33666;627;18,6
GBEKE; 618520;20928;33,8
BEOUMI; 87466;3607;41,2
BOUAKE NORD-EST; 112731;5895;52,3
BOUAKE NORD-OUEST; 252239;5105;20,2
BOUAKE-SUD; 111674;4776;42,8
SAKASSOU; 54410;1545;28,4
GBOKLE-NAWA-SAN-PEDRO; 1233158;31747;25,7
GUEYO; 44832;2275;50,7
SAN-PEDRO; 361905;10407;28,8
SASSANDRA; 172162;3663;21,3
SOUBRE; 540456;12380;22,9
TABOU; 113803;3022;26,6
GÔH; 543882;13384;24,6
GAGNOA; 375684;9298;24,7
OUME; 168198;4086;24,3
HAMBOL; 255678;5905;23,1
DABAKALA; 108542;2107;19,4
KATIOLA; 66323;1813;27,3
NIAKARAMADOUGOU; 80812;1985;24,6
HAUT SASSANDRA; 817198;22383;27,4
DALOA; 419945;15797;37,6
ISSIA; 181707;3602;19,8
VAVOUA; 215546;2984;13,8
INDENIE DUABLIN; 350449;11243;32,1
ABENGOUROU; 214350;7955;37,1
AGNIBILEKROU; 102640;2555;24,9
BETTIE; 33459;733;21,9
KABADOUGOU-BAFING-FOLON; 278201;11574;41,6
MINIGNAN; 58281;1657;28,4
ODIENNE; 104234;4438;42,6
TOUBA; 115686;5479;47,4
LÔH-DJIBOUA; 488056;9775;20,0
DIVO; 227417;4507;19,8
FRESCO; 55584;1410;25,4
GUITRY; 85074;1415;16,6
LAKOTA; 119981;2443;20,4
MARAHOUE; 508118;15533;30,6
BOUAFLE; 247887;5311;21,4
SINFRA; 136862;7505;54,8
ZUENOULA; 123370;2717;22,0
N'ZI-IFOU; 576854;11429;19,8
BOCANDA; 94294;2007;21,3
BONGOUANOU; 226891;4340;19,1
DAOUKRO; 103223;2082;20,2
DIMBOKRO; 60333;1687;28,0
M'BAHIAKRO; 48452;826;17,0
PRIKRO; 43662;487;11,2
PORO-TCHOLOGO-BAGOUE; 995479;29829;30,0
BOUNDIALI; 159772;3964;24,8
FERKESSEDOUGOU; 135185;3002;22,2
KORHOGO; 485298;17643;36,4
OUANGOLODOUGOU; 139520;2773;19,9
TENGRELA; 75704;2447;32,3
SUD-COMOE; 386439;17066;44,2
ABOISSO; 180983;7056;39,0
ADIAKE; 90287;3114;34,5
GRAND-BASSAM; 115170;6896;59,9
TONKPI; 611523;13588;22,2
BIANKOUMA; 125965;1861;14,8
DANANE; 158498;3315;20,9
MAN; 209709;5008;23,9
ZOUAN-HOUNIEN; 117351;3404;29,0
WORODOUGOU-BERE; 384403;17328;45,1
MANKONO; 227449;8809;38,7
SEGUELA; 156954;8519;54,3
TOTAL CI; 14310660;388363;27,1
