REGIONS/DISTRICTS; Population de 0 à 4 ans;Nombre de cas d'Anémie 2017;Incidence Anémie (‰) en 2017
ABIDJAN II; 394917;42988;108,9
ABOBO EST; 98235;8300;84,5
ABOBO OUEST; 49257;7028;142,7
ANYAMA; 24928;2633;105,6
COCODY BINGERVILLE; 64559;8992;139,3
KOUMASSI-PORT-BOUET-VRIDI; 119103;14405;120,9
MARCORY-TREICHVILLE; 38836;1630;42,0
ABIDJAN I-GRANDS PONTS; 316252;47379;149,8
ADJAME-PLATEAU-ATTECOUBE; 95983;16619;173,1
DABOU; 22867;4412;192,9
GRAND-LAHOU; 28044;2141;76,3
JACQUEVILLE; 9794;1437;146,7
YOPOUGON-EST; 81736;5929;72,5
YOPOUGON-OUEST SONGON; 77828;16841;216,4
AGNEBY-TIASSA-ME; 180386;27341;151,6
ADZOPE; 27152;3376;124,3
AGBOVILLE; 51236;5500;107,3
AKOUPE; 28798;5477;190,2
ALEPE; 20519;3477;169,5
SIKENSI; 12671;2275;179,5
TIASSALE; 40010;7236;180,9
BELIER; 110981;18380;165,6
DIDIEVI; 17152;2876;167,7
TIEBISSOU; 17716;2219;125,3
TOUMODI; 26099;4672;179,0
YAMOUSSOUKRO; 50014;8613;172,2
BOUNKANI-GONTOUGO; 168746;21894;129,7
BONDOUKOU; 68160;7273;106,7
BOUNA; 46261;7007;151,5
NASSIAN; 7743;1969;254,3
TANDA; 46583;5645;121,2
CAVALLY-GUEMON; 287096;42250;147,2
BANGOLO; 71734;7903;110,2
BLOLEQUIN; 22830;4382;191,9
DUEKOUE; 87511;10956;125,2
GUIGLO; 53054;10950;206,4
KOUIBLY; 42048;6083;144,7
TOULEPLEU; 9918;1976;199,2
GBEKE; 165796;21876;131,9
BEOUMI; 27517;6680;242,8
BOUAKE NORD-EST; 28570;2523;88,3
BOUAKE NORD-OUEST; 63926;4693;73,4
BOUAKE-SUD; 28302;5239;185,1
SAKASSOU; 17482;2741;156,8
GBOKLE-NAWA-SAN-PEDRO; 415439;52061;125,3
GUEYO; 17467;2101;120,3
SAN-PEDRO; 117086;13804;117,9
SASSANDRA; 59190;10003;169,0
SOUBRE; 183461;15002;81,8
TABOU; 38235;11151;291,6
GÔH; 164843;25365;153,9
GAGNOA; 114953;16751;145,7
OUME; 49889;8614;172,7
HAMBOL; 85112;18373;215,9
DABAKALA; 38623;8993;232,8
KATIOLA; 20286;3670;180,9
NIAKARAMADOUGOU; 26203;5710;217,9
HAUT SASSANDRA; 253870;33384;131,5
DALOA; 114942;12323;107,2
ISSIA; 58701;14410;245,5
VAVOUA; 80226;6651;82,9
INDENIE DUABLIN; 96982;27068;279,1
ABENGOUROU; 55196;18010;326,3
AGNIBILEKROU; 31156;6882;220,9
BETTIE; 10630;2176;204,7
KABADOUGOU-BAFING-FOLON; 97849;12168;124,4
MINIGNAN; 20406;1849;90,6
ODIENNE; 40429;6006;148,6
TOUBA; 37014;4313;116,5
LÔH-DJIBOUA; 153681;33085;215,3
DIVO; 66849;10740;160,7
FRESCO; 20536;7072;344,4
GUITRY; 28463;2647;93,0
LAKOTA; 37833;12626;333,7
MARAHOUE; 167049;36461;218,3
BOUAFLE; 78275;13162;168,2
SINFRA; 46111;15612;338,6
ZUENOULA; 42663;7687;180,2
N'ZI-IFOU; 164259;28012;170,5
BOCANDA; 29478;5906;200,4
BONGOUANOU; 62745;12279;195,7
DAOUKRO; 27406;4463;162,8
DIMBOKRO; 14558;1213;83,3
M'BAHIAKRO; 15258;2241;146,9
PRIKRO; 14815;1910;128,9
PORO-TCHOLOGO-BAGOUE; 339772;34337;101,1
BOUNDIALI; 52824;4619;87,4
FERKESSEDOUGOU; 54323;5954;109,6
KORHOGO; 150576;18419;122,3
OUANGOLODOUGOU; 57691;3526;61,1
TENGRELA; 24358;1819;74,7
SUD-COMOE; 105434;21962;208,3
ABOISSO; 52034;12154;233,6
ADIAKE; 27593;3751;135,9
GRAND-BASSAM; 25806;6057;234,7
TONKPI; 184054;30971;168,3
BIANKOUMA; 36285;7153;197,1
DANANE; 52134;7811;149,8
MAN; 59041;12655;214,3
ZOUAN-HOUNIEN; 36595;3352;91,6
WORODOUGOU-BERE; 136159;18382;135,0
MANKONO; 82664;10452;126,4
SEGUELA; 53495;7930;148,2
Total CHU et EPN; null;718;null
CHU YOPOUGON; null;367;null
CHU BOUAKE; null;273;null
CHU TREICHVILLE; null;NP;null
CHU COCODY; null;78;null
TOTAL CI; 3988677;594455;149,0
